carly: carly 
toretto: toretto 
society: society 
damn: damn 
talk: talk 
tradu: tradu 
kaisson: kaisson 
italic: italics 
bitch: bitch bitches 
woo: woo 
around: around 
chorus: chorus 
dfok: dfok 
luck: luck 
still: still 
section: section 
girl: girl girls 
act: act 
nobody: nobody 
let: let 
ant: ant 
drank: drank 
nigga: nigga niggas 
whoo: whoo 
terrell: terrell 
ze: ze 
chicago: chicago 
jumpin: jumpin 
hate: hate 
good: good 
carti: carti 
remixes: remixes 
pour: pour 
skurt: skurt 
mark: marks 
eating: eating 
merkules: merkules 
coupe: coupe 
collection: collection 
purple: purple 
neck: neck 
mckenna: mckenna 
clout: clout 
tell: tell 
m: ms 
use: use 
silent: silent 
hashuva: hashuva 
grip: grip 
ghost: ghosts 
rate: rate 
juan: juan 
lyric: lyrics lyric 
round: rounds 
bad: bad 
praxi: praxi 
wakin: wakin 
give: give 
ikaro: ikaro 
suicide: suicide 
riddim: riddim 
outro: outro 
put: put 
seu: seu 
information: information 
boy: boy 
lancey: lancey 
blog: blogs 
ofermod: ofermod 
charting: charting 
w: w 
chainsaw: chainsaw 
uzi: uzi 
world: world 
kojey: kojey 
holding: holdings 
making: making 
rick: rick 
dab: dab 
diamond: diamond diamonds 
line: line lines 
rackaids: rackaids 
duwap: duwap 
v: v vs 
baby: baby 
instant: instant 
try: try 
soundclown: soundclown 
back: back 
drug: drugs 
testarossa: testarossa 
hotline: hotline 
much: much 
uber: uber 
alex: alex 
ele: ele 
nyge: nyge 
macy: macy 
prod: prod 
reign: reign 
dookie: dookie 
concord: concord 
acrylo: acrylo 
rbaycan: rbaycan 
privacy: privacy 
artist: artists 
want: want 
ayy: ayy 
kelly: kelly 
mood: moods 
rapper: rappers 
bout: bout 
loved: loved 
choker: choker 
go: go 
beat: beats beat 
pew: pew 
ramen: ramen 
ratatouille: ratatouille 
suck: suck 
knew: knew 
clorox: clorox 
another: another 
skinny: skinny 
misspelling: misspelling 
rm: rm 
dick: dick 
run: run 
tempest: tempest 
ice: ice 
earworm: earworm 
eviri: eviri 
move: move 
answer: answer 
jon: jon 
beautiful: beautiful 
share: share 
noooo: noooo 
gang: gang 
ache: ache 
spend: spend 
bleach: bleach 
never: never 
sonata: sonata 
highest: highest 
k: k 
playa: playa 
herbata: herbata 
dcn: dcn 
guideline: guidelines 
minus: minus 
ollypaga: ollypaga 
check: check 
song: song songs 
credit: credits 
cheese: cheese 
countin: countin 
mickey: mickey 
moab: moab 
wayne: wayne 
ruler: ruler 
reminder: reminder 
lamb: lamb 
even: even 
engineer: engineer 
bae: bae 
rich: rich 
fat: fat 
toxiglitch: toxiglitch 
thousand: thousand 
money: money 
el: el 
sp: sp 
songview: songview 
raindrop: raindrop 
rancher: rancher 
nwigwe: nwigwe 
comment: comment comments 
ascapuzi: ascapuzi 
band: band 
xapiadora: xapiadora 
national: national 
sorta: sorta 
contributor: contributor contributors 
assassin: assassin 
yung: yung 
sax: sax 
movement: movement 
read: read 
meme: memes meme 
lil: lil 
sleep: sleep 
savage: savage 
part: parts part 
goat: goat 
met: met 
river: river 
right: right rights 
header: headers 
ask: ask 
performance: performance 
written: written 
crockpot: crockpot 
format: format 
vocalist: vocalists 
strip: strip 
developer: developers 
lobby: lobby 
rbaycanca: rbaycanca 
expensive: expensive 
pecf: pecf 
cannon: cannon 
rrah: rrah 
wifey: wifey 
jevon: jevon 
collaboration: collaboration 
lou: lou 
phew: phew 
ballin: ballin 
phonographic: phonographic 
fm: fm 
nunig: nunig 
slang: slang 
alive: alive 
remix: remix 
faders: faders 
pull: pull 
il: il 
rk: rk 
mixing: mixing 
burnt: burnt 
rice: rice 
view: view 
musical: musical 
private: private 
visit: visit 
tobe: tobe 
though: though 
trademark: trademark 
boomin: boomin 
billboard: billboard 
rondor: rondor 
ico: ico 
jam: jam 
khalifa: khalifa 
created: created 
row: row 
costa: costa 
p: p 
ooh: ooh 
play: play 
lotta: lotta 
hoed: hoed 
uh: uh 
cookin: cookin 
bankroll: bankrolls 
koop: koop 
meaning: meaning 
wolf: wolf 
call: call 
medium: media 
bmb: bmb 
dax: dax 
broken: broken 
different: different 
united: united 
devvon: devvon 
ano: anos 
kinz: kinz 
fight: fight 
kizaru: kizaru 
rock: rock 
yet: yet 
kaz: kaz 
segway: segway 
e: es e 
video: videos video 
casablanca: casablanca 
featured: featured 
light: light 
flow: flow flows 
neguse: neguse 
nothin: nothin 
ride: ride 
be: bess 
tag: tags 
label: label 
lollipop: lollipop 
mc: mc 
grant: grants 
mouse: mouse 
parody: parody 
today: today 
water: water 
holdin: holdin 
ascap: ascap 
ba: ba 
got: got 
spending: spending 
bj: bj 
culture: culture 
metro: metro 
lock: lock 
type: type 
philly: philly 
mosquito: mosquito 
release: release 
b: b 
bustin: bustin 
paye: paye 
rack: racks 
materialism: materialism 
pot: pot pots 
skeme: skeme 
tissue: tissue 
dank: dank 
joe: joe 
radical: radical 
group: group 
tobi: tobi 
maisnerd: maisnerd 
tommie: tommie 
quavo: quavo 
bmi: bmi 
blaow: blaow 
darlin: darlin 
intro: intro 
grrah: grrah 
switchin: switchin 
brr: brr 
north: north 
x: x 
brown: brown 
gray: gray 
one: one 
transcriber: transcribers 
peaking: peaking 
night: night 
green: green 
wild: wild 
naanai: naanai 
usual: usual 
taxxon: taxxon 
received: received 
roof: roof 
rosh: rosh 
dress: dress 
class: class 
policy: policy 
dd: dd 
publisher: publisher 
takeoff: takeoff 
future: future 
liquiid: liquiid 
offset: offset 
booby: boobies 
ten: ten 
draco: draco 
kesha: kesha 
spoof: spoof 
variation: variation 
etc: etc 
sell: sell 
winnin: winnin 
portugu: portugu 
sunlight: sunlight 
wall: walls 
az: az 
loose: loose 
trigger: trigger 
atlanta: atlanta 
anthem: anthem 
roba: roba 
edit: edit 
end: ends 
linacho: linacho 
marley: marley 
used: used 
annotation: annotation 
listen: listen 
support: support 
mumble: mumbles 
nuh: nuh 
fdp: fdp 
boobie: boobie 
broke: broke 
company: company 
fan: fans 
bank: bank 
instagram: instagram 
hide: hide 
stit: stit 
polish: polish 
sidxkick: sidxkick 
clubhouse: clubhouse 
trey: trey 
posted: posted 
somewhere: somewhere 
tussi: tussi 
told: told 
genius: genius 
somethin: somethin 
doorz: doorz 
frog: frog 
sample: samples sample 
featuring: featuring 
juicy: juicy 
jolly: jolly 
astrxnaut: astrxnaut 
blue: blue 
choosin: choosin 
glover: glover 
press: press 
russian: russian 
club: club 
grr: grr 
freestyle: freestyle 
rap: rap 
tanga: tanga 
reagan: reagan 
nawf: nawf 
hotbox: hotbox 
tracey: tracey 
wipe: wipe 
faceless: faceless 
playboi: playboi 
panther: panther 
cott: cott 
tiska: tiska 
reload: reload 
placement: placement 
gon: gon 
u: u us 
nemzzz: nemzzz 
shootin: shootin 
verified: verified 
n: n 
ware: ware 
safe: safe 
g: g 
face: face 
photo: photo 
float: float 
show: show 
leaf: leaf 
paper: paper 
left: left 
mar: mars 
room: room 
knowledge: knowledge 
bird: birds 
seven: seven 
space: space 
artwork: artwork 
piped: piped 
collar: collar 
jr: jr 
backup: backup 
eladio: eladio 
make: make 
atlantian: atlantian 
introduce: introduce 
death: death 
tea: tea 
brasil: brasil 
gold: gold 
licensing: licensing 
j: j 
bruce: bruce 
sony: sony 
yo: yo 
poj: poj 
chart: chart charts 
italiane: italiane 
rapps: rapps 
piece: piece 
cookie: cookie 
outer: outer 
pablo: pablo 
davi: davi 
devil: devil 
losin: losin 
forum: forum 
dyke: dyke 
ryan: ryan 
glah: glah 
woman: women 
cry: cry 
rari: rari 
said: said 
slippery: slippery 
muddy: muddy 
tuska: tuska 
jkub: jkub 
advertise: advertise 
badbxy: badbxy 
kaine: kaine 
ghostface: ghostface 
dominio: dominio 
add: add 
crew: crew 
deadz: deadz 
hey: hey 
august: august 
noodle: noodles 
courtside: courtside 
shooter: shooters 
understand: understand 
dabbin: dabbin 
republican: republicans 
hah: hah 
nutty: nutty 
ridin: ridin 
rain: rain 
guide: guide 
rollie: rollie 
wet: wet 
mlk: mlk 
swear: swear 
traduzione: traduzione 
drip: drip 
sack: sack 
bleu: bleu 
soda: soda 
fabolous: fabolous 
ab: ab 
medley: medley 
hoodrich: hoodrich 
slowkiing: slowkiing 
ferbinho: ferbinho 
promote: promote 
hip: hip 
alike: alike 
smokin: smokin 
price: price 
alice: alice 
copyright: copyright 
hundred: hundred 
biggest: biggest 
job: jobs 
bold: bold 
