atlantic: atlantic 
damn: damn 
xoxo: xoxo 
talk: talk 
azienda: azienda 
frosty: frosty 
pj: pj 
tradu: tradu 
italic: italics 
woo: woo 
looked: looked 
around: around 
chorus: chorus 
negative: negative 
section: section 
mo: mo 
quite: quite 
krollo: krollo 
loud: loud 
siekan: siekan 
ant: ant 
auditore: auditore 
february: february 
nigga: nigga niggas 
terrell: terrell 
szopen: szopen 
nachman: nachman 
drum: drum 
brainfreeze: brainfreeze 
remixes: remixes 
kyle: kyle 
released: released 
leonard: leonard 
collection: collection 
insane: insane 
sniff: sniff 
use: use 
rush: rush 
heard: heard 
aqui: aqui 
corp: corp 
lyric: lyrics lyric 
yvb: yvb 
nicopatty: nicopatty 
illy: illy 
matxeus: matxeus 
suicide: suicide 
outro: outro 
chief: chief 
hinson: hinson 
information: information 
rapper: rapper 
cypher: cypher 
boy: boy 
immediately: immediately 
mia: mia 
hanahata: hanahata 
crazy: crazy 
w: w 
uzi: uzi 
world: world 
holding: holdings 
ed: ed 
de: de 
anywhere: anywhere 
diamond: diamond diamonds 
thug: thug 
greenwolf: greenwolf 
oh: oh 
overwhelmingly: overwhelmingly 
v: v vs 
baby: baby 
replaced: replaced 
soundclown: soundclown 
back: back 
bunny: bunny 
wanna: wanna 
jackson: jackson 
paycheck: paycheck 
acrylo: acrylo 
privacy: privacy 
hope: hope 
want: want 
text: text 
artist: artists 
geekheavy: geekheavy 
committed: committed 
kelly: kelly 
tutto: tutto 
rap: raps rap 
care: care 
loved: loved 
go: go goes 
beat: beats 
frenezy: frenezy 
dan: dan 
opposite: opposite 
casper: casper 
alright: alright 
waka: waka 
fall: fall 
another: another 
ubem: ubem 
earworm: earworm 
answer: answer 
soundcloud: soundcloud 
share: share 
roll: roll 
twiin: twiin 
unfazed: unfazed 
never: never 
rage: rage 
dialogue: dialogue 
account: account 
garage: garage 
k: k 
tim: tim 
realm: realm 
voice: voice 
cz: cz 
guideline: guidelines 
check: check 
song: song songs 
credit: credits 
countin: countin 
min: min 
mediocre: mediocre 
outlining: outlining 
blackbear: blackbear 
wag: wag 
wayne: wayne 
pay: pays 
man: man 
yeat: yeat 
smokepurpp: smokepurpp 
mashups: mashups 
even: even 
engineer: engineer 
jamal: jamal 
ld: ld 
shoulda: shoulda 
battle: battle battles 
finale: finale 
liar: liar 
money: money 
real: real 
songview: songview 
soy: soy 
keef: keef 
tour: tour 
platform: platforms 
comment: comment comments 
ascapuzi: ascapuzi 
wire: wires 
delivered: delivered 
cell: cell 
contributor: contributor contributors 
yung: yung 
eazy: eazy 
read: read 
childish: childish 
lil: lil 
underground: underground 
sleep: sleep 
riaa: riaa 
part: parts part 
free: free 
byrd: byrd 
header: headers 
right: right rights 
conner: conner 
performance: performance performances 
ask: ask 
written: written 
va: va 
format: format 
opinion: opinions 
vocalist: vocalists 
westwood: westwood 
kami: kami 
beezy: beezy 
hoonki: hoonki 
developer: developers 
gius: gius 
stackin: stackin 
casanova: casanova 
outcry: outcry 
bridge: bridge 
jw: jw 
detention: detention 
emo: emo 
bmg: bmg 
starboy: starboy 
phonographic: phonographic 
edwin: edwin 
director: director 
mustard: mustard 
fallin: fallin 
remix: remix 
die: die 
wrld: wrld 
opening: opening 
jexf: jexf 
mixing: mixing 
jesse: jesse 
view: view 
musical: musical 
dead: dead 
visit: visit 
though: though 
resonance: resonance 
italiano: italiano 
created: created 
nahlas: nahlas 
difference: differences 
scottie: scottie 
studio: studio 
substance: substance 
head: head 
p: p 
ooh: ooh 
snippet: snippet 
sowlo: sowlo 
glacier: glacier 
call: call 
broken: broken 
different: different 
united: united 
blur: blur 
