beard: beard 
brent: brent 
damn: damn 
talk: talk 
tradu: tradu 
italic: italics 
bitch: bitch 
woo: woo 
around: around 
grave: grave 
chorus: chorus 
thanos: thanos 
tell: tells 
budden: budden 
still: still 
burn: burn 
section: section 
gathered: gathered 
dissed: dissed 
album: albums album 
nederlandse: nederlandse 
kiss: kiss 
let: let 
mole: mole 
chazer: chazer 
kamikaze: kamikaze 
season: season 
jamesy: jamesy 
grazed: grazed 
baker: baker 
oops: oops 
hate: hate 
good: good 
okay: okay 
remixes: remixes 
zero: zero 
debut: debut 
little: little 
mathers: mathers 
eating: eating 
merkules: merkules 
released: released 
reference: reference 
lynnx: lynnx 
movie: movie 
rez: rez 
traductions: traductions 
collection: collection 
neck: neck 
dis: disses diss 
suggested: suggested 
deadboi: deadboi 
mirror: mirror 
m: ms 
use: use 
dame: dame 
yu: yu 
queezy: queezy 
cottonelle: cottonelle 
lyric: lyrics lyric 
chopstik: chopstik 
give: give 
obie: obie 
jeffree: jeffree 
admits: admits 
deep: deep 
outro: outro 
gerald: gerald 
chill: chill 
put: put 
doin: doin 
drill: drill 
rapper: rapper 
information: information 
cypher: cypher 
boy: boy 
shady: shady 
soldier: soldier 
w: w 
illa: illa 
six: six 
colson: colson 
vain: vain 
rewind: rewind 
shut: shut 
making: making 
killshit: killshit 
world: world 
de: de 
holding: holdings 
line: line lines 
traduction: traduction 
oh: oh 
younger: younger 
lock: locks 
letting: letting 
v: v 
shroom: shroom 
page: page 
third: third 
tech: tech 
reach: reach 
tillr: tillr 
back: back 
mouth: mouth 
halsey: halsey 
vertaling: vertaling 
saputo: saputo 
wanna: wanna 
much: much 
wake: wake 
slay: slay 
pill: pills 
earring: earrings 
alex: alex 
dance: dance 
inappropriate: inappropriate 
hater: haters 
masterson: masterson 
privacy: privacy 
artist: artists 
want: want 
text: text 
yes: yes 
write: write 
kelly: kelly 
directed: directed 
government: government 
solidified: solidified 
care: care 
loved: loved 
go: go 
beat: beats 
dan: dan 
effort: effort 
alright: alright 
suck: suck 
funny: funny 
sweater: sweater 
another: another 
fails: fails 
execution: execution 
hickey: hickeys 
outselling: outselling 
dick: dick 
run: run 
nigshot: nigshot 
talentless: talentless 
session: sessions 
eviri: eviri 
answer: answer 
share: share 
feat: feat 
azamat: azamat 
dropped: dropped 
mic: mic 
second: second 
never: never 
rage: rage 
k: k 
cheerio: cheerios 
pop: pops pop 
think: think thinks 
dig: dig 
kant: kant 
guideline: guidelines 
seif: seif 
name: name 
check: check 
song: song songs 
credit: credits 
bein: bein 
emulation: emulation 
greencowme: greencowme 
man: man 
gonna: gonna 
hailie: hailie 
fr: fr 
feature: features 
even: even 
sjk: sjk 
oatmeal: oatmeal 
dad: dad 
rich: rich 
battle: battle 
liar: liar 
titled: titled 
daddyphatsnaps: daddyphatsnaps 
money: money 
pella: pella 
aliegran: aliegran 
brrt: brrt 
comment: comment comments 
hardcore: hardcore 
wrote: wrote 
nordictrack: nordictrack 
hometown: hometown 
contributor: contributor contributors 
mom: mom 
choward: choward 
hi: hi 
greatest: greatest 
read: read 
filmed: filmed 
lil: lil 
sleep: sleep 
petty: petty 
part: parts part 
bow: bow 
goat: goat 
next: next 
right: right rights 
header: headers 
ask: ask 
written: written 
performance: performance 
format: format 
vocalist: vocalists 
soft: soft 
service: service 
tatted: tatted 
ah: ah 
developer: developers 
christmas: christmas 
changed: changed 
salty: salty 
spent: spent 
dullah: dullah 
america: america 
injection: injection 
john: john 
phonographic: phonographic 
september: september 
bandana: bandana 
remix: remix 
die: die 
pull: pull 
rk: rk 
targeting: targeting 
view: view views 
become: become 
dead: dead 
wheaties: wheaties 
within: within 
visit: visit visits 
musical: musical 
reignn: reignn 
covid: covid 
created: created 
shit: shit 
game: game 
attempt: attempt 
flannel: flannel 
detroit: detroit 
power: power 
throat: throat 
head: head 
pic: pic 
p: p 
ooh: ooh 
play: play 
killed: killed 
compliment: compliment 
see: see 
auto: auto 
dax: dax 
call: call 
gunner: gunner 
threat: threat 
charles: charles 
broken: broken 
different: different 
bill: bill 
swift: swift 
shot: shot 
fight: fight 
alien: alien 
star: star 
dictionary: dictionary 
hour: hours hour 
red: red 
enough: enough 
e: es e 
age: age 
video: videos video 
story: stories 
deconstructed: deconstructed 
featured: featured 
flow: flow 
taylor: taylor 
nothin: nothin 
tag: tags 
grant: grants 
offspring: offspring 
overall: overall 
label: label 
parody: parody 
character: character 
victory: victory 
known: known 
teamg: teamg 
al: al 
actin: actin 
clickbait: clickbait 
takin: takin 
got: got 
kiddy: kiddy 
rhyme: rhyme 
doublejmusicc: doublejmusicc 
type: type 
release: release 
b: b 
rappertag: rappertag 
barrel: barrel 
nerdcore: nerdcore 
mgk: mgk 
rambo: rambo 
gangster: gangster 
group: group 
would: would 
bmi: bmi 
intro: intro 
french: french 
cap: cap 
subliminal: subliminal 
milk: milk 
x: x 
one: one 
transcriber: transcribers 
bozoshot: bozoshot 
night: night 
following: following 
material: material 
barber: barber 
pac: pac 
umar: umar 
according: according 
fabvl: fabvl 
dress: dress 
ballsack: ballsack 
policy: policy 
insult: insult 
publisher: publisher 
fresh: fresh 
slim: slim 
leaker: leakers 
reason: reason 
etc: etc 
sell: sell 
woke: woke 
fran: fran 
arcade: arcade 
portugu: portugu 
cereal: cereal 
foot: feet foot 
cock: cock 
illist: illist 
annotation: annotation 
perform: perform 
lw: lw 
listen: listen 
bdelygma: bdelygma 
broke: broke 
fan: fans fan 
instagram: instagram 
minimessi: minimessi 
polish: polish 
aklf: aklf 
giant: giant 
rihanna: rihanna 
tune: tune 
bumza: bumza 
countdown: countdown 
pageviews: pageviews 
genius: genius 
leather: leather 
somethin: somethin 
blonde: blonde 
sample: samples sample 
year: year 
tailor: tailor 
day: days day 
picked: picked 
press: press 
bliss: bliss 
russian: russian 
coxo: coxo 
starter: starter 
iggy: iggy 
freestyle: freestyle 
rap: rap 
sound: sound 
burninghand: burninghand 
rappas: rappas 
pt: pt 
mike: mike 
tango: tango 
benzino: benzino 
labor: labor 
long: long 
eleven: eleven 
arrow: arrow 
gon: gon 
else: else 
drew: drew 
bull: bull 
lead: lead 
u: u us 
coincidentally: coincidentally 
kells: kells 
shootin: shootin 
antham: antham 
verified: verified 
hit: hits hit 
n: n 
destroyer: destroyer 
g: g 
jacob: jacob 
letter: letter 
phone: phone 
left: left 
dawson: dawson 
knowledge: knowledge 
bun: bun 
ghostraps: ghostraps 
tay: tay 
artwork: artwork 
city: city 
excuse: excuse 
make: make 
coffin: coffins 
death: death 
satanist: satanist 
targeted: targeted 
weird: weird 
goddamn: goddamn 
brasil: brasil 
licensing: licensing 
corny: corny 
j: j 
yo: yo 
life: life 
chillshot: chillshot 
provost: provost 
someone: someone 
mountain: mountain 
italiane: italiane 
nederland: nederlands 
mikwinner: mikwinner 
vertalingen: vertalingen 
true: true 
feud: feud 
say: say 
ol: ol 
devil: devil 
losin: losin 
aw: aw 
forum: forum 
bowl: bowl 
traducciones: traducciones 
chat: chat 
aim: aim 
psychopathic: psychopathic 
said: said 
inside: inside 
mad: mad 
advertise: advertise 
mothafuckin: mothafuckin 
muscle: muscle 
ai: aises ais 
many: many 
miffy: miffy 
add: add 
wack: wack 
blew: blew 
august: august 
marshall: marshall 
tattoo: tattoo 
understand: understand 
perplexed: perplexed 
rather: rather 
guide: guide 
history: history 
traduzione: traduzione 
son: son 
killotion: killotion 
twitter: twitter 
hold: holds hold 
promote: promote 
hip: hip 
alike: alike 
destroy: destroy 
kobalt: kobalt 
copyright: copyright 
job: jobs 
biggest: biggest 
nail: nails 
bold: bold 
hill: hill 
began: began 
f: f 
umaczenie: umaczenie 
old: old 
swayze: swayze 
valourian: valourian 
cover: cover covers 
tusen: tusen 
contact: contact 
undeniable: undeniable 
teased: teased 
em: em 
turkish: turkish 
state: state 
sayin: sayin 
ml: ml 
marrow: marrow 
mine: mine 
also: also 
goof: goof 
distributor: distributor 
eye: eyes 
get: get 
umaczenia: umaczenia 
mean: mean 
played: played 
yellin: yellin 
polski: polski 
pigeon: pigeon 
kill: kill 
translation: translations translation 
traducci: traducci 
jesus: jesus 
know: knows know 
sucked: sucked 
castro: castro 
sandal: sandals 
reem: reem 
ball: balls 
white: white 
issbrokie: issbrokie 
stan: stan 
doc: doc 
fact: facts 
fake: fake 
watchin: watchin 
lethal: lethal 
dutch: dutch 
youtube: youtube 
ho: ho 
reading: reading 
yb: ybs 
experienced: experienced 
cancel: cancel 
reaction: reaction 
trap: trap 
yell: yell 
mwah: mwah 
z: z 
record: record records 
come: come 
ago: ago 
estilo: estilo 
toxiplays: toxiplays 
look: look 
made: made 
front: front 
crisp: crisp 
flop: flops 
da: da 
ali: ali 
playground: playground 
fill: fill 
interscope: interscope 
career: career 
term: terms 
streaming: streaming 
polskie: polskie 
open: open 
hair: hair 
reply: reply 
ow: ow 
black: black 
jade: jade 
channel: channel 
mile: mile 
sway: sway 
interpolate: interpolate 
chrome: chrome 
sit: sit 
hop: hop 
james: james 
keep: keep 
exhausting: exhausting 
response: response 
blow: blow 
bonkers: bonkers 
aise: aise 
embed: embed 
whole: whole 
michigan: michigan 
carmen: carmen 
first: first 
prick: prick 
tom: tom 
universal: universal 
ft: ft 
time: time 
last: last 
aftermath: aftermath 
sprayin: sprayin 
ever: ever 
apartament: apartament 
wait: wait 
main: main 
