carta: carta 
hang: hang 
italic: italics 
chorus: chorus 
victor: victor 
still: still 
section: section 
tattooed: tattooed 
nobody: nobody 
demacio: demacio 
let: let 
loud: loud 
nigga: nigga niggas 
credited: credited 
hate: hate 
good: good 
roc: roc 
wafer: wafers 
remixes: remixes 
scarlett: scarlett 
little: little 
released: released 
traductions: traductions 
collection: collection 
insane: insane 
interpolates: interpolates 
spirit: spirit 
use: use 
lyric: lyrics lyric 
bad: bad 
give: give 
spite: spite 
outro: outro 
put: put 
information: information 
demo: demo 
zane: zane 
boy: boy boys 
godbey: godbey 
w: w 
walk: walk 
world: world 
holding: holdings 
traduction: traduction 
oh: oh 
lung: lungs 
v: v vs 
nickel: nickels 
twice: twice 
baby: baby 
ocean: oceans 
cold: cold 
momma: momma 
back: back 
mouth: mouth 
wanna: wanna 
much: much 
jackson: jackson 
beyonc: beyonc 
york: york 
kurt: kurt 
murky: murky 
hater: haters 
privacy: privacy 
artist: artists 
thriller: thriller 
care: care 
bout: bout 
carter: carter 
loved: loved 
bizzle: bizzle 
hov: hov 
another: another 
jeff: jeff 
selis: selis 
run: run 
earworm: earworm 
answer: answer 
share: share 
paparazzo: paparazzi 
harmon: harmon 
k: k 
think: think 
hammer: hammer 
guideline: guidelines 
name: name 
check: check 
song: song songs 
teen: teen 
credit: credits 
enticin: enticin 
street: streets 
even: even 
engineer: engineer 
versus: versus 
camera: camera cameras 
liar: liar 
vb: vb 
eat: eat 
money: money 
ii: ii 
songview: songview 
cup: cup 
comment: comment comments 
tour: tour 
fool: fool 
tennman: tennman 
band: band 
bbc: bbc 
contributor: contributor contributors 
read: read 
shoot: shoots 
jerome: jerome 
part: parts part 
next: next 
right: right rights 
header: headers 
affair: affair 
ask: ask 
written: written 
timbaland: timbaland 
performance: performance performances 
format: format 
vocalist: vocalists 
nirvana: nirvana 
developer: developers 
illest: illest 
fly: fly 
laundry: laundry 
lobby: lobby 
bridge: bridge 
july: july 
kiddin: kiddin 
krist: krist 
villa: villa 
collaboration: collaboration 
potter: potter 
bmg: bmg 
phonographic: phonographic 
alive: alive 
die: die 
mixing: mixing 
view: view 
musical: musical 
picasso: picasso 
visit: visit 
user: users 
though: though 
created: created 
shit: shit 
psycho: psycho 
game: game 
coordination: coordination 
p: p 
play: play 
ooh: ooh 
see: see 
uh: uh 
broken: broken 
different: different 
united: united 
whose: whose 
fight: fight 
bright: bright 
twelve: twelve 
regan: regan 
enough: enough 
video: videos video 
featured: featured 
light: light lights 
cool: cool 
tag: tags 
direction: direction 
grant: grants 
label: label 
water: water 
michael: michael 
ascap: ascap 
got: got 
bigger: bigger 
coast: coast 
clean: clean 
type: type 
release: release 
b: b 
lowe: lowe 
jayzus: jayzus 
vision: vision 
bitch: bitches 
castellon: castellon 
group: group 
unfair: unfair 
jason: jason 
bmi: bmi 
intro: intro 
french: french 
swing: swings 
lighting: lighting 
horse: horse 
x: x 
one: one 
ramon: ramon 
transcriber: transcribers 
night: night 
thirty: thirty 
peace: peace 
policy: policy 
publisher: publisher 
birthed: birthed 
novoselic: novoselic 
living: living 
corner: corner 
etc: etc 
sell: sell 
fran: fran 
took: took 
cheatin: cheatin 
soon: soon 
ford: ford 
anthem: anthem 
summer: summer 
annotation: annotation 
perform: perform 
fella: fella 
air: air 
somewhereinamerica: somewhereinamerica 
fiasco: fiasco 
hafto: hafto 
forthcoming: forthcoming 
rivas: rivas 
david: david 
told: told 
person: person 
genius: genius 
smell: smells 
mj: mj 
flight: flight 
amra: amra 
sample: samples sample 
maze: maze 
featuring: featuring 
carson: carson 
preview: preview 
blue: blue 
press: press 
vanilla: vanilla 
freestyle: freestyle 
rap: rap 
pt: pt 
slough: slough 
booklet: booklet 
forever: forever 
curtain: curtains 
u: u us 
enterprise: enterprises 
verified: verified 
n: n 
tso: tso 
g: g 
photo: photo 
letter: letter 
rising: rising 
blame: blame 
primary: primary 
paper: paper 
mil: mil 
knowledge: knowledge 
writer: writers 
begin: begin 
snappin: snappin 
sesac: sesac 
make: make 
dream: dream 
death: death 
line: lines 
runneth: runneth 
goddamn: goddamn 
j: j 
licensing: licensing 
assistant: assistant 
throw: throw 
life: life 
warning: warning 
olly: olly 
sittin: sittin 
forum: forum 
said: said 
mad: mad 
advertise: advertise 
devlin: devlin 
ai: aises ais 
amazin: amazin 
additional: additional 
watch: watch 
add: add 
understand: understand 
danthology: danthology 
guide: guide 
lin: lin 
whenever: whenever 
conor: conor 
deal: deal deals 
familia: familia 
weber: weber 
please: please 
timberlake: timberlake 
counting: counting 
promote: promote 
hip: hip 
kobalt: kobalt 
copyright: copyright 
job: jobs 
biggest: biggest 
bold: bold 
f: f 
photography: photography 
chappell: chappell 
contact: contact 
em: em 
state: state 
juto: juto 
ml: ml 
magna: magna 
art: art 
production: production 
also: also 
get: get 
eye: eyes 
translation: translations translation 
lueders: lueders 
code: code 
cobain: cobain 
body: body 
grohl: grohl 
newrules: newrules 
nation: nation 
pigeon: pigeons 
comin: comin 
fact: facts 
monarch: monarch 
end: end 
interlude: interlude 
contagious: contagious 
sleeve: sleeve 
low: low 
chris: chris 
cancel: cancel 
dirty: dirty 
z: z 
high: high 
holy: holy 
steal: steal 
wave: wave 
mastering: mastering 
new: new 
dime: dimes 
look: look 
made: made 
lupe: lupe 
survived: survived 
callin: callin 
mate: mate 
mix: mix 
term: terms 
east: east 
take: take 
open: open 
gemstone: gemstones 
morgan: morgan 
screamin: screamin 
tune: tunes 
interpolate: interpolate 
chain: chain 
maya: maya 
maynard: maynard 
hop: hop 
keep: keep 
la: la 
blow: blows 
aise: aise 
embed: embed 
first: first 
tom: tom 
universal: universal 
ft: ft 
fame: fame 
hot: hot 
radio: radio 
curse: curse 
ultimate: ultimate 
tyson: tyson 
jungle: jungle 
ink: ink 
like: like 
distinguish: distinguish 
window: window 
cover: covers 
better: better 
shame: shame 
crack: crack 
hurt: hurt 
fuck: fuck 
bleed: bleed 
source: source 
bath: bath 
need: need 
discoton: discoton 
sign: sign 
justin: justin 
q: q 
matt: matt 
day: day 
pop: pop 
r: r 
asked: asked 
bail: bail 
llc: llc 
dry: dry 
insight: insight 
murs: murs 
break: breaks 
studio: studios 
e: e 
slidin: slidin 
daughter: daughter 
expand: expand 
worse: worse 
big: big 
hell: hell 
sippin: sippin 
recording: recording 
feel: feel 
talkin: talkin 
caught: caught 
dave: dave 
repeating: repeating 
irs: irs 
track: track 
til: til 
love: love 
app: app 
remind: remind 
publishing: publishing 
work: work 
iii: iii 
date: date 
food: food 
girl: girls 
platinum: platinum 
dub: dubs 
c: c 
thanks: thanks 
able: able 
daniel: daniel 
blade: blade 
h: h 
stupid: stupid 
individual: individual 
lenny: lenny 
payper: payper 
thug: thugs 
crown: crown 
entertainer: entertainers 
know: know 
tattoo: tattoos 
heart: heart 
personal: personal 
mandler: mandler 
cornered: cornered 
transcription: transcription 
chart: charts 
might: might 
pre: pre 
heaven: heaven 
yeah: yeah 
legend: legends 
canadiana: canadiana 
dying: dying 
warner: warner 
vocal: vocals 
kim: kim 
record: records 
store: store 
gettin: gettin 
beach: beach 
sing: sing 
star: stars 
fuckwithmeyouknowigotit: fuckwithmeyouknowigotit 
music: music 
l: l 
drive: drive 
live: live 
question: question 
clothes: clothes 
silver: silver 
drop: drop 
shop: shop 
produced: produced 
learn: learn 
king: king 
murder: murder 
chen: chen 
verse: verse 
mcfarland: mcfarland 
editing: editing 
anthony: anthony 
recorded: recorded 
fantasy: fantasy 
dj: dj 
gehringer: gehringer 
gerstenfeld: gerstenfeld 
scholar: scholars 
grail: grail 
story: story 
interpolation: interpolations 
guess: guess 
download: download 
anna: anna 
entertainment: entertainment 
iris: iris 
jay: jay 
nicholas: nicholas 
samsung: samsung 
