damn: damn 
tradu: tradu 
italic: italics 
bitch: bitch 
zed: zed 
around: around 
chorus: chorus 
dive: dive 
still: still 
section: section 
liquor: liquor 
nobody: nobody 
ye: ye 
loud: loud 
international: international 
drank: drank 
nigga: nigga niggas 
chicago: chicago 
pas: pass 
vers: vers 
good: good 
nauseous: nauseous 
okay: okay 
remixes: remixes 
knife: knives 
pour: pour 
little: little 
reference: reference 
traductions: traductions 
collection: collection 
insane: insane 
tell: tell 
use: use 
fallon: fallon 
svenska: svenska 
lyric: lyrics lyric 
bad: bad 
changin: changin 
bumble: bumble 
ttning: ttning 
wise: wise 
influenced: influenced 
vow: vow 
doin: doin 
information: information 
rapper: rapper 
demo: demo 
tear: tears tear 
apparently: apparently 
boy: boy 
po: po 
crystelle: crystelle 
w: w 
social: social 
world: world 
holding: holdings 
making: making 
ed: ed 
gunshot: gunshots 
traduction: traduction 
drunk: drunk 
v: v 
soundclown: soundclown 
back: back 
wanna: wanna 
wake: wake 
pressure: pressure 
acrylo: acrylo 
duck: duck 
privacy: privacy 
hope: hope 
artist: artists 
ayy: ayy 
baxter: baxter 
loved: loved 
go: go goes 
either: either 
opposite: opposite 
fall: fall 
another: another 
appetite: appetite 
hunger: hunger 
ca: ca 
alcoholism: alcoholism 
splinter: splinter 
run: run 
answer: answer 
ru: ru 
share: share 
tree: trees 
feat: feat 
rouge: rouge 
never: never 
insight: insights insight 
k: k 
think: think 
guideline: guidelines 
minus: minus 
check: check 
song: song songs 
et: et 
credit: credits 
chopper: chopper 
granddaddy: granddaddy 
simple: simple 
man: man 
going: going 
even: even 
nikhil: nikhil 
lap: lap 
engineer: engineer 
pool: pools pool 
teenager: teenagers 
post: post 
defeating: defeating 
everything: everything 
money: money 
repeat: repeat 
real: real 
cup: cup 
comment: comment comments 
exquire: exquire 
contributor: contributor contributors 
actually: actually 
yung: yung 
parental: parental 
read: read 
meme: memes meme 
sleep: sleep 
english: english 
call: calls 
part: parts part 
savage: savage 
header: headers 
right: right 
ask: ask 
written: written 
format: format 
failure: failure 
vocalist: vocalists 
kard: kard 
miguel: miguel 
beezy: beezy 
metaphor: metaphor 
compton: compton 
developer: developers 
fly: fly 
bridge: bridge 
july: july 
limit: limit 
john: john 
phonographic: phonographic 
drown: drown 
remix: remix 
die: die 
mixing: mixing 
smija: smija 
view: view 
musical: musical 
visit: visit 
justice: justice 
luckytaaru: luckytaaru 
created: created 
billboard: billboard 
shit: shit 
boomin: boomin 
power: power 
theme: theme 
head: head 
p: p 
play: play 
killed: killed 
see: see 
meaning: meaning 
somebody: somebody 
muthafuckin: muthafuckin 
broken: broken 
different: different 
feelin: feelin 
shot: shot shots 
vida: vida 
hour: hours 
red: red 
enough: enough 
e: es e 
granted: granted 
video: videos 
aha: aha 
featured: featured 
tag: tags 
ride: ride 
label: label 
victory: victory 
michael: michael 
al: al 
takin: takin 
got: got 
dre: dre 
coast: coast 
metro: metro 
type: type 
release: release 
b: b 
spab: spab 
zilla: zilla 
occasion: occasions 
nostalgia: nostalgia 
pluffaduff: pluffaduff 
fit: fit 
group: group 
schoolboy: schoolboy 
getting: getting 
hear: hear 
fucked: fucked 
intro: intro 
french: french 
svensk: svensk 
dynasty: dynasty 
decision: decisions decision 
popular: popular 
one: one 
x: x 
transcriber: transcribers 
sip: sip sips 
swimming: swimming 
identity: identity 
open: opens open 
received: received 
round: round 
cider: cider 
gleesh: gleesh 
via: via 
policy: policy 
capitalize: capitalize 
influence: influence 
kendrick: kendrick 
etc: etc 
sell: sell 
could: could 
friend: friends 
took: took 
fran: fran 
dr: dr 
minute: minute 
portugu: portugu 
soon: soon 
anthem: anthem 
poolside: poolside 
end: ends 
annotation: annotation 
sorrow: sorrow 
listen: listen 
along: along 
polish: polish 
diamond: diamonds 
corrode: corrode 
coming: coming 
hippy: hippy 
genius: genius 
somethin: somethin 
kamar: kamar 
people: people 
introspective: introspective 
carson: carson 
sample: samples sample 
remus: remus 
press: press 
club: club 
freestyle: freestyle 
mind: mind minds 
rap: rap 
sound: sound sounds 
peer: peer 
ecconigga: ecconigga 
fillin: fillin 
fired: fired 
stand: stand 
homie: homie 
gon: gon 
understanding: understanding 
flow: flows 
lead: lead 
u: u us 
edition: edition 
drinking: drinking 
lay: lay 
verified: verified 
n: n 
g: g 
lendrick: lendrick 
show: show 
mixed: mixed 
leaf: leaf 
paper: paper 
room: room 
knowledge: knowledge 
every: every 
backstroke: backstroke 
milano: milano 
city: city 
excuse: excuse 
make: make 
jokin: jokin 
laugh: laugh 
backseat: backseat 
dream: dream 
psychological: psychological 
kream: kream 
west: west 
death: death 
line: lines 
brasil: brasil 
licensing: licensing 
unotheactivist: unotheactivist 
j: j 
paloalto: paloalto 
life: life 
felt: felt 
yo: yo 
freedom: freedom 
someone: someone 
tde: tde 
golden: golden 
true: true 
say: say 
poetic: poetic 
ol: ol 
swimmer: swimmer 
sure: sure 
aw: aw 
prob: prob 
forum: forum 
lookin: lookin 
traducciones: traducciones 
content: content 
said: said 
inside: inside 
advertise: advertise 
ai: aises 
many: many 
dawg: dawg 
watch: watch 
add: add 
