junior: junior 
talk: talk 
italic: italics 
bitch: bitch 
ro: ros ro 
chorus: chorus 
section: section 
nobody: nobody 
mavado: mavado 
let: let 
shmoney: shmoney 
drank: drank 
meeshie: meeshie 
nigga: nigga niggas 
february: february 
chicago: chicago 
pas: pass 
good: good 
gever: gever 
roc: roc 
remixes: remixes 
pour: pour 
zero: zero 
jaja: jaja 
locked: locked 
released: released 
ludacris: ludacris 
bully: bully 
collection: collection 
neck: neck 
sentenced: sentenced 
ybn: ybn 
tell: tell 
spirit: spirit 
use: use 
jackboy: jackboy 
figo: figo 
lyric: lyrics lyric 
bad: bad 
give: give 
interest: interest 
outro: outro 
wta: wta 
put: put 
drill: drill 
information: information 
including: including 
boy: boy 
certified: certified 
pal: pal 
social: social 
w: w 
world: world 
holding: holdings 
making: making 
de: de 
line: line lines 
thug: thug 
v: v vs 
baby: baby 
morde: morde 
ichon: ichon 
try: try 
stone: stone 
suko: suko 
back: back 
bunny: bunny 
much: much 
york: york 
beyonc: beyonc 
butt: butt 
jackson: jackson 
gunz: gunz 
kurt: kurt 
sickers: sickers 
sic: sic 
dance: dance 
privacy: privacy 
artist: artists 
primarily: primarily 
pack: packs 
issatekk: issatekk 
care: care 
benji: benji 
loved: loved 
go: go goes 
beat: beats 
akiodawg: akiodawg 
ryzair: ryzair 
hole: holes 
fall: fall 
another: another 
cal: cal 
dont: dont 
ubem: ubem 
run: run 
stephenson: stephenson 
tede: tede 
hotter: hotter 
answer: answer 
share: share 
spend: spend 
dropped: dropped 
week: week 
never: never 
kerstbomen: kerstbomen 
k: k 
catching: catching 
guideline: guidelines 
kanskaart: kanskaart 
name: name 
ke: ke 
finna: finna 
check: check checks 
gay: gay 
song: song songs 
credit: credits 
karlo: karlo 
grim: grim 
rahn: rahn 
plash: plash 
tuesday: tuesday 
wayne: wayne 
man: man 
cupcakke: cupcakke 
rod: rod 
dinner: dinner 
block: block 
popping: popping 
even: even 
engineer: engineer 
celebrity: celebrities 
rich: rich 
razzismo: razzismo 
von: von 
jusblow: jusblow 
money: money 
purpmiya: purpmiya 
songview: songview 
esaies: esaies 
comment: comment comments 
wrote: wrote 
fetti: fetti 
reduced: reduced 
millis: millis 
milly: milly 
contributor: contributor contributors 
jackpot: jackpot 
dog: dogs dog 
rowdy: rowdy 
read: read 
meme: memes 
lil: lil 
slump: slump 
savage: savage 
riaa: riaa 
free: free 
bow: bow 
part: parts part 
next: next 
header: headers 
ask: ask 
written: written 
performance: performance 
tough: tough 
format: format 
gorilla: gorillas 
jahlil: jahlil 
vocalist: vocalists 
ball: ball 
ah: ah 
developer: developers 
grimey: grimey 
empec: empec 
july: july 
vine: vine 
li: li 
bmg: bmg 
phonographic: phonographic 
flip: flip 
director: director 
cracovia: cracovia 
remix: remix 
due: due 
pull: pull 
popped: popped 
il: il 
mixing: mixing 
omb: omb 
style: style 
araabmuzik: araabmuzik 
view: view 
musical: musical 
visit: visit 
though: though 
created: created 
reid: reid 
shit: shit 
studio: studio 
knage: knage 
p: p 
greezy: greezy 
keith: keith 
toca: toca 
ghetto: ghetto 
call: call 
medium: media 
forgive: forgive 
broken: broken 
different: different 
chuchesta: chuchesta 
shot: shot shots 
vida: vida 
star: star 
broad: broad 
video: videos video 
story: stories 
pussy: pussy 
deconstructed: deconstructed 
featured: featured 
shorty: shorty 
tag: tags 
get: gets get 
label: label 
parody: parody 
gigant: gigant 
jeezy: jeezy 
pat: pat 
hol: hol 
vato: vato 
known: known 
michael: michael 
ascap: ascap 
wap: wap 
got: got 
ace: ace 
coast: coast 
tryna: tryna 
rym: rym 
type: type 
b: b 
release: release 
stoned: stoned 
monte: monte 
fungus: fungus 
right: rights 
unny: unny 
rambo: rambo 
seckond: seckond 
joe: joe 
group: group 
getting: getting 
dure: dure 
intro: intro 
french: french 
result: result 
cortex: cortex 
thebe: thebe 
moco: moco 
popular: popular 
x: x 
brown: brown 
bullet: bullet 
transcriber: transcribers 
peaking: peaking 
razzistare: razzistare 
lot: lot 
booty: booty 
blu: blu 
received: received 
pac: pac 
modmon: modmon 
policy: policy 
publisher: publisher 
manaiac: manaiac 
cooky: cookies 
slim: slim 
holla: holla 
ten: ten 
etc: etc 
sell: sell 
mafe: mafe 
ape: ape 
paris: paris 
trigger: trigger 
dressed: dressed 
sub: sub 
smooth: smooth 
bobby: bobby 
wilding: wilding 
annotation: annotation 
mintle: mintle 
wonder: wonder 
mob: mob 
kt: kts 
bsd: bsd 
ahh: ahh 
jail: jail 
swag: swag 
rihanna: rihanna 
stevie: stevie 
coming: coming 
genius: genius 
nick: nick 
gga: gga 
kot: kot 
amra: amra 
hooptie: hooptie 
sample: samples sample 
juicy: juicy 
pulsion: pulsion 
blue: blue 
press: press 
five: five 
grr: grr 
ham: ham 
freestyle: freestyle 
ryde: ryde 
allah: allah 
rap: rap 
year: years 
doyle: doyle 
jonahph: jonahph 
pt: pt 
mike: mike 
title: title 
wigga: wigga 
tracey: tracey 
otb: otb 
major: major 
rdcworld: rdcworld 
ninja: ninja 
opp: opp 
gon: gon 
u: u us 
mama: mama 
verified: verified 
n: n 
network: network 
rmx: rmx 
geqc: geqc 
g: g gs 
face: face 
cbch: cbch 
iconic: iconic 
knowledge: knowledge 
seven: seven 
charron: charron 
tay: tay 
make: make 
talking: talking 
ar: ar 
death: death 
obladaet: obladaet 
licensing: licensing 
j: j 
dz: dz 
sony: sony 
yo: yo 
sean: sean 
taught: taught 
chubb: chubb 
devil: devil 
busta: busta 
forum: forum 
said: said 
inside: inside 
fifth: fifth 
difference: difference 
advertise: advertise 
bank: banks 
many: many 
add: add 
blew: blew 
shooter: shooters 
eng: eng 
squeezing: squeezing 
understand: understand 
robin: robin 
guide: guide 
swear: swear 
gotti: gotti 
fabolous: fabolous 
fetty: fetty 
popcaan: popcaan 
boom: boom 
tweaking: tweaking 
royalty: royalty 
promote: promote 
hip: hip 
bonus: bonus 
fucking: fucking 
kobalt: kobalt 
ep: ep 
foot: foot 
blits: blits 
copyright: copyright 
jadakiss: jadakiss 
biggest: biggest 
job: jobs 
bold: bold 
hood: hood 
yeezuz: yeezuz 
nafla: nafla 
f: f 
shyste: shyste 
messiah: messiah 
busy: busy 
chappell: chappell 
contact: contact 
em: em 
squad: squad 
scene: scene 
ml: ml 
mask: mask 
callum: callum 
pluto: pluto 
ayo: ayo 
also: also 
distributor: distributor 
came: came 
hoot: hoot 
locale: locale 
nahmir: nahmir 
kk: kk 
body: body 
nation: nation 
fact: facts 
interlude: interlude 
def: def 
thing: things 
ho: ho 
hots: hots 
chris: chris 
cancel: cancel 
trapland: trapland 
loopy: loopy 
trap: trap 
z: z 
disciple: disciple 
come: come 
ago: ago 
mode: mode 
mastering: mastering 
way: way 
buda: buda 
new: new 
santana: santana 
boiz: boiz 
chaynce: chaynce 
made: made 
epic: epic 
nah: nah 
top: top 
teaming: teaming 
montana: montana 
mix: mix 
term: terms 
popularity: popularity 
gunplay: gunplay 
east: east 
drawing: drawing 
maintain: maintain 
joey: joey 
interpolate: interpolate 
og: og 
latinautor: latinautor 
twirl: twirl 
god: god 
hop: hop 
keep: keep 
jah: jah 
bounce: bounce 
freedy: freedy 
la: la 
lloyd: lloyd 
embed: embed 
glizzy: glizzy 
thang: thang 
grade: grade 
universal: universal 
ft: ft 
daddy: daddy 
time: time 
actual: actual 
hot: hot 
rhyme: rhymes 
joyce: joyce 
rame: rame 
since: since 
lefensmannen: lefensmannen 
match: match 
bos: boss 
ultimate: ultimate 
tyson: tyson 
nine: nine 
joeyzaza: joeyzaza 
mitch: mitch 
like: like 
distinguish: distinguish 
cover: covers 
cmrra: cmrra 
crack: crack 
fuck: fuck 
huh: huh 
pound: pound 
went: went 
source: source 
rebel: rebel 
need: need 
sign: sign 
justin: justin 
tre: tre 
q: q 
motherfuckin: motherfuckin 
stay: stay 
r: r 
chewy: chewy 
done: done 
selling: selling 
gun: gun 
spanish: spanish 
kahoot: kahoot 
mcroyalty: mcroyalty 
llc: llc 
kashout: kashout 
subwave: subwave 
tape: tape 
lance: lance 
insight: insight 
profugo: profugo 
obama: obama 
ya: ya 
e: e 
expand: expand 
shy: shy 
big: big 
daylight: daylight 
brawl: brawl 
recording: recording 
pain: pain 
caught: caught 
stai: stai 
shawty: shawty 
problem: problem 
phantom: phantom 
dave: dave 
repeating: repeating 
raw: raw 
track: track 
yzomandias: yzomandias 
bieber: bieber 
til: til 
bello: bello 
love: love 
app: app 
hit: hit 
nastavnik: nastavnik 
publishing: publishing 
aj: aj 
date: date 
cory: cory 
nane: nane 
platinum: platinum 
sap: sap 
girl: girls 
zeou: zeou 
send: send 
c: c 
malfatto: malfatto 
house: house 
asche: asche 
cash: cash 
daniel: daniel 
logic: logic 
ski: ski 
bedoes: bedoes 
h: h 
individual: individual 
tone: tones 
certification: certifications 
lp: lp 
everybody: everybody 
personal: personal 
maine: maine 
bark: bark 
transcription: transcription 
kerstmis: kerstmis 
chart: charts 
might: might 
hard: hard 
thot: thot 
mint: mint 
dumb: dumb 
warner: warner 
catch: catch 
running: running 
jul: jul 
kim: kim 
gangsta: gangsta 
record: records 
however: however 
music: music 
l: l 
leon: leon 
really: really 
bastardo: bastardo 
peter: peter 
cop: cops 
natethemate: natethemate 
kid: kid 
zoot: zoot 
question: question 
suspect: suspect 
klil: klil 
giggs: giggs 
drop: drop 
shop: shop 
produced: produced 
learn: learn 
remy: remy 
king: king 
miky: miky 
monty: monty 
wanted: wanted 
verse: verse 
zoro: zoro 
woodz: woodz 
earned: earned 
young: young 
anthony: anthony 
recorded: recorded 
bnun: bnun 
shmurda: shmurda 
ap: ap 
dj: dj 
gehringer: gehringer 
albertnbn: albertnbn 
scholar: scholars 
sono: sono 
motherfucker: motherfucker 
ooouuu: ooouuu 
dot: dot 
seen: seen 
viva: viva 
doghouse: doghouse 
pussycat: pussycats 
glocks: glocks 
floss: floss 
as: ass 
breezy: breezy 
rasha: rasha 
biggie: biggie 
entertainment: entertainment 
jay: jay 
africa: africa 
abramus: abramus 
