cobra: cobra 
double: double 
italic: italics 
bitch: bitch bitches 
chorus: chorus 
aventum: aventum 
rover: rovers 
section: section 
ant: ant 
international: international 
nigga: nigga niggas 
chicago: chicago 
cent: cent 
kevin: kevin 
extraordinary: extraordinary 
hate: hate 
remixes: remixes 
bezbar: bezbar 
ortiz: ortiz 
kbps: kbps 
mi: mi 
probation: probation 
boyz: boyz 
reference: reference 
traductions: traductions 
collection: collection 
trappa: trappa 
glo: glo 
use: use 
latinautorperf: latinautorperf 
cracker: cracker 
lyric: lyrics lyric 
stop: stop 
chief: chief 
drill: drill 
information: information 
cypher: cypher 
boy: boy boys 
jordan: jordan 
w: w 
six: six 
world: world 
holding: holdings 
shut: shut 
making: making 
tony: tony 
de: de 
rick: rick 
traduction: traduction 
v: v 
momma: momma 
back: back 
hand: hands 
hbomb: hbomb 
alex: alex 
whats: whats 
artichoke: artichoke 
duck: duck 
lieben: lieben 
privacy: privacy 
artist: artists artist 
jawie: jawie 
re: res 
ayy: ayy 
care: care 
bout: bout 
loved: loved 
go: go 
another: another 
aloe: aloe 
ubem: ubem 
answer: answer 
share: share 
roll: roll 
isnt: isnt 
k: k 
pole: pole 
beverly: beverly 
quinn: quinn 
think: think 
guideline: guidelines 
name: name 
check: check 
song: song songs 
lambos: lambos 
credit: credits 
clap: clap 
bein: bein 
even: even 
engineer: engineer 
rich: rich 
fucker: fuckers 
liar: liar 
llama: llama 
demon: demon 
sp: sp 
sosa: sosa 
keef: keef 
comment: comment comments 
raww: raww 
stalley: stalley 
tomorrow: tomorrow 
contributor: contributor contributors 
yung: yung 
lil: lil 
savage: savage savages 
part: parts part 
header: headers 
ask: ask 
written: written 
performance: performance 
format: format 
vocalist: vocalists 
developer: developers 
magnolia: magnolia 
bushido: bushido 
li: li 
goody: goody 
ballin: ballin 
phonographic: phonographic 
director: director 
fore: fore 
remix: remix 
grown: grown 
arrest: arrest 
mixing: mixing 
view: view 
musical: musical 
visit: visit 
created: created 
shit: shit 
dripreport: dripreport 
return: return 
khalifa: khalifa 
p: p 
lizer: lizer 
see: see 
fun: fun 
call: call 
broken: broken 
different: different 
legal: legal 
leto: leto 
clique: clique 
babytron: babytron 
feelin: feelin 
raris: raris 
cop: cop 
vida: vida 
hitter: hitter 
star: star 
park: park 
plombi: plombi 
rock: rock 
drama: drama 
video: videos video 
pant: pants 
kobe: kobe 
knxwledge: knxwledge 
xaev: xaev 
featured: featured 
cool: cool 
album: album 
tag: tags 
get: gets get 
ekmek: ekmek 
label: label 
character: character 
water: water 
cockroach: cockroach 
itami: itami 
ascap: ascap 
got: got 
hustensaft: hustensaft 
zho: zho 
wiz: wiz 
type: type 
release: release 
b: b 
jesto: jesto 
expose: expose 
bio: bio 
right: rights 
harrsn: harrsn 
group: group 
screwx: screwx 
hill: hills 
fucked: fucked 
bmi: bmi 
intro: intro 
french: french 
maksa: maksa 
x: x 
trending: trending 
transcriber: transcribers 
deleted: deleted 
barber: barber 
disrespect: disrespect 
dgainz: dgainz 
received: received 
alejandro: alejandro 
policy: policy 
publisher: publisher 
vic: vic 
gangsterka: gangsterka 
var: var 
sell: sell 
etc: etc 
friend: friends 
fran: fran 
topic: topic 
luv: luv 
bobby: bobby 
annotation: annotation 
grab: grab 
october: october 
broke: broke 
bank: bank 
billionaire: billionaire 
polish: polish 
diamond: diamonds 
genius: genius 
amra: amra 
sample: samples sample 
press: press 
russian: russian 
freestyle: freestyle 
mind: mind 
rap: rap 
issue: issues 
pt: pt 
beatin: beatin 
ngling: ngling 
gon: gon 
steady: steady 
u: u us 
edition: edition 
shootin: shootin 
niykee: niykee 
verified: verified 
n: n 
boat: boat 
g: g 
knowledge: knowledge 
talking: talking 
make: make 
finally: finally 
death: death 
line: lines 
licensing: licensing 
mensa: mensa 
j: j 
na: na 
police: police 
scarface: scarface 
say: say says 
oliver: oliver 
forum: forum 
molly: molly 
jockin: jockin 
advertise: advertise 
ai: aises ais 
meet: meet 
additional: additional 
add: add 
resides: resides 
honored: honored 
understand: understand 
symphony: symphony 
guide: guide 
ridin: ridin 
lot: lots 
swear: swear 
hunna: hunna 
soda: soda 
ab: ab 
gilty: gilty 
rose: rose 
school: school 
warrant: warrants 
promote: promote 
sweet: sweet 
fucking: fucking 
kobalt: kobalt 
price: price 
copyright: copyright 
hundred: hundred 
biggest: biggest 
job: jobs 
bold: bold 
reese: reese 
pinecone: pinecone 
f: f 
alle: alle 
umaczenie: umaczenie 
old: old 
cover: cover covers 
ravaughn: ravaughn 
chappell: chappell 
contact: contact 
ml: ml 
ula: ula 
card: card 
also: also 
distributor: distributor 
umaczenia: umaczenia 
mean: mean 
polski: polski 
mich: mich 
translation: translations translation 
itsgarcia: itsgarcia 
xluv: xluv 
fbg: fbg 
bellman: bellman 
fact: facts 
fake: fake 
end: end 
sort: sorts 
chris: chris 
cancel: cancel 
trap: trap 
z: z 
mastering: mastering 
new: new 
spalle: spalle 
zhosa: zhosa 
montana: montana 
da: da 
interscope: interscope 
term: terms 
gbe: gbe 
landlord: landlord 
polskie: polskie 
refers: refers 
hoe: hoes 
black: black 
original: original 
interpolate: interpolate 
whopper: whopper 
tadoe: tadoe 
unreviewed: unreviewed 
latinautor: latinautor 
dthang: dthang 
god: god 
james: james 
keep: keep 
la: la 
pusch: pusch 
dem: dem 
aise: aise 
embed: embed 
bang: bang 
universal: universal 
ft: ft 
collect: collect 
telling: telling 
galaxy: galaxy 
main: main 
hot: hot 
three: three 
slumped: slumped 
since: since 
heaton: heaton 
indian: indian 
bos: boss 
ultimate: ultimate 
ratchet: ratchet 
like: like 
kensei: kensei 
distinguish: distinguish 
guy: guy 
chop: chop 
mark: mark 
