renewed: renewed 
double: double 
retarded: retarded 
brent: brent 
floyd: floyd 
tradu: tradu 
study: study 
hang: hang 
bitch: bitch 
italic: italics 
sesh: sesh 
around: around 
turning: turning 
thought: thoughts 
chorus: chorus 
rakim: rakim 
stir: stir 
negative: negative 
still: still 
burn: burn 
section: section 
time: times 
liquor: liquor 
gardner: gardner 
dissed: dissed 
mailed: mailed 
let: let 
loud: loud 
choppy: choppy 
kamikaze: kamikaze 
jumbo: jumbo 
deserted: deserted 
oops: oops 
hate: hate 
good: good 
remixes: remixes 
buck: bucks 
look: looks look 
pointing: pointing 
mathers: mathers 
eating: eating 
leanje: leanje 
reference: reference 
enter: enter 
traductions: traductions 
movie: movie 
collection: collection 
stick: stick 
nightstick: nightstick 
dis: disses diss 
mirror: mirror 
tell: tell 
use: use 
common: common 
grip: grip 
heard: heard 
fall: falls fall 
lyric: lyrics lyric 
thames: thames 
give: give 
expertise: expertise 
chill: chill 
information: information 
cypher: cypher 
boy: boy 
breathe: breathe 
fuse: fuse 
shady: shady 
tip: tip 
spiegel: spiegel 
w: w 
illa: illa 
explain: explain 
world: world 
walk: walk 
sneeze: sneeze 
shut: shut 
possessed: possessed 
tony: tony 
holding: holdings 
line: line lines 
traduction: traduction 
oh: oh 
slider: slider 
v: v 
shroom: shroom 
see: sees see 
cold: cold 
disabled: disabled 
stone: stone 
reach: reach 
order: order 
back: back 
invite: invite 
wanna: wanna 
rewarded: rewarded 
much: much 
wake: wake 
dookie: dookie 
privacy: privacy 
artist: artists artist 
want: want wants 
yes: yes 
write: write 
rapper: rappers 
linked: linked 
jacobson: jacobson 
bout: bout 
loved: loved 
spelled: spelled 
go: go 
rumble: rumble 
smartest: smartest 
beat: beats beat 
empty: empty 
joyner: joyner 
shout: shout 
humble: humble 
dick: dick 
run: run 
eviri: eviri 
ice: ice 
answer: answer 
upside: upside 
jon: jon 
critiquin: critiquin 
thinkin: thinkin 
share: share 
gang: gang 
mic: mic 
aquamarine: aquamarine 
week: week 
revival: revival 
never: never 
pushing: pushing 
account: account 
anyone: anyone 
mcdonald: mcdonald 
k: k 
engine: engine 
clone: clone 
snake: snake 
think: think 
startin: startin 
co: co 
guideline: guidelines 
name: name 
hurtin: hurtin 
check: check 
song: song songs 
credit: credits 
arkwea: arkwea 
bein: bein 
jaw: jaws 
cole: cole 
wayne: wayne 
man: man 
cleaner: cleaners 
gonna: gonna 
rumbling: rumblings 
even: even 
engineer: engineer 
shoulda: shoulda 
thing: thing things 
liar: liar 
review: reviews 
yachty: yachty 
shake: shake 
eat: eat 
thousand: thousand 
split: split 
everything: everything 
worthless: worthless 
pella: pella 
real: real 
serve: serve 
cup: cup 
comment: comment comments 
whitestrip: whitestrip 
hardcore: hardcore 
reword: reword 
verse: verses verse 
book: book 
contributor: contributor contributors 
effigy: effigy 
tryin: tryin 
journalist: journalists journalist 
greatest: greatest 
read: read 
ringer: ringer 
word: word words 
lil: lil 
sleep: sleep 
savage: savage 
call: calls call 
part: parts part 
goat: goat 
header: headers 
right: right rights 
ask: ask 
written: written 
performance: performance 
tuned: tuned 
format: format 
key: keys 
vocalist: vocalists 
strip: strip 
ball: ball 
service: service 
workin: workin 
developer: developers 
preach: preach 
alcoholic: alcoholic 
reza: reza 
probably: probably 
phonographic: phonographic 
side: side 
remix: remix 
magazine: magazine 
yelawolf: yelawolf 
pull: pull 
die: die 
rk: rk 
regardless: regardless 
mixing: mixing 
garbage: garbage 
view: view views 
chino: chino 
dead: dead 
musical: musical 
que: que 
visit: visit 
though: though 
specifically: specifically 
italiano: italiano 
polarize: polarize 
created: created 
shit: shit 
game: game 
allowed: allowed 
jam: jam 
detroit: detroit 
trump: trump 
anger: anger 
freeze: freeze 
head: head 
p: p 
auto: auto 
killed: killed 
medium: media 
kool: kool 
lucky: lucky 
broken: broken 
terrorist: terrorists 
different: different 
olympics: olympics 
bought: bought 
vida: vida 
maybe: maybe 
yet: yet 
enough: enough 
e: es e 
video: videos 
win: win 
featured: featured 
flow: flow 
light: light 
album: album 
crumble: crumble 
cease: cease 
tag: tags 
label: label 
issue: issue 
parody: parody 
started: started 
water: water 
matter: matter 
missed: missed 
ballad: ballad 
ascap: ascap 
al: al 
actin: actin 
standard: standards 
empathize: empathize 
got: got 
alphabet: alphabet 
rhyme: rhyme rhymes 
type: type 
release: release 
b: b 
lean: lean 
defeat: defeat 
staple: staples 
doze: doze 
premier: premier 
evil: evil 
mgk: mgk 
expect: expect 
effing: effing 
joe: joe 
normal: normal 
group: group 
chick: chick 
tinvain: tinvain 
hear: hear 
bmi: bmi 
billion: billions 
click: clicks 
intro: intro 
french: french 
green: green 
brown: brown 
one: one 
