ussobi: ussobi 
headband: headband 
italic: italics 
chauncey: chauncey 
confession: confessions 
around: around 
chorus: chorus 
thought: thoughts 
note: note 
still: still 
section: section 
time: times time 
nobody: nobody 
mannequin: mannequins mannequin 
let: let 
chazer: chazer 
nigga: nigga 
banter: banter 
anything: anything 
attracted: attracted 
semi: semi 
lapkins: lapkins 
loathe: loathe 
good: good 
bare: bare 
prayer: prayer 
remixes: remixes 
little: little 
inadequate: inadequate 
dracula: dracula 
bannigans: bannigans 
merkules: merkules 
released: released 
ready: ready 
collection: collection 
insane: insane 
liga: liga 
nitin: nitin 
use: use 
month: month 
lyric: lyrics lyric 
bad: bad 
suicide: suicide 
uribe: uribe 
outro: outro 
hova: hova 
stop: stop 
cryptic: cryptic 
information: information 
rapper: rapper rappers 
cypher: cypher 
boy: boy 
speds: speds 
shady: shady 
kid: kids kid 
crazy: crazy 
w: w 
six: six 
world: world 
holding: holdings 
pxz: pxz 
oh: oh 
goin: goin 
v: v 
baby: baby 
ha: ha 
shroom: shroom 
third: third 
back: back 
mouth: mouth 
wanna: wanna 
joshter: joshter 
beyonc: beyonc 
yungmex: yungmex 
giving: giving 
prod: prod 
scrud: scrud 
attackin: attackin 
artist: artists 
want: want 
yes: yes 
jonathon: jonathon 
privacy: privacy 
write: write 
sheep: sheep 
twisted: twisted 
boogie: boogie 
rap: raps rap 
bout: bout 
loved: loved 
commando: commando 
go: go goes 
rainy: rainy 
ramen: ramen 
aware: aware 
joyner: joyner 
another: another 
juice: juice 
dick: dick 
eviri: eviri 
session: sessions 
answer: answer 
upside: upside 
thinkin: thinkin 
roll: roll 
share: share 
yb: yb 
tihom: tihom 
k: k 
tailbone: tailbone 
tim: tim 
think: think 
wisdom: wisdom 
co: co 
guideline: guidelines 
name: name 
toe: toes 
check: check 
song: song songs 
credit: credits 
exaggeration: exaggeration 
homicide: homicide 
man: man 
chantin: chantin 
rod: rod 
gonna: gonna 
ethos: ethos 
even: even 
engineer: engineer 
mill: mill 
thing: thing 
dad: dad 
rich: rich 
fucker: fuckers 
liar: liar 
assert: assert 
ric: ric 
legendary: legendary 
eat: eat 
money: money 
everything: everything 
scatterin: scatterin 
songview: songview 
genocide: genocide 
hardcore: hardcore 
comment: comment comments 
wrote: wrote 
chapstick: chapstick 
nocide: nocide 
cell: cell 
contributor: contributor contributors 
assassin: assassin 
greatest: greatest 
read: read 
standin: standin 
lil: lil 
dillan: dillan 
sleep: sleep 
english: english 
health: health 
free: free 
part: parts part 
fingerless: fingerless 
panickin: panickin 
janet: janet 
header: headers 
ask: ask 
written: written 
performance: performance 
va: va 
format: format 
schoegje: schoegje 
vocalist: vocalists 
developer: developers 
illest: illest 
non: non 
villainous: villainous 
jean: jean 
lyricism: lyricism 
rapid: rapid 
leopardi: leopardi 
ballin: ballin 
phonographic: phonographic 
stiff: stiff 
alive: alive 
director: director 
bandana: bandana 
remix: remix 
die: die 
pull: pull 
wrld: wrld 
hug: hug 
rk: rk 
mixing: mixing 
jesse: jesse 
view: view 
limp: limp 
mc: mcs 
papkins: papkins 
que: que 
visit: visit 
hanna: hanna 
campbell: campbell 
musical: musical 
though: though 
moth: moth 
created: created 
billboard: billboard 
shit: shit 
game: game 
batterin: batterin 
cocaine: cocaine 
jam: jam 
detroit: detroit 
head: head 
p: p 
behemoth: behemoth 
slump: slumps 
see: see 
crucified: crucified 
rennie: rennie 
glove: gloves 
meant: meant 
call: call 
dax: dax 
breakin: breakin 
reef: reeves 
broken: broken 
different: different 
desire: desire 
feelin: feelin 
kazanika: kazanika 
shot: shot 
vida: vida 
maybe: maybe 
floorboard: floorboards 
red: red 
knuckle: knuckle 
video: videos video 
nantucket: nantucket 
featured: featured 
cool: cool 
album: album 
tag: tags 
pretty: pretty 
label: label 
parody: parody 
hol: hol 
matter: matter 
gawne: gawne 
ascap: ascap 
cannabis: cannabis 
collaborate: collaborate 
clickbait: clickbait 
takin: takin 
got: got 
baytee: baytee 
coast: coast 
flamminababbitapannitajampkin: flamminababbitapannitajampkin 
rhyme: rhyme 
type: type 
release: release 
b: b 
flair: flair 
bustin: bustin 
buck: buck 
right: rights 
jigga: jigga 
bitch: bitches 
dripper: dripper 
anilyst: anilyst 
group: group 
nowhere: nowhere 
getting: getting 
dobermann: dobermann 
would: would 
hear: hear 
bmi: bmi 
intro: intro 
gusta: gusta 
randhawa: randhawa 
glexnos: glexnos 
x: x 
one: one 
transcriber: transcribers 
candle: candle 
scru: scru 
tourin: tourin 
roof: roof 
luis: luis 
policy: policy 
singular: singular 
washed: washed 
publisher: publisher 
slim: slim 
production: productions 
etc: etc 
oth: oth 
could: could 
sell: sell 
took: took 
ford: ford 
rover: rover 
trigger: trigger triggers 
sub: sub 
snap: snap 
bobby: bobby 
used: used 
annotation: annotation 
perform: perform 
listen: listen 
air: air 
relevant: relevant 
hide: hide 
best: best 
polish: polish 
genius: genius 
figured: figured 
dakira: dakira 
lost: lost 
opponent: opponents 
mass: mass 
featuring: featuring 
people: people 
standup: standup 
sample: samples sample 
day: days 
press: press 
test: test 
flappin: flappin 
freestyle: freestyle 
mind: mind 
