depends: depends 
vet: vet 
double: double 
focused: focused 
damn: damn 
roast: roast 
famous: famous 
italic: italics 
pun: pun 
mcnease: mcnease 
zed: zed 
chorus: chorus 
ro: ro 
still: still 
section: section 
fantastic: fantastic 
found: found 
nobody: nobody 
nigga: nigga niggas 
nineteen: nineteen 
season: season 
feedback: feedback 
vinylz: vinylz 
soundin: soundin 
good: good 
drum: drum 
ard: ard 
okay: okay 
remixes: remixes 
buck: bucks 
ortiz: ortiz 
zero: zero 
little: little 
boyz: boyz 
courtney: courtney 
ready: ready 
collection: collection 
stating: stating 
intended: intended 
tell: tell 
use: use 
lyric: lyrics lyric 
typical: typical 
friendly: friendly 
review: review 
wise: wise 
tru: tru 
outro: outro 
grammy: grammy 
chill: chill 
pistea: pistea 
squeezin: squeezin 
drill: drill 
information: information 
rapper: rapper 
cypher: cypher 
boy: boy 
alv: alv 
hype: hype 
jordan: jordan 
pal: pal 
crazy: crazy 
w: w 
flocka: flocka 
world: world 
jab: jabs 
holding: holdings 
making: making 
rick: rick 
oh: oh 
thug: thug 
v: v vs 
originally: originally 
baby: baby 
perspective: perspective 
y: ys 
back: back 
teacher: teachers 
wanna: wanna 
much: much 
valuable: valuable 
mat: mat 
annual: annual 
artist: artists 
want: want 
yes: yes 
privacy: privacy 
ayy: ayy 
care: care 
bout: bout 
token: token 
loved: loved 
go: go 
beat: beats beat 
either: either 
pierce: pierce 
dan: dan 
miami: miami 
aware: aware 
fall: fall 
waka: waka 
another: another 
cal: cal 
movin: movin 
execution: execution 
humble: humble 
paint: paint 
seam: seams 
run: run 
ref: refs 
move: move 
answer: answer 
rowlan: rowlan 
thinkin: thinkin 
share: share 
pay: pay 
alaclair: alaclair 
second: second 
never: never 
far: far 
k: k 
whatever: whatever 
tim: tim 
martian: martians 
stormzy: stormzy 
shebib: shebib 
think: think 
guideline: guidelines 
name: name names 
check: check 
song: song songs 
credit: credits 
clarified: clarified 
bein: bein 
ok: ok 
raccoon: raccoon 
love: loves love 
upset: upset 
wayne: wayne 
man: man 
action: actions 
going: going 
feature: features 
braggadocio: braggadocio 
even: even 
instrumental: instrumental 
mill: mill 
thing: thing 
dad: dad 
rich: rich 
reflective: reflective 
battle: battle 
liar: liar 
assert: assert 
thousand: thousand 
money: money 
real: real 
ii: ii 
cup: cup 
comment: comment comments 
wrote: wrote 
contributor: contributor contributors 
disfunction: disfunction 
eazy: eazy 
greatest: greatest 
read: read 
rowdy: rowdy 
childish: childish 
lil: lil 
category: category 
childhood: childhood 
part: parts part 
goat: goat goats 
past: past 
header: headers 
camera: cameras 
bicentennial: bicentennial 
kleftis: kleftis 
ask: ask 
performance: performance 
written: written 
format: format 
jin: jin 
vocalist: vocalists 
westwood: westwood 
subtle: subtle 
developer: developers 
matissmo: matissmo 
outside: outside 
bridge: bridge 
problem: problems problem 
furthest: furthest 
aiight: aiight 
john: john 
alive: alive 
remix: remix 
cassidy: cassidy 
view: view 
injury: injury 
steez: steez 
musical: musical 
hansen: hansen 
visit: visit 
bulletz: bulletz 
created: created 
shit: shit shits 
game: game 
psycho: psycho 
studio: studio 
tinashe: tinashe 
june: june 
p: p 
xxxtentacion: xxxtentacion 
forrest: forrest 
see: see 
cookin: cookin 
fym: fym 
call: call 
joell: joell 
broken: broken 
different: different 
united: united 
chuchesta: chuchesta 
whose: whose 
reto: reto 
shot: shot shots 
vida: vida 
park: park 
maybe: maybe 
yet: yet 
enough: enough 
video: videos 
stole: stole 
win: win 
featured: featured 
album: album 
tag: tags 
word: words 
lavish: lavish 
smellin: smellin 
label: label 
mc: mc 
laron: laron 
mouse: mouse 
parody: parody 
started: started 
jeezy: jeezy 
matter: matter 
holdin: holdin 
wap: wap 
ghali: ghali 
got: got 
sango: sango 
ace: ace 
bigger: bigger 
tryna: tryna 
lucid: lucid 
lease: lease 
type: type 
searchin: searchin 
marvin: marvin 
release: release 
b: b 
defeat: defeat 
reed: reed 
pot: pot 
mikros: mikros 
bitch: bitches 
askin: askin 
fit: fit 
prolly: prolly 
group: group 
richer: richer 
would: would 
french: french 
earth: earth 
yezi: yezi 
subliminal: subliminal 
x: x 
one: one ones 
brown: brown 
transcriber: transcribers 
night: night 
freddie: freddie 
lot: lot 
antipas: antipas 
ricegum: ricegum 
challenge: challenge 
scrollin: scrollin 
class: class 
mod: mod 
dissin: dissin 
precious: precious 
policy: policy 
som: som 
leaker: leakers 
slim: slim 
etc: etc 
sell: sell 
could: could 
took: took 
paris: paris 
lose: lose 
atlanta: atlanta 
tob: tob 
unconditional: unconditional 
ob: ob 
bobby: bobby 
used: used 
annotation: annotation 
tier: tier 
listen: listen 
air: air 
provin: provin 
canada: canada 
best: best 
tune: tune 
later: later 
told: told 
person: person 
genius: genius 
somethin: somethin 
lost: lost 
version: versions 
people: people 
sample: samples sample 
juicy: juicy 
year: year 
day: days 
nyck: nyck 
press: press 
commune: commune 
lesson: lesson 
freestyle: freestyle 
dylanhyper: dylanhyper 
rap: rap 
turf: turf 
blake: blake 
partner: partners 
born: born 
ghostwrite: ghostwrite 
pt: pt 
nominated: nominated 
doughbeezy: doughbeezy 
ging: ging 
rep: reps 
tracey: tracey 
upchurch: upchurch 
homie: homie 
gon: gon 
else: else 
ernia: ernia 
u: u us 
sometimes: sometimes 
lay: lay 
verified: verified 
hit: hits hit 
n: n 
g: g 
help: help 
phone: phone phones 
futuristic: futuristic 
show: show 
left: left 
room: room 
knowledge: knowledge 
every: every 
majid: majid 
bravioso: bravioso 
delo: delo 
excuse: excuse 
kelzmix: kelzmix 
make: make 
yhung: yhung 
curry: curry 
death: death 
bar: bars bar 
obladaet: obladaet 
line: lines 
ave: ave 
licensing: licensing 
puppet: puppet 
j: j 
yo: yo 
th: th 
effortless: effortless 
sent: sent 
louder: louder 
say: say 
field: field 
change: change 
tense: tense 
quicker: quicker 
quick: quick 
forum: forum 
aw: aw 
lookin: lookin 
busta: busta 
late: late 
sauce: sauce 
said: said 
cake: cake 
advertise: advertise 
mothafuckin: mothafuckin 
bnyx: bnyx 
dawg: dawg 
shoe: shoe 
watch: watch 
additional: additional 
mcgregor: mcgregor 
add: add 
lito: lito 
shindy: shindy 
payin: payin 
meetin: meetin 
deezy: deezy 
understand: understand 
hella: hella 
guide: guide 
separate: separate 
gta: gta 
bill: bills 
calling: calling 
soften: soften 
gotti: gotti 
fabolous: fabolous 
twitter: twitter 
fetty: fetty 
gibbs: gibbs 
rose: rose 
forward: forward 
larold: larold 
promote: promote 
fundamental: fundamentals 
shoutout: shoutout 
manolo: manolo 
foot: foot 
jadakiss: jadakiss 
rapstar: rapstar 
job: jobs 
biggest: biggest 
copyright: copyright 
bold: bold 
hood: hood 
trip: trip 
f: f 
everyone: everyone 
bottom: bottom 
work: works work 
wann: wann 
crib: crib 
tie: tie 
contact: contact 
steph: steph 
testing: testing 
em: em 
squad: squad 
session: session 
morning: morning 
ml: ml 
pnd: pnd 
basement: basement 
also: also 
buried: buried 
get: get 
mean: mean 
separated: separated 
kill: kill 
jake: jake 
paid: paid 
close: close 
boi: boi 
rocc: rocc 
white: white 
essence: essence 
raptor: raptors 
comin: comin 
fact: facts 
chris: chris 
critical: critical 
cancel: cancel 
meek: meek 
duke: dukes 
z: z 
high: high 
wave: wave 
noel: noel 
way: way 
soyturista: soyturista 
grow: grow 
kelz: kelz 
new: new 
headed: headed 
look: look 
dumbfoundead: dumbfoundead 
keepin: keepin 
unit: unit 
state: states 
top: top 
passed: passed 
da: da 
montana: montana 
ovo: ovo 
zuu: zuu 
noah: noah 
term: terms 
bekay: bekay 
claimed: claimed 
thought: thought 
take: take 
hoe: hoes 
open: open 
kirkonthakeys: kirkonthakeys 
original: original 
lord: lord 
sway: sway 
interpolate: interpolate 
whopper: whopper 
smash: smash 
james: james 
picture: pictures picture 
keep: keep 
tephlon: tephlon 
ensemble: ensemble 
la: la 
billis: billis 
heath: heath 
embed: embed 
whole: whole 
first: first 
durk: durk 
bang: bang 
poppin: poppin 
hustle: hustle 
beast: beast 
fuckyoughali: fuckyoughali 
universal: universal 
ft: ft 
worth: worth 
gambino: gambino 
ever: ever 
sun: sun 
middle: middle 
hot: hot 
rhyme: rhymes 
mentor: mentor 
since: since 
match: match 
well: well 
ashtin: ashtin 
ultimate: ultimate 
wrong: wrong 
rembrandt: rembrandt 
like: like 
guy: guy 
distinguish: distinguish 
reserve: reserve 
cover: covers 
two: two 
better: better 
otaku: otaku 
slippin: slippin 
dollaz: dollaz 
fuck: fuck 
pound: pound 
wrist: wrist 
frank: frank 
jari: jari 
uk: uk 
source: source 
chester: chester 
leave: leave 
need: need 
rebel: rebel 
sign: sign 
q: q 
resembling: resembling 
favor: favor 
r: r 
ariel: ariel 
llc: llc 
fixed: fixed 
ross: ross 
award: awards 
bugiardi: bugiardi 
insight: insight 
working: working 
e: e 
always: always 
expand: expand 
big: big 
puttin: puttin 
sadek: sadek 
feel: feel 
sua: sua 
talkin: talkin 
unpretty: unpretty 
unless: unless 
already: already 
spring: spring 
repeating: repeating 
imagine: imagine 
whoever: whoever 
caution: caution 
track: track 
involved: involved 
prelude: prelude 
find: find 
chilla: chilla 
splittin: splittin 
unreleased: unreleased 
remind: remind 
set: set 
chef: chef 
comeback: comeback 
aj: aj 
date: date 
andalay: andalay 
cadastre: cadastre 
platinum: platinum 
girl: girls 
c: c 
house: house 
beef: beef 
fast: fast 
arguably: arguably 
quan: quan 
sicker: sicker 
nonny: nonny 
daniel: daniel 
logic: logic 
ur: ur 
interview: interview 
h: h 
kay: kay 
zone: zone 
individual: individual 
cause: cause 
adz: adz 
troy: troy 
wore: wore 
everybody: everybody 
nightclub: nightclub 
sparring: sparring 
know: know 
heart: heart 
personal: personal 
transcription: transcription 
alpha: alpha 
chart: charts 
might: might 
droppin: droppin 
gone: gone 
yeah: yeah 
dude: dude 
jones: jones 
dis: diss 
mr: mr 
bit: bit 
rookie: rookie 
partynextdoor: partynextdoor 
diddy: diddy 
catch: catch 
vocal: vocals 
soulja: soulja 
lewandowski: lewandowski 
pickup: pickups 
gettin: gettin 
usually: usually 
noboom: noboom 
however: however 
music: music 
l: l 
really: really 
stagnant: stagnant 
needed: needed 
lee: lee 
drive: drive 
mart: mart 
kept: kept 
moon: moon 
kid: kid 
question: question 
mention: mention 
closer: closer 
dex: dex 
gotta: gotta 
drop: drop 
kummer: kummer 
shop: shop 
produced: produced 
learn: learn 
programming: programming 
remy: remy 
quote: quote 
morton: morton 
king: king 
flex: flex 
miky: miky 
monty: monty 
sense: sense 
flame: flame 
tjarks: tjarks 
niko: niko 
verse: verse 
tv: tv 
woodz: woodz 
riderz: riderz 
young: young 
skaeli: skaeli 
nuevo: nuevo 
shmurda: shmurda 
dj: dj 
scholar: scholars 
drake: drake 
ooouuu: ooouuu 
eavesdroppin: eavesdroppin 
december: december 
dot: dot 
viva: viva 
fuckin: fuckin 
interpolation: interpolations 
neo: neo 
jay: jay 
physical: physical 
reportedly: reportedly 
