guy: guys 
fear: fear 
stereotype: stereotypes 
damn: damn 
trackmasters: trackmasters 
junior: junior 
talk: talk 
tradu: tradu 
lived: lived 
du: du 
foreign: foreign 
italic: italics 
bitch: bitch 
hodgy: hodgy 
around: around 
chorus: chorus 
thought: thoughts thought 
moses: moses 
negative: negative 
luck: luck 
still: still 
vision: visions 
section: section 
mo: mo 
girl: girl girls 
mary: mary 
dissed: dissed 
nobody: nobody 
success: success 
let: let 
leach: leach 
plenty: plenty 
agenius: agenius 
machina: machina 
seji: seji 
nigga: nigga niggas 
beanie: beanie 
season: season 
anything: anything 
showed: showed 
scrimps: scrimps 
drum: drum 
good: good 
ac: ac 
silla: silla 
ortiz: ortiz 
zero: zero 
debut: debut 
proper: proper 
dawgs: dawgs 
say: says say 
letter: letters 
briggs: briggs 
berner: berner 
cabinet: cabinet 
traductions: traductions 
ready: ready 
coupe: coupe 
collection: collection 
explosion: explosion 
perry: perry 
focus: focus 
easy: easy 
tell: tell 
use: use 
common: common 
fallon: fallon 
grip: grip 
heard: heard 
electronica: electronica 
lyric: lyrics lyric 
mistah: mistah 
bad: bad 
role: role 
illy: illy 
give: give 
perico: perico 
flux: flux 
outro: outro 
heavy: heavy 
deep: deep 
verdammt: verdammt 
richie: richie 
deus: deus 
ser: ser 
put: put 
jaqkel: jaqkel 
gunn: gunn 
weekend: weekend 
information: information 
rapper: rapper 
xv: xv 
boy: boy 
trade: trade 
browz: browz 
franklin: franklin 
absolutely: absolutely 
factory: factory 
kid: kids kid 
llegar: llegar 
jordan: jordan 
social: social 
w: w 
daveed: daveed 
world: world 
gland: gland 
stoute: stoute 
silly: silly 
holding: holdings 
tony: tony 
rick: rick 
de: de 
traduction: traduction 
fruit: fruit 
v: v vs 
baby: baby 
ha: ha 
winner: winner 
area: area 
reach: reach 
lx: lx 
back: back 
halsey: halsey 
teacher: teachers 
planet: planet 
jackson: jackson 
york: york 
killer: killer 
alex: alex 
gunz: gunz 
prod: prod 
bradlee: bradlee 
acrylo: acrylo 
lecrae: lecrae 
artist: artists artist 
want: want 
adam: adams 
privacy: privacy 
mist: mist 
write: write 
fizzle: fizzle 
kelly: kelly 
pow: pow 
thakid: thakid 
rap: raps rap 
care: care 
go: go goes 
nt: nt 
keyshia: keyshia 
discretion: discretion 
opposite: opposite 
gat: gats 
knew: knew 
carlton: carlton 
aware: aware 
ricky: ricky 
modelz: modelz 
ca: ca 
run: run 
chip: chip 
small: smalls 
answer: answer 
move: move 
woc: woc 
thinkin: thinkin 
share: share 
feat: feat 
stallion: stallion 
gang: gang 
dropped: dropped 
message: message 
second: second 
never: never 
far: far 
building: buildings 
allem: allem 
lass: lass 
k: k 
tim: tim 
ity: ity 
guideline: guidelines 
gay: gay 
check: check 
song: song songs 
et: et 
cooch: cooch 
credit: credits credit 
karat: karats karat 
watson: watson 
ok: ok 
love: loves love 
cole: cole 
scipio: scipio 
russe: russe 
wayne: wayne 
man: man 
yeat: yeat 
called: called 
dinner: dinner 
going: going 
represent: represent 
villuminati: villuminati 
hat: hat 
even: even 
block: block 
engineer: engineer 
instrumental: instrumental 
mill: mill 
thing: thing things 
post: post 
shack: shack 
rich: rich 
werd: werd 
battle: battle 
thirsty: thirsty 
andy: andy 
peter: peter 
von: von 
bic: bic 
outlawz: outlawz 
vince: vince 
eat: eat 
lox: lox 
money: money 
el: el 
real: real 
alemeda: alemeda 
nwigwe: nwigwe 
clan: clan 
comment: comment comments 
unbelievable: unbelievable 
truth: truth 
fool: fool 
tomorrow: tomorrow 
dedicated: dedicated 
fede: fede 
joc: joc 
ocean: ocean 
contributor: contributor contributors 
mom: mom 
yung: yung 
dano: dano 
tryin: tryin 
eazy: eazy 
movement: movement 
read: read 
sax: sax 
word: word words 
dreamlover: dreamlover 
lil: lil 
sleep: sleep 
savage: savage 
rappin: rappin 
part: parts part 
free: free 
xmas: xmas 
header: headers 
right: right rights 
next: next 
mansion: mansions 
street: street 
ch: ch 
jack: jack 
ask: ask 
stuff: stuff 
seat: seats 
written: written 
performance: performance 
format: format 
peanut: peanut 
vocalist: vocalists 
developer: developers 
unwind: unwind 
asia: asia 
sophie: sophie 
town: town 
christmas: christmas 
signal: signal 
changed: changed 
heat: heat 
bridge: bridge 
vac: vac 
diggs: diggs 
traum: traum 
capirsi: capirsi 
mesaj: mesaj 
arma: arma 
haha: haha 
phonographic: phonographic 
flip: flip 
john: john 
saturday: saturday 
remix: remix 
salt: salt 
magazine: magazine 
rev: rev 
braxton: braxton 
die: die 
popped: popped 
chicanas: chicanas 
wolf: wolf 
mixing: mixing 
muzik: muzik 
batts: batts 
view: view 
musical: musical 
private: private 
dead: dead 
tyler: tyler 
visit: visit 
correct: correct 
rbx: rbx 
tobe: tobe 
acordar: acordar 
created: created 
billboard: billboard 
shit: shit 
game: game games 
sido: sido 
studio: studio 
crooked: crooked 
power: power 
tayc: tayc 
welt: welt 
head: head 
p: p 
play: play 
see: see 
uh: uh 
cookin: cookin 
bankroll: bankrolls 
oscar: oscar 
ghetto: ghetto 
meant: meant 
call: call 
hook: hook 
kool: kool 
dax: dax 
mineo: mineo 
joell: joell 
gunagainst: gunagainst 
ron: ron 
mobb: mobb 
broken: broken 
different: different 
camp: camp 
pro: pro 
bill: bill 
remember: remember 
babytron: babytron 
jukebox: jukebox 
swift: swift 
aight: aight 
shot: shot 
fight: fight 
led: led 
setlur: setlur 
wu: wu 
maybe: maybe 
streetz: streetz 
hour: hours 
rock: rock 
tone: tone 
red: red 
drama: drama 
e: es e 
video: videos video 
marylin: marylin 
philthy: philthy 
brand: brand 
featured: featured 
flow: flow 
album: album 
tag: tags 
nothin: nothin 
sampled: sampled 
home: home 
label: label labels 
teedra: teedra 
mc: mc 
maxwell: maxwell 
farid: farid 
started: started 
damit: damit 
michael: michael 
missed: missed 
funkin: funkin 
ascap: ascap 
bella: bella 
blaze: blaze 
got: got 
swish: swish 
coast: coast 
eyo: eyo 
rhyme: rhyme 
type: type 
nach: nach 
tamar: tamar 
b: b 
release: release 
buck: buck 
kunstner: kunstner 
staple: staples 
premier: premier 
evans: evans 
element: elements 
duplici: duplici 
group: group 
takoma: takoma 
playing: playing 
would: would 
hear: hear 
bmi: bmi 
gasman: gasman 
together: together 
intro: intro 
total: total 
result: result 
green: green 
one: one 
popular: popular 
slightly: slightly 
transcriber: transcribers 
x: x 
beyond: beyond 
sip: sip 
brown: brown 
logo: logo 
away: away 
course: course 
prior: prior 
orhan: orhan 
booty: booty 
track: tracks track 
pac: pac 
peace: peace 
slowy: slowy 
mario: mario 
hogg: hogg 
le: le 
via: via 
policy: policy 
capitalize: capitalize 
fabu: fabu 
downstairs: downstairs 
steve: steve 
publisher: publisher 
dream: dreams dream 
takeoff: takeoff 
cu: cu 
reason: reason 
reggie: reggie 
eigengrau: eigengrau 
edward: edward 
living: living 
ten: ten 
thief: thief 
etc: etc 
sell: sell 
could: could 
friend: friends friend 
fran: fran 
took: took 
arcade: arcade 
portugu: portugu 
waronker: waronker 
blaster: blaster 
neal: neal 
dr: dr 
kein: kein 
jap: jap 
edit: edit 
tuyo: tuyo 
sandman: sandman 
luv: luv 
marley: marley 
used: used 
annotation: annotation 
pie: pies 
wonder: wonder 
ouroboros: ouroboros 
chauffeur: chauffeur 
broke: broke 
toast: toast 
jeep: jeeps 
bamb: bamb 
flat: flat 
amin: amin 
lunch: lunches 
congolais: congolais 
father: father 
best: best 
worst: worst 
giant: giant 
later: later 
told: told 
coming: coming 
countdown: countdown 
fusion: fusion 
genius: genius 
sega: sega 
leather: leather 
manuel: manuel 
joi: joi 
scott: scott 
loungin: loungin 
manager: manager 
joji: joji 
people: people 
juicy: juicy 
sample: samples sample 
birthday: birthdays 
day: days day 
kesi: kesi 
press: press 
cut: cut 
russian: russian 
five: five 
pissy: pissy 
viability: viability 
club: club 
freestyle: freestyle 
slava: slava 
etwas: etwas 
papi: papi 
uncredited: uncredited 
katy: katy 
blowin: blowin 
year: years 
born: born 
fi: fi 
nosfe: nosfe 
viz: viz 
pt: pt 
mississippi: mississippi 
lone: lone 
mike: mike 
blac: blac 
title: title 
brucie: brucie 
long: long 
fired: fired 
au: au 
smile: smiles 
nintendo: nintendo 
pih: pih 
forever: forever 
curtain: curtains 
bull: bull 
u: u us 
sometimes: sometimes 
poke: poke 
peep: peeps 
ear: ear 
verified: verified 
n: n 
bump: bump 
shalom: shalom 
number: number 
aliz: aliz 
ware: ware 
g: g 
rise: rise 
face: face 
florist: florists 
thi: thi 
maiya: maiya 
phone: phone 
kirk: kirk 
show: show 
celebrated: celebrated 
mixed: mixed 
tion: tion 
biggest: biggest 
funkmaster: funkmaster 
birdman: birdman 
room: room 
freeway: freeway 
knowledge: knowledge 
every: every 
mondope: mondope 
americana: americana 
miodu: miodu 
bun: bun 
skunk: skunk 
city: city 
spark: sparks 
make: make 
talking: talking 
simpson: simpson 
mg: mg 
housin: housin 
noiseferatu: noiseferatu 
meeting: meeting 
line: lines 
brasil: brasil 
licensing: licensing 
j: j 
danny: danny 
kiana: kiana 
life: life 
yo: yo 
felt: felt 
th: th 
warning: warning 
gimme: gimme 
savas: savas 
soundtrack: soundtrack 
amount: amount 
jim: jim 
roxxx: roxxx 
pool: pool 
auf: auf 
blocka: blocka 
slow: slow 
police: police 
limousine: limousine 
clipping: clipping 
poetic: poetic 
cruise: cruise 
bongani: bongani 
noir: noir 
change: change 
zu: zu 
handle: handles 
chiraq: chiraq 
duke: duke 
cheap: cheap 
forum: forum 
mouph: mouph 
tonight: tonight 
crash: crash 
fick: fick 
psychopathic: psychopathic 
said: said 
mad: mad 
ffm: ffm 
advertise: advertise 
bubba: bubba 
ai: aises ais 
many: many 
aiko: aiko 
me: mes 
additional: additional 
jumping: jumping 
watch: watch 
saying: saying 
crew: crew 
bot: bot 
malone: malone 
add: add 
rapsody: rapsody 
august: august 
cunninlynguists: cunninlynguists 
screen: screen 
arista: arista 
vampire: vampire 
understand: understand 
robin: robin 
guide: guide 
history: history 
lin: lin 
successful: successful 
conor: conor 
medina: medina 
humphries: humphries 
zeeyah: zeeyah 
postmodern: postmodern 
basketball: basketball 
funk: funk 
son: son 
weed: weed 
fabolous: fabolous 
ab: ab 
tight: tight 
limelight: limelight 
creator: creator 
boom: boom 
school: school 
sofa: sofa 
poppa: poppa 
promote: promote 
hip: hip 
comb: combs 
peri: peri 
carter: carters 
fucking: fucking 
ride: rides 
zan: zan 
smokin: smokin 
jadakiss: jadakiss 
copyright: copyright 
rome: rome 
mainstream: mainstream 
ny: ny 
dogg: dogg 
wish: wish 
bold: bold 
hood: hood 
hill: hill 
trip: trip 
tang: tang 
emily: emily 
corredores: corredores 
sl: sl 
bloque: bloque 
job: jobs 
plan: plan 
bada: bada 
f: f 
lucas: lucas 
era: era 
busy: busy 
crib: crib 
rn: rn 
fruity: fruity 
contact: contact 
nina: nina 
turn: turns 
carrelage: carrelage 
em: em 
extra: extra 
mon: mon 
indo: indo 
male: male 
rca: rca 
sayin: sayin 
bap: bap 
jordin: jordin 
idea: ideas 
ml: ml 
anaheim: anaheim 
berthony: berthony 
brooklyn: brooklyn 
youngsta: youngsta 
rapping: rapping 
mine: mine 
stage: stages 
also: also 
get: get 
considered: considered 
wall: wall 
became: became 
pepa: pepa 
came: came 
notorious: notorious 
mean: mean 
cafe: cafe 
mich: mich 
translation: translations translation 
inspectah: inspectah 
butter: butter 
jesus: jesus 
paid: paid 
hursty: hursty 
kxng: kxng 
lumberjack: lumberjack 
dreamchasers: dreamchasers 
mattybraps: mattybraps 
close: close 
hangin: hangin 
lte: lte 
puff: puff 
white: white 
domo: domo 
misfit: misfits 
nicki: nicki 
mtume: mtume 
fact: facts 
end: end 
interlude: interlude 
control: control 
sinner: sinner 
interview: interviews 
nz: nz 
representin: representin 
bumaye: bumaye 
chris: chris 
cancel: cancel 
beastmode: beastmode 
gr: gr 
meek: meek 
toolez: toolez 
luckett: luckett 
hustlin: hustlin 
na: nas 
z: z 
elliott: elliott 
high: high 
record: record records 
come: come comes 
mariah: mariah 
everyday: everyday 
ib: ib 
pineal: pineal 
jhen: jhen 
nitro: nitro 
mastering: mastering 
way: way 
emi: emi 
pimp: pimps 
predormitum: predormitum 
new: new 
capacitor: capacitor 
pint: pint 
truffle: truffle 
spose: spose 
missy: missy 
party: party 
made: made 
front: front 
stat: stat 
capo: capo 
top: top 
pete: pete 
da: da 
montana: montana 
ninety: nineties 
ali: ali 
rayne: rayne 
bia: bia 
crescendo: crescendo 
coochie: coochie 
honey: honeys 
noah: noah 
without: without 
east: east 
landlord: landlord 
well: wells well 
term: terms 
nichts: nichts 
fallacy: fallacy 
hoe: hoes 
take: take 
black: black 
queen: queens 
original: original 
duh: duh 
chance: chance 
joey: joey 
interpolate: interpolate 
suga: suga 
smash: smash 
center: center 
legend: legend 
god: god 
moneybagg: moneybagg 
vamos: vamos 
hop: hop 
james: james 
picture: pictures picture 
keep: keep 
maintained: maintained 
la: la 
interested: interested 
blow: blow 
happen: happen 
trying: trying 
embed: embed 
aise: aise 
whole: whole 
first: first 
bang: bang 
rg: rg 
detail: detail 
sho: sho 
kt: kt 
bugzy: bugzy 
andet: andet 
tried: tried 
ft: ft 
sossa: sossa 
daddy: daddy 
time: time 
sun: sun 
complex: complex 
wei: wei 
hot: hot 
rhymed: rhymed 
radio: radio 
match: match 
fuss: fuss 
bos: boss 
ultimate: ultimate 
attack: attack 
worry: worry 
rels: rels 
like: like 
super: super 
goal: goal 
distinguish: distinguish 
gazaway: gazaway 
window: window 
minchin: minchin 
chop: chop 
cover: covers 
two: two 
better: better 
bean: bean 
westside: westside 
dmx: dmx 
painful: painful 
fuck: fuck 
snoop: snoop 
elemont: elemont 
bias: bias 
touchline: touchline 
thee: thee 
went: went 
flesha: flesha 
source: source 
uk: uk 
miuosh: miuosh 
frank: frank 
slide: slide 
need: need 
miranda: miranda 
sign: sign 
justin: justin 
flyingkitty: flyingkitty 
rawinthevoid: rawinthevoid 
champagne: champagne 
q: q 
stay: stay 
r: r 
der: der 
bag: bag 
inch: inch 
done: done 
minion: minion 
niveau: niveau 
jj: jj 
gun: gun 
minute: minutes 
saadiq: saadiq 
machine: machine 
smith: smith 
asme: asme 
deck: deck 
bass: bass 
onaodowan: onaodowan 
llc: llc 
mink: minks 
jimmy: jimmy 
faith: faith 
ross: ross 
tape: tape 
hopsin: hopsin 
inno: inno 
onar: onar 
insight: insight 
working: working 
suicidal: suicidal 
ya: ya 
obama: obama 
usa: usa 
ray: ray 
daughter: daughter 
expand: expand 
shaquille: shaquille 
ero: ero 
big: big 
puttin: puttin 
loot: loot 
sippin: sippin 
cage: cages 
recording: recording 
feel: feel 
brunch: brunches 
april: april 
megan: megan 
christopher: christopher 
kap: kap 
mac: mac 
zemine: zemine 
capri: capri 
repeating: repeating 
derek: derek 
established: established 
master: master 
rydas: rydas 
del: del 
whoever: whoever 
sung: sung 
til: til 
stock: stock 
public: public 
hit: hit 
mierci: mierci 
hold: hold 
genesis: genesis 
arriba: arriba 
spread: spread 
work: work 
soul: soul 
blige: blige 
amerigo: amerigo 
miller: miller 
date: date 
wax: wax 
food: food 
ex: ex 
minor: minor 
nane: nane 
c: c 
rodriguez: rodriguez 
foie: foie 
sold: sold 
house: house 
pumpkinhead: pumpkinhead 
homage: homage 
fast: fast 
able: able 
hurt: hurts 
relationship: relationship 
maybach: maybach 
conscious: conscious 
blamp: blamp 
dowayne: dowayne 
logic: logic 
daniel: daniel 
prologue: prologue 
h: h 
individual: individual 
youssoupha: youssoupha 
astley: astley 
tha: tha 
aschkobar: aschkobar 
respect: respect 
cause: cause 
single: single 
derived: derived 
talib: talib 
smoke: smoke 
internet: internet 
letoya: letoya 
property: property 
arokk: arokk 
using: using 
journey: journey 
week: weeks 
rapfilm: rapfilm 
jessie: jessie 
know: know 
lillie: lillie 
tr: tr 
personal: personal 
okieriete: okieriete 
merchant: merchant 
minaj: minaj 
akinyele: akinyele 
transcription: transcription 
chart: charts 
might: might 
whxxzy: whxxzy 
balcony: balcony 
para: para 
lefa: lefa 
universe: universe 
yeah: yeah 
sardine: sardines 
biz: biz 
dude: dude 
nyc: nyc 
jones: jones 
dis: diss 
mr: mr 
quo: quo 
typ: typ 
jammer: jammer 
diddy: diddy 
vocal: vocals 
kim: kim 
kweli: kweli 
dolemite: dolemite 
booska: booska 
perez: perez 
baraka: baraka 
anybody: anybody 
star: stars 
blanca: blanca 
value: value 
sigel: sigel 
music: music 
miss: miss 
l: l 
really: really 
struggle: struggle 
needed: needed 
broadway: broadway 
ghettosocks: ghettosocks 
bimmers: bimmers 
lovebug: lovebug 
live: live 
business: business 
formula: formula 
resval: resval 
chillin: chillin 
honda: honda 
jwp: jwp 
question: question 
clothes: clothes 
mafia: mafia 
magic: magic 
speak: speak 
carey: carey 
drop: drop 
shop: shop 
lady: lady 
produced: produced 
sykes: sykes 
learn: learn 
flavor: flavor 
housefyre: housefyre 
king: king 
flex: flex 
siron: siron 
phonte: phonte 
gokey: gokey 
chiddy: chiddy 
gawvi: gawvi 
hawaiian: hawaiian 
wanted: wanted 
verse: verse 
happened: happened 
positive: positive 
young: young 
recorded: recorded 
royce: royce 
misunderstood: misunderstood 
ukendt: ukendt 
titan: titan 
skabzemortal: skabzemortal 
condo: condos 
prims: prims 
dj: dj 
yczenie: yczenie 
scholar: scholars 
directly: directly 
ninho: ninho 
motherfucker: motherfucker 
packing: packing 
kind: kind 
blakie: blakie 
seen: seen 
slimmy: slimmy 
story: story 
marl: marl 
interpolation: interpolations 
bsmasha: bsmasha 
emperor: emperor 
starski: starski 
biggie: biggie 
version: version 
anna: anna 
accountant: accountant 
entertainment: entertainment 
ghettoloch: ghettoloch 
feed: feed 
spesh: spesh 
raphael: raphael 
fadies: fadies 
jay: jay 
beat: beat 
sicc: sicc 
sabrina: sabrina 
timberlake: timberlake 
finish: finish 
kp: kpss 
celebrating: celebrating 
