equality: equality 
talk: talk 
tradu: tradu 
italic: italics 
karma: karma 
around: around 
chorus: chorus 
staple: staple 
paak: paak 
still: still 
saxophone: saxophone 
section: section 
time: times 
fahim: fahim 
mary: mary 
thenotoriousb: thenotoriousb 
found: found 
emxor: emxor 
let: let 
presence: presence 
february: february 
nigga: nigga 
cent: cent 
anything: anything 
vers: vers 
hate: hate 
anti: anti 
kawan: kawan 
okay: okay 
remixes: remixes 
impact: impact 
zero: zero 
andrew: andrew 
released: released 
traductions: traductions 
ready: ready 
bully: bully 
collection: collection 
focus: focus 
tell: tell 
nitin: nitin 
use: use 
disproportionate: disproportionate 
svenska: svenska 
lyric: lyrics lyric 
bad: bad 
ttning: ttning 
give: give 
schemin: schemin 
outro: outro 
heavy: heavy 
deep: deep 
grammy: grammy 
wretch: wretch 
guitar: guitar 
put: put 
silence: silence 
avelino: avelino 
information: information 
regal: regal 
conflicted: conflicted 
boy: boy boys 
po: po 
action: action 
w: w 
six: six 
world: world 
flocka: flocka 
holding: holdings 
traduction: traduction 
v: v 
momma: momma 
reach: reach 
back: back 
wanna: wanna 
shyne: shyne 
much: much 
wake: wake 
pressure: pressure 
fox: fox 
asking: asking 
privacy: privacy 
hope: hope 
want: want 
text: text 
artist: artists 
write: write 
directed: directed 
pimp: pimp 
sale: sale 
bout: bout 
loved: loved 
go: go 
lvi: lvi 
alright: alright 
assured: assured 
knew: knew 
waka: waka 
another: another 
paint: paint 
session: sessions 
killing: killings 
answer: answer answers 
share: share 
pay: pay 
message: message 
far: far 
preliminary: preliminary 
painkiller: painkillers 
k: k 
shall: shall 
think: think 
tilley: tilley 
voice: voice 
guideline: guidelines 
name: name 
check: check 
song: song songs 
credit: credits 
period: periods 
cheese: cheese 
redfaze: redfaze 
friday: friday 
sequel: sequel 
cole: cole 
homicide: homicide 
man: man 
cray: cray 
gonna: gonna 
going: going 
zulu: zulu 
represent: represent 
block: block 
even: even 
reaping: reaping 
engineer: engineer 
extended: extended 
instrumental: instrumental 
battle: battle 
liar: liar 
packy: packy 
awareness: awareness 
thousand: thousand 
everything: everything 
money: money 
comment: comment comments 
