virgin: virgins 
dvlp: dvlp 
rewriting: rewriting 
tradu: tradu 
per: per 
sympathetic: sympathetic 
italic: italics 
famous: famous 
bitch: bitch 
looked: looked 
lumma: lumma 
pun: pun 
rakim: rakim 
chorus: chorus 
around: around 
fazer: fazer 
belief: believes 
still: still 
fag: fags fag 
section: section 
totin: totin 
time: times time 
sport: sport 
gardner: gardner 
nobody: nobody 
found: found 
syllable: syllables 
truthful: truthful 
hellprism: hellprism 
let: let 
cocked: cocked 
anything: anything 
deutsch: deutsch 
hate: hate 
good: good 
ac: ac 
immortality: immortality 
patient: patient 
remixes: remixes 
honestly: honestly 
brii: brii 
little: little 
mathers: mathers 
boyz: boyz 
traductions: traductions 
rez: rez 
bully: bully 
easy: easy 
collection: collection 
crazily: crazily 
tell: tell 
use: use 
supersonic: supersonic 
common: common 
heard: heard 
corp: corp 
lyric: lyrics lyric 
bad: bad 
wecool: wecool 
crap: crap 
give: give 
tugging: tugging 
runtime: runtime 
obie: obie 
laptop: laptop 
deep: deep 
heavy: heavy 
bumble: bumble 
trash: trash 
julian: julian 
put: put 
information: information 
rapper: rapper rappers 
cypher: cypher 
boy: boy 
immediately: immediately 
fuse: fuse 
shady: shady 
chunky: chunky 
dania: dania 
floatin: floatin 
kid: kids kid 
w: w 
crazy: crazy 
six: six 
walk: walk 
beginnin: beginnin 
competitive: competitive 
world: world 
shut: shut 
tony: tony 
holding: holdings 
rick: rick 
de: de 
exuberance: exuberance 
line: line lines 
oh: oh 
traduction: traduction 
drunk: drunk 
v: v 
vikkstar: vikkstar 
baby: baby 
ha: ha 
shroom: shroom 
swapped: swapped 
page: page 
third: third 
summa: summa 
desperation: desperation 
try: try 
back: back 
mouth: mouth 
wanna: wanna 
impersonating: impersonating 
rat: rat 
much: much 
beyonc: beyonc 
baba: baba 
dance: dance 
disastrously: disastrously 
hater: haters 
privacy: privacy 
artist: artists artist 
want: want wants 
clementino: clementino 
pinch: pinch 
shotta: shotta 
write: write 
babyy: babyy 
kelly: kelly 
innovative: innovative 
diener: diener 
rap: raps rap 
token: token 
loved: loved 
go: go goes 
beat: beats beat 
dan: dan 
pew: pew 
ramen: ramen 
fall: fall 
another: another 
hunger: hunger 
juice: juice 
color: color 
eviri: eviri 
run: run 
birks: birks 
answer: answer 
beautiful: beautiful 
thinkin: thinkin 
roll: roll 
share: share 
pay: pay 
animal: animal 
harmony: harmony 
burst: burst 
guinness: guinness 
week: week 
never: never 
second: second 
rage: rage 
far: far 
eliminate: eliminate 
k: k 
anyone: anyone 
tim: tim 
think: think thinks 
wicked: wicked 
co: co 
mol: mol 
guideline: guidelines 
beanpole: beanpole 
hurtin: hurtin 
gay: gay 
name: name 
check: check 
pizza: pizza 
song: song songs 
stunt: stunts 
djkajofficial: djkajofficial 
credit: credits 
hebrew: hebrew 
min: min 
cum: cum 
deutsche: deutsche 
brung: brung 
love: loves love 
apology: apologies 
man: man 
gonna: gonna 
rod: rod 
kar: kar 
going: going 
rubber: rubber 
entertaining: entertaining 
even: even 
