brent: brent 
bernard: bernard 
damn: damn 
tradu: tradu 
per: per 
italic: italics 
bitch: bitch bitches 
mcbride: mcbride 
around: around 
chorus: chorus 
thanos: thanos 
cakewalk: cakewalk 
still: still 
section: section 
gotch: gotch 
gardner: gardner 
nederlandse: nederlandse 
nobody: nobody 
album: albums 
syllable: syllables 
simultaneously: simultaneously 
incinerate: incinerate 
listed: listed 
trucker: truckers 
chazer: chazer 
surfaced: surfaced 
ytn: ytn 
february: february 
team: team 
stack: stack 
receivin: receivin 
chicago: chicago 
pas: pass 
deutsch: deutsch 
grillz: grillz 
remixes: remixes 
carry: carry 
playdate: playdate 
little: little 
mark: marks 
mi: mi 
loch: loch 
merkules: merkules 
released: released 
traductions: traductions 
collection: collection 
confirmation: confirmation 
tauzin: tauzin 
spazzin: spazzin 
randall: randall 
tell: tell 
nitin: nitin 
use: use 
latinautorperf: latinautorperf 
melee: melee 
corp: corp 
lyric: lyrics lyric 
bad: bad 
give: give 
tame: tame 
outro: outro 
deep: deep 
stop: stop 
put: put 
information: information 
rapper: rapper 
paraplegic: paraplegic 
sleepin: sleepin 
shady: shady 
italia: italia 
certified: certified 
previously: previously 
vacate: vacate 
chainsaw: chainsaw 
six: six 
world: world 
beginnin: beginnin 
holding: holdings 
w: w 
making: making 
tony: tony 
rick: rick 
line: line lines 
harlow: harlow 
traduction: traduction 
v: v vs 
byrne: byrne 
mayday: mayday 
third: third 
winner: winner 
column: column 
area: area 
order: order 
back: back 
vertaling: vertaling 
actress: actress 
wanna: wanna 
bat: bat 
much: much 
killer: killer 
boxer: boxer 
alex: alex 
frequently: frequently 
hari: hari 
prod: prod 
dance: dance 
duck: duck 
privacy: privacy 
shine: shines 
want: want 
artist: artists 
chick: chicks 
ayy: ayy 
directed: directed 
ticket: ticket 
glockzilla: glockzilla 
care: care 
bout: bout 
uma: uma 
loved: loved 
murderin: murderin 
go: go goes 
beat: beats beat 
undebatable: undebatable 
tarantino: tarantino 
another: another 
ca: ca 
shout: shout 
villain: villain 
brazil: brazil 
juice: juice 
travisworlddd: travisworlddd 
ubem: ubem 
dick: dick 
run: run 
aitor: aitor 
ice: ice 
eviri: eviri 
answer: answer 
jipped: jipped 
freestyled: freestyled 
share: share 
feat: feat 
azamat: azamat 
dropped: dropped 
kinda: kinda 
second: second seconds 
never: never 
yb: yb 
rage: rage 
eliminate: eliminate 
onyx: onyx 
k: k 
tim: tim 
engine: engine 
impression: impressions 
snake: snake 
stupidity: stupidity 
untimely: untimely 
guideline: guidelines 
finna: finna 
check: check 
song: song songs 
credit: credits 
cheese: cheese 
body: bodies 
showing: showing 
deutsche: deutsche 
cole: cole 
homicide: homicide 
man: man 
cray: cray 
gonna: gonna 
even: even 
angstadt: angstadt 
engineer: engineer 
ramirez: ramirez 
happy: happy 
mill: mill 
godzillachallenge: godzillachallenge 
alfred: alfred 
synced: synced 
wardrobe: wardrobe 
celebrity: celebrities 
midst: midst 
fat: fat 
baseball: baseball 
liar: liar 
battle: battle 
sherman: sherman 
placate: placate 
demon: demon 
sica: sica 
everything: everything 
money: money 
pella: pella 
twist: twist 
songview: songview 
comment: comment comments 
hardcore: hardcore 
mental: mental 
syncing: syncing 
kari: kari 
tomorrow: tomorrow 
verse: verses verse 
bbc: bbc 
contributor: contributor contributors 
effigy: effigy 
wrestle: wrestle 
read: read 
lil: lil 
afflak: afflak 
slump: slump 
part: parts part 
background: background 
header: headers 
right: right rights 
angela: angela 
killing: killing 
jack: jack 
ask: ask 
pissed: pissed 
written: written 
performance: performance 
cast: cast 
format: format 
vocalist: vocalists 
passin: passin 
ball: ball balls 
westwood: westwood 
cupid: cupid 
developer: developers 
alcohol: alcohol 
style: styles 
road: road 
probably: probably 
heat: heat 
jean: jean 
inutilismo: inutilismo 
vine: vine 
collaboration: collaboration 
bmg: bmg 
screw: screw 
haha: haha 
phonographic: phonographic 
john: john 
director: director 
faders: faders 
remix: remix 
pull: pull 
wrld: wrld 
phoenix: phoenix 
rk: rk 
mixing: mixing 
view: view 
become: become 
dead: dead 
musical: musical 
within: within 
visit: visit 
que: que 
harry: harry 
billboard: billboard 
shit: shit 
created: created 
skeem: skeem 
detroit: detroit 
p: p 
pic: pic 
bermon: bermon 
xxxtentacion: xxxtentacion 
mean: means 
serf: serves 
killed: killed 
see: see 
older: older 
dax: dax 
call: call 
faster: faster 
eaten: eaten 
broken: broken 
different: different 
rasheeda: rasheeda 
henri: henri 
feature: feature 
film: films 
dictionary: dictionary 
missile: missile 
e: es e 
meet: meets 
video: videos video 
pant: pants 
story: stories 
win: win 
featured: featured 
cool: cool 
taylor: taylor 
light: light 
tag: tags 
word: words 
grant: grants 
label: label 
parody: parody 
stingy: stingy 
keyboard: keyboards 
known: known 
ascap: ascap 
al: al 
luvi: luvi 
jingle: jingle 
key: key 
rashi: rashi 
gnat: gnat 
got: got 
hospital: hospital 
dre: dre 
tryna: tryna 
publish: publish 
genital: genital 
george: george 
type: type 
lip: lip 
unaccommodating: unaccommodating 
referenced: referenced 
monster: monster monsters 
release: release 
b: b 
lean: lean 
lock: lock 
announced: announced 
rack: racks 
vacation: vacation 
steering: steering 
evil: evil 
gaffer: gaffer 
pluffaduff: pluffaduff 
risperdal: risperdal 
insomnia: insomnia 
fit: fit 
thompson: thompson 
ckw: ckw 
joe: joe 
normal: normal 
group: group 
swallow: swallow 
getting: getting 
interestingly: interestingly 
pack: pack 
would: would 
hear: hear 
bmi: bmi 
flame: flames 
together: together 
intro: intro 
cheeto: cheeto 
french: french 
