nico: nico 
guy: guys 
floyd: floyd 
damn: damn 
italic: italics 
bitch: bitch 
youtubers: youtubers 
trujillo: trujillo 
around: around 
chorus: chorus 
peaked: peaked 
nfkrz: nfkrz 
negative: negative 
still: still 
section: section 
fantastic: fantastic 
nobody: nobody 
success: success 
handle: handle 
popper: poppers 
team: team 
pas: pass 
baker: baker 
good: good 
mongeau: mongeau 
remixes: remixes 
cj: cj 
debut: debut 
pointing: pointing 
mi: mi 
brook: brooks 
te: te 
released: released 
collection: collection 
tell: tell 
use: use 
influx: influx 
logan: logan 
month: month months 
emilio: emilio 
lyric: lyrics lyric 
heavy: heavy 
stop: stop 
alleged: alleged 
keemstar: keemstar 
nehemiah: nehemiah 
information: information 
quiero: quiero 
boy: boy 
personality: personality 
w: w 
six: six 
world: world 
holding: holdings 
de: de 
v: v vs 
baby: baby 
ha: ha 
becoming: becoming 
option: option 
back: back 
fried: fried 
litty: litty 
teacher: teachers 
privacy: privacy 
artist: artists 
want: want 
text: text 
yes: yes 
parris: parris 
adam: adams 
write: write 
lambo: lambo 
bout: bout 
loved: loved 
pasta: pasta 
logang: logang 
fall: fall 
bro: bro 
digi: digi 
trio: trio 
another: another 
run: run 
answer: answer 
bovine: bovine 
deez: deez 
share: share 
spin: spin 
gang: gang 
dropped: dropped 
sutton: sutton 
never: never 
itunes: itunes 
week: week weeks 
k: k 
tim: tim 
think: think 
guideline: guidelines 
name: name 
finna: finna 
check: check checks 
song: song songs 
credit: credits 
megamashup: megamashup 
man: man 
chew: chew 
continent: continent 
disney: disney 
going: going 
sue: sue 
mashups: mashups 
even: even 
dime: dime 
battle: battle 
llama: llama 
el: el 
comment: comment comments 
truth: truth 
martinez: martinez 
yaygo: yaygo 
tomorrow: tomorrow 
book: book 
contributor: contributor contributors 
read: read 
meme: memes meme 
zero: zeros 
lil: lil 
sleep: sleep 
savage: savage 
part: parts part 
grymp: grymp 
past: past 
next: next 
header: headers 
ask: ask 
written: written 
performance: performance 
format: format 
vocalist: vocalists 
redbone: redbone 
developer: developers 
compton: compton 
christmas: christmas 
por: por 
loan: loan loans 
carl: carl 
twin: twins 
taken: taken 
tessa: tessa 
ballin: ballin 
phonographic: phonographic 
fallin: fallin 
remix: remix 
due: due 
entero: entero 
ivan: ivan 
rice: rice 
view: view 
musical: musical 
que: que 
visit: visit 
within: within 
though: though 
bolt: bolt 
thaipee: thaipee 
repeatedly: repeatedly 
created: created 
shit: shit 
game: game 
youtuber: youtuber 
trump: trump 
p: p 
brooohhh: brooohhh 
older: older 
see: see 
included: included 
fun: fun 
aqu: aqu 
mane: mane 
encima: encima 
hook: hook 
pretender: pretender 
tepper: tepper 
broken: broken 
different: different 
lo: lo 
fight: fight 
vida: vida 
star: star 
e: es e 
video: videos video 
est: est 
pussy: pussy 
brand: brand 
featured: featured 
flow: flow 
album: album 
tag: tags 
bart: bart 
home: home 
parody: parody 
started: started 
audible: audible 
hitorigoto: hitorigoto 
una: una 
merch: merch 
got: got 
recent: recent 
george: george 
type: type 
release: release 
b: b 
bio: bio 
jakepaul: jakepaul 
crompton: crompton 
vision: vision 
right: rights 
dank: dank 
lares: lares 
group: group 
rollin: rollin 
would: would 
bmi: bmi 
intro: intro 
sabe: sabe 
miraie: miraie 
x: x 
one: one 
transcriber: transcribers 
comm: comm 
night: night 
freddie: freddie 
besides: besides 
received: received 
peace: peace 
ricegum: ricegum 
language: language 
randy: randy 
england: england 
policy: policy 
publisher: publisher 
future: future 
competition: competition 
bummed: bummed 
kendrick: kendrick 
lonely: lonely 
ten: ten 
etc: etc 
nikhedonia: nikhedonia 
sell: sell 
took: took 
shitty: shitty 
span: span 
paul: paul 
foot: feet 
annotation: annotation 
flippin: flippin 
broke: broke 
hostile: hostile 
former: former 
fan: fans 
daymanoursavior: daymanoursavior 
smokton: smokton 
along: along 
aklf: aklf 
cualquiera: cualquiera 
reception: reception 
coming: coming 
countdown: countdown 
genius: genius 
nick: nick 
suck: sucks 
pobreza: pobreza 
europe: europe 
dredd: dredd 
sample: samples sample 
featuring: featuring 
jerry: jerry 
mag: mag 
press: press 
russian: russian 
five: five 
freestyle: freestyle 
gummy: gummy 
rap: rap 
audiojungle: audiojungle 
blowin: blowin 
jakey: jakey 
usain: usain 
gu: gus 
long: long 
u: u us 
verified: verified 
bump: bump 
n: n 
number: number 
g: g 
doubt: doubt 
criticizing: criticizing 
chad: chad 
help: help 
phone: phone 
ohio: ohio 
ksi: ksi 
left: left 
mil: mil 
knowledge: knowledge 
every: every 
vsauce: vsauce 
urged: urged 
paulers: paulers 
collar: collar 
alissa: alissa 
city: city 
large: large 
talking: talking 
make: make 
west: west 
death: death 
line: lines 
romanizations: romanizations 
licensing: licensing 
j: j 
yo: yo 
roomie: roomie 
rolex: rolex 
chart: chart charts 
amount: amount 
sent: sent 
loc: loc 
quicken: quicken 
cartier: cartier 
rex: rex 
forum: forum 
said: said 
dinero: dinero 
advertise: advertise 
copy: copy 
erika: erika 
add: add 
crew: crew 
tana: tana 
tattoo: tattoo 
understand: understand 
guide: guide 
extreme: extreme 
watermark: watermark 
familia: familia 
calling: calling 
shooting: shooting 
break: break 
twitter: twitter 
regard: regards 
promote: promote 
nomad: nomads 
copyright: copyright 
job: jobs 
biggest: biggest 
bold: bold 
link: link 
spotify: spotify 
apandah: apandah 
f: f 
backyard: backyard 
cover: cover covers 
en: en 
contact: contact 
em: em 
ml: ml 
brought: brought 
allegedly: allegedly 
visa: visa 
recording: recordings 
towards: towards 
also: also 
get: get 
jake: jake 
smell: smell 
church: church 
white: white 
grapefruit: grapefruit 
fact: facts 
fake: fake 
chitty: chitty 
interlude: interlude 
tweet: tweet 
panera: panera 
drone: drone 
youtube: youtube 
gucci: gucci 
chicken: chicken 
cancel: cancel 
reaction: reaction 
squint: squint 
trap: trap 
z: z 
everyday: everyday 
hoe: hoe 
ago: ago 
new: new 
representando: representando 
cantamos: cantamos 
vincent: vincent 
party: party 
made: made 
self: self 
epic: epic 
top: top 
passed: passed 
mix: mix 
supposedly: supposedly 
term: terms 
milli: milli 
persona: persona 
ran: ran 
clone: clones 
dislike: dislikes 
take: take 
cali: cali 
magma: magma 
lamar: lamar 
channel: channel 
chance: chance 
interpolate: interpolate 
reptilelegit: reptilelegit 
og: og 
god: god 
beef: beefs beef 
la: la 
jmx: jmx 
comparison: comparison 
buying: buying 
happen: happen 
kick: kick 
desde: desde 
embed: embed 
first: first 
bang: bang 
poppin: poppin 
ft: ft 
last: last 
donald: donald 
grandayy: grandayy 
digital: digital 
fame: fame 
entirely: entirely 
fine: fine 
hot: hot 
violet: violet 
match: match 
ultimate: ultimate 
mirikazizi: mirikazizi 
keifer: keifer 
like: like 
super: super 
distinguish: distinguish 
two: two 
enteron: entera 
apple: apple 
beggin: beggin 
sick: sick 
dale: dale 
angeles: angeles 
source: source 
shook: shook 
need: need 
sign: sign 
outdone: outdone 
rawinthevoid: rawinthevoid 
flyingkitty: flyingkitty 
q: q 
day: day 
stay: stay 
landon: landon 
r: r 
attention: attention 
done: done 
enviando: enviando 
selling: selling 
trabajando: trabajando 
gun: gun 
educate: educate 
industry: industry 
country: country 
bass: bass 
llc: llc 
insight: insight 
viral: viral 
gum: gum 
ya: ya 
prison: prison 
always: always 
expand: expand 
big: big 
hell: hell 
fama: fama 
chruch: chruch 
yah: yah 
designer: designer 
johnson: johnson 
dave: dave 
mischief: mischief 
may: may 
los: los 
repeating: repeating 
cologne: cologne 
track: track 
involved: involved 
love: love 
boosted: boosted 
hit: hit 
hold: hold 
disstrack: disstrack 
set: set 
pewdiepie: pewdiepie 
si: sis 
date: date 
girl: girls 
c: c 
finny: finny 
megamix: megamix 
flyin: flyin 
plug: plug 
straight: straight 
dog: dog 
costell: costell 
h: h 
zone: zone 
individual: individual 
cause: cause 
malibu: malibu 
single: single 
smoke: smoke 
lemme: lemme 
everybody: everybody 
four: four 
prove: prove 
know: know 
personal: personal 
gator: gator 
tenemos: tenemos 
transcription: transcription 
might: might 
espera: espera 
hamzah: hamzah 
yeah: yeah 
purpdrank: purpdrank 
dis: diss 
list: list 
catch: catch 
vocal: vocals 
brother: brother 
record: records 
switch: switch 
latter: latter 
music: music 
l: l 
really: really 
door: door 
outta: outta 
ybc: ybc 
question: question 
clothes: clothes 
drop: drop 
shop: shop 
espa: espa 
produced: produced 
learn: learn 
chantarangsu: chantarangsu 
sense: sense 
marshez: marshez 
verse: verse 
viviendo: viviendo 
cima: cima 
editing: editing 
anthony: anthony 
recorded: recorded 
st: st 
halation: halation 
scholar: scholars 
se: se 
mightylaos: mightylaos 
fire: fire 
viva: viva 
cannot: cannot 
todo: todo 
spot: spot 
quadeca: quadeca 
flamewar: flamewar 
hatin: hatin 
beat: beat 
tunecore: tunecore 
