double: double 
broly: broly 
damn: damn 
wrap: wrap 
italic: italics 
bitch: bitch bitches 
term: term terms 
chorus: chorus 
mandatory: mandatory 
section: section 
girl: girl girls 
let: let 
zeltron: zeltron 
nigga: nigga niggas 
okay: okay 
remixes: remixes 
mark: marks 
asalt: asalt 
enter: enter 
collection: collection 
tell: tell 
use: use 
grai: grai 
lyric: lyrics lyric 
sarcophagus: sarcophagus 
stop: stop 
put: put 
information: information 
rapper: rapper 
boy: boy 
certified: certified 
w: w 
world: world 
holding: holdings 
oh: oh 
v: v 
happening: happening 
esophagus: esophagus 
coroner: coroner 
yungmex: yungmex 
rbaycan: rbaycan 
concord: concord 
nathan: nathan 
acrylo: acrylo 
privacy: privacy 
artist: artists artist 
yes: yes 
aggression: aggression 
dearly: dearly 
loved: loved 
opposite: opposite 
knew: knew 
funny: funny 
another: another 
ubem: ubem 
banger: banger 
session: sessions 
answer: answer 
share: share 
message: message 
second: second 
never: never 
opium: opium 
eliminate: eliminate 
register: register 
k: k 
catching: catching 
co: co 
guideline: guidelines 
check: check 
song: song songs 
credit: credits 
wordplay: wordplay 
psychedelic: psychedelic 
grim: grim 
gonna: gonna 
sever: sever 
originated: originated 
even: even 
boppin: boppin 
engineer: engineer 
lino: lino 
thirsty: thirsty 
real: real 
comment: comment comments 
hardcore: hardcore 
commentary: commentary 
martinez: martinez 
candidate: candidate 
contributor: contributor contributors 
bastard: bastard 
assassin: assassin 
read: read 
meme: memes meme 
lil: lil 
savage: savage 
riaa: riaa 
part: parts part 
bow: bow 
header: headers 
infinite: infinite 
street: street 
ask: ask 
written: written 
performance: performance performances 
format: format 
vocalist: vocalists 
ph: ph 
south: south 
developer: developers 
relentless: relentless 
rbaycanca: rbaycanca 
bridge: bridge 
lagden: lagden 
perhaps: perhaps 
director: director 
remix: remix 
mixing: mixing 
surround: surrounds 
parkland: parkland 
view: view 
musical: musical 
visit: visit 
regenerate: regenerate 
digit: digits 
harry: harry 
persecution: persecution 
shit: shit 
psycho: psycho 
created: created 
head: head 
p: p 
mean: means 
ooh: ooh 
rippin: rippin 
killed: killed 
degree: degree 
see: see 
uh: uh 
mane: mane 
hook: hook 
call: call 
broken: broken 
different: different 
feelin: feelin 
cojo: cojo 
star: star 
yet: yet 
video: videos video 
story: stories story 
deconstructed: deconstructed 
brand: brand 
featured: featured 
flow: flow 
album: album 
tag: tags 
grant: grants 
prophet: prophet 
get: gets get 
label: label 
started: started 
apollo: apollo 
ballad: ballad 
al: al 
arsonist: arsonist 
us: uses 
