damn: damn 
italic: italics 
bitch: bitch bitches 
chorus: chorus 
rosen: rosen 
kazna: kazna 
section: section 
liquor: liquor 
incredible: incredible 
act: act 
aluwakbar: aluwakbar 
nederlandse: nederlandse 
kiss: kiss 
quiles: quiles 
drank: drank 
bon: bon 
szopen: szopen 
jumpin: jumpin 
baker: baker 
deutsch: deutsch 
remixes: remixes 
little: little 
released: released 
traductions: traductions 
collection: collection 
use: use 
congratulation: congratulations 
lyric: lyrics lyric 
bad: bad 
give: give 
outro: outro 
ein: ein 
information: information 
outsidde: outsidde 
sargestar: sargestar 
boy: boy 
certified: certified 
personnel: personnel 
w: w 
uzi: uzi 
six: six 
world: world 
holding: holdings holding 
ed: ed 
de: de 
traduction: traduction 
diamond: diamond 
v: v 
kramer: kramer 
codeine: codeine 
reach: reach 
soundclown: soundclown 
back: back 
drug: drugs 
vertaling: vertaling 
cardi: cardi 
philip: philip 
york: york 
oddliquor: oddliquor 
alex: alex 
ele: ele 
privacy: privacy 
artist: artists 
ayy: ayy 
pow: pow 
dury: dury 
writing: writing 
loved: loved 
go: go 
groupie: groupie 
beat: beats beat 
dan: dan 
contained: contained 
fall: fall 
buy: buy 
another: another 
paint: paint 
eviri: eviri 
earworm: earworm 
answer: answer 
multi: multi 
share: share 
roll: roll 
deez: deez 
gang: gang 
event: events 
dropped: dropped 
week: week 
garage: garage 
k: k 
kanival: kanival 
startin: startin 
co: co 
guideline: guidelines 
alva: alva 
name: name 
check: check 
song: song songs 
dadood: dadood 
credit: credits 
morgenthau: morgenthau 
twiins: twiins 
deutsche: deutsche 
wayne: wayne 
republic: republic 
man: man 
efesavage: efesavage 
crankdat: crankdat 
mashups: mashups 
mtfk: mtfk 
block: block 
even: even 
cramer: cramer 
engineer: engineer 
thing: thing 
post: post 
rich: rich 
tradition: traditions 
anticipated: anticipated 
liar: liar 
andy: andy 
sargent: sargent 
vuelta: vuelta 
ugu: ugu 
legendary: legendary 
instrumentation: instrumentation 
el: el 
previewed: previewed 
real: real 
songview: songview 
lasagna: lasagna 
albino: albino 
comment: comment comments 
fool: fool 
band: band 
sept: sept 
contributor: contributor contributors 
koriass: koriass 
read: read 
lil: lil 
savage: savage 
riaa: riaa 
part: parts part 
member: member 
