eg: eg 
chubby: chubby 
recurring: recurring 
tradu: tradu 
italic: italics 
woe: woes 
belonged: belonged 
chorus: chorus 
tj: tj 
section: section 
girl: girl 
finer: finer 
gi: gi 
international: international 
throughout: throughout 
february: february 
nigga: nigga niggas 
vinylz: vinylz 
drum: drum 
remixes: remixes 
mash: mash 
toronto: toronto 
released: released 
collection: collection 
exposed: exposed 
insane: insane 
sellin: sellin 
stoeckart: stoeckart 
use: use 
wednesday: wednesday 
fallon: fallon 
latinautorperf: latinautorperf 
lyric: lyrics lyric 
riddim: riddim 
outro: outro 
put: put 
information: information 
including: including 
sleepin: sleepin 
boy: boy 
po: po 
certified: certified 
w: w 
world: world 
holding: holdings 
de: de 
line: line lines 
ancient: ancient 
v: v vs 
pepper: pepper 
back: back 
wanna: wanna 
nariman: nariman 
york: york 
jewelry: jewelry 
reign: reign 
privacy: privacy 
artist: artists 
want: want 
care: care 
bout: bout 
go: go goes 
dane: dane 
suck: suck 
hashtags: hashtags 
tracy: tracy 
juice: juice 
ubem: ubem 
eviri: eviri 
ice: ice 
answer: answer 
share: share 
uncle: uncle 
dropped: dropped 
declare: declare 
sonyatv: sonyatv 
heraclitus: heraclitus 
k: k 
evaboy: evaboy 
co: co 
guideline: guidelines 
check: check 
song: song songs 
credit: credits 
ferrari: ferrari 
countin: countin 
socrates: socrates 
dun: dun 
republic: republic 
man: man 
street: streets 
hat: hat 
even: even 
engineer: engineer 
tellin: tellin 
thing: thing things 
un: un 
money: money 
real: real 
ii: ii 
comment: comment comments 
truth: truth 
commentary: commentary 
book: book 
contributor: contributor contributors 
greatest: greatest 
read: read 
lil: lil 
english: english 
riaa: riaa 
part: parts part 
bomboclat: bomboclat 
header: headers 
unruly: unruly 
chromatic: chromatic 
ask: ask 
written: written 
performance: performance 
format: format 
phrase: phrase 
vocalist: vocalists 
cupid: cupid 
developer: developers 
preach: preach 
road: road 
jus: jus 
yuhself: yuhself 
ballin: ballin 
youth: youth 
phonographic: phonographic 
pittsburgh: pittsburgh 
side: side 
wrld: wrld 
rk: rk 
view: view 
musical: musical 
visit: visit 
technomarine: technomarine 
created: created 
boomin: boomin 
shit: shit 
khalifa: khalifa 
embraced: embraced 
june: june 
theme: theme 
p: p 
head: head 
neither: neither 
execute: execute 
checklist: checklist 
broken: broken 
different: different 
vida: vida 
star: star 
e: es e 
video: videos 
featured: featured 
flow: flow 
album: album 
tag: tags 
grant: grants 
ride: ride 
songwriter: songwriter 
label: label 
evan: evan 
parody: parody 
hol: hol 
stumbled: stumbled 
patch: patch 
ascap: ascap 
al: al 
job: job jobs 
fader: fader 
got: got 
wiz: wiz 
metro: metro 
type: type 
whip: whip 
referenced: referenced 
release: release 
b: b 
right: rights 
pray: pray 
group: group 
would: would 
intro: intro 
x: x 
stewart: stewart 
transcriber: transcribers 
elevate: elevate 
night: night 
received: received 
sage: sages 
via: via 
policy: policy 
publisher: publisher 
etc: etc 
sell: sell 
took: took 
portugu: portugu 
soon: soon 
shot: shots 
used: used 
annotation: annotation 
aphorism: aphorism 
nuh: nuh 
hardy: hardy 
canada: canada 
company: company 
bank: bank 
pm: pm 
polish: polish 
woah: woah 
duration: duration 
told: told 
genius: genius 
ethan: ethan 
scott: scott 
