cobra: cobra 
lived: lived 
important: important 
bitch: bitch bitches 
italic: italics 
around: around 
chorus: chorus 
ro: ro 
budden: budden 
still: still 
section: section 
mo: mo 
liquor: liquor 
girl: girl girls 
found: found 
nobody: nobody 
ye: ye 
let: let 
funeral: funeral 
unido: unido 
rhymin: rhymin 
onslaught: onslaught 
simon: simon 
nigga: nigga niggas 
alias: alias 
blessing: blessings 
season: season 
vers: vers 
roc: roc 
okay: okay 
remixes: remixes 
impact: impact 
ortiz: ortiz 
pew: pews 
released: released 
ludacris: ludacris 
prayin: prayin 
none: none 
collection: collection 
focus: focus 
angel: angel 
intended: intended 
spirit: spirit 
tell: tell 
parachute: parachute 
use: use 
common: common 
heard: heard 
electronica: electronica 
month: month 
flipped: flipped 
lyric: lyrics lyric 
denace: denace 
bad: bad 
kuku: kuku 
give: give 
friendly: friendly 
recontrol: recontrol 
forget: forget 
deep: deep 
proclaimed: proclaimed 
stop: stop 
sprayed: sprayed 
hova: hova 
ser: ser 
put: put 
doin: doin 
information: information 
boy: boy 
hype: hype 
vietnam: vietnam 
kid: kids 
w: w 
six: six 
competitive: competitive 
world: world 
electricity: electricity 
prosthetic: prosthetic 
clearance: clearance 
holding: holdings 
line: line lines 
salmo: salmo 
reaper: reaper 
drunk: drunk 
v: v 
originally: originally 
cold: cold 
try: try 
momma: momma 
stone: stone 
option: option 
back: back 
violence: violence 
wanna: wanna 
phil: phil 
jackson: jackson 
york: york 
much: much 
wake: wake 
tin: tin 
paycheck: paycheck 
privacy: privacy 
artist: artists 
pelvis: pelvis 
write: write 
rapper: rappers 
hwang: hwang 
nook: nooks 
betty: betty 
bout: bout 
token: token 
loved: loved 
go: go goes 
beat: beats beat 
either: either 
knew: knew 
another: another 
mhm: mhm 
movin: movin 
villain: villain 
pusha: pusha 
shout: shout 
dick: dick 
run: run 
answer: answer 
bed: bed 
thinkin: thinkin 
share: share 
ascunselea: ascunselea 
week: week 
never: never 
far: far 
grin: grin 
except: except 
k: k 
pop: pops pop 
whatever: whatever 
think: think 
makaveli: makaveli 
sin: sin 
guideline: guidelines 
name: name 
infant: infant 
check: check 
song: song songs 
credit: credits 
mickey: mickey 
min: min 
cole: cole 
man: man 
neli: neli 
gonna: gonna 
transform: transform 
called: called 
even: even 
ruined: ruined 
mill: mill 
rich: rich 
bizy: bizy 
wright: wright 
everything: everything 
money: money 
el: el 
ii: ii 
cup: cup 
comment: comment comments 
tour: tour 
hardcore: hardcore 
abstract: abstract 
looking: looking 
rep: rep 
contributor: contributor contributors 
mom: mom 
actually: actually 
hi: hi 
tryin: tryin 
read: read 
mother: mother 
word: word 
lil: lil 
part: parts part 
past: past 
header: headers 
right: right 
street: street 
shaking: shaking 
lohan: lohan 
ask: ask 
seat: seats 
written: written 
xxplosive: xxplosive 
nova: nova 
format: format 
climbin: climbin 
vocalist: vocalists 
skrub: skrub 
ball: ball 
south: south 
lindsay: lindsay 
baskin: baskin 
compton: compton 
developer: developers 
town: town 
magnolia: magnolia 
probably: probably 
changed: changed 
bridge: bridge 
party: parties 
loan: loan 
jugular: jugular 
remix: remix 
due: due 
yelawolf: yelawolf 
cassidy: cassidy 
view: view 
musical: musical 
closure: closure 
metropolis: metropolis 
tyler: tyler 
visit: visit 
fidgetin: fidgetin 
though: though 
created: created 
pilot: pilot 
attempt: attempt 
game: game 
shit: shit 
jam: jam 
detroit: detroit 
power: power 
magnificent: magnificent 
bumpin: bumpin 
devilish: devilish 
head: head 
p: p 
fair: fair 
play: play 
pueblo: pueblo 
murphy: murphy 
see: see 
metabolic: metabolic 
oscar: oscar 
stumpin: stumpin 
fun: fun 
ghetto: ghetto 
dax: dax 
hook: hook 
dread: dread 
medium: media 
joell: joell 
broken: broken 
different: different 
clique: clique 
bought: bought 
vida: vida 
led: led 
park: park 
maybe: maybe 
rock: rock 
red: red 
video: videos video 
story: stories 
hooked: hooked 
taking: taking 
featured: featured 
flow: flow 
album: album 
nut: nuts 
cool: cool 
hall: hall 
ride: ride 
home: home 
offspring: offspring 
soldier: soldiers 
mc: mc 
label: label 
reverse: reverse 
matter: matter 
sake: sake 
debate: debates 
al: al 
key: key 
takin: takin 
got: got 
dre: dre 
emis: emis 
coast: coast 
tryna: tryna 
culture: culture 
type: type 
relapse: relapse 
release: release 
b: b 
rappertag: rappertag 
tissue: tissue 
jigga: jigga 
fold: fold 
beatle: beatle 
umbrella: umbrellas 
across: across 
joe: joe 
group: group 
jump: jump 
tinvain: tinvain 
joke: jokes 
step: step steps 
would: would 
hear: hear 
intro: intro 
connery: connery 
earth: earth 
frenk: frenk 
irony: irony 
swing: swings 
x: x 
one: one 
wild: wild 
endured: endured 
transcriber: transcribers 
puppetmaster: puppetmaster 
coldest: coldest 
lot: lot 
track: tracks track 
pac: pac 
barely: barely 
roof: roof 
challenge: challenge 
raise: raise 
class: class 
policy: policy 
dream: dreams 
competition: competition 
tanglin: tanglin 
kendrick: kendrick 
ten: ten 
papoose: papoose 
reigned: reigned 
shepherd: shepherd 
sell: sell 
etc: etc 
could: could 
friend: friends 
took: took 
dr: dr 
takeone: takeone 
paul: paul 
foot: feet 
dome: dome 
dressed: dressed 
atlanta: atlanta 
marley: marley 
annotation: annotation 
used: used 
present: present 
uncoachable: uncoachable 
broke: broke 
fan: fans fan 
instagram: instagram 
deepflow: deepflow 
best: best 
witness: witness 
woah: woah 
kissin: kissin 
giant: giant 
hittman: hittman 
skydive: skydive 
told: told 
bunch: bunch 
melon: melon 
take: takes take 
genius: genius 
somethin: somethin 
monarchy: monarchy 
dupri: dupri 
millz: millz 
lost: lost 
people: people 
featuring: featuring 
year: year years 
juicy: juicy 
sample: samples sample 
corvette: corvette 
jumped: jumped 
press: press 
five: five 
freestyle: freestyle 
mind: mind minds 
aggressive: aggressive 
rap: rap 
issue: issues 
spray: spray 
leg: leg 
