society: society 
damn: damn 
trel: trel 
ruby: ruby 
tradu: tradu 
italic: italics 
bitch: bitch bitches 
chorus: chorus 
belief: believes beliefs 
section: section 
nobody: nobody 
let: let 
international: international 
drank: drank 
nigga: nigga niggas 
vers: vers 
jos: jos 
vroom: vroom 
good: good 
okay: okay 
remixes: remixes 
mash: mash 
enotti: enotti 
briggs: briggs 
traductions: traductions 
collection: collection 
tell: tell 
adina: adina 
use: use 
nitin: nitin 
doe: doe 
matrix: matrix 
svenska: svenska 
roscoe: roscoe 
ended: ended 
lyric: lyrics lyric 
bad: bad 
ttning: ttning 
outro: outro 
starting: starting 
put: put 
japanese: japanese 
information: information 
boy: boy boys 
hype: hype 
txy: txy 
crazy: crazy 
w: w 
world: world 
holding: holdings 
making: making 
traduction: traduction 
harlow: harlow 
goin: goin 
v: v vs 
originally: originally 
ha: ha 
option: options 
back: back 
hearing: hearing 
much: much 
pill: pills 
pressure: pressure 
giving: giving 
invasion: invasion 
privacy: privacy 
artist: artists 
want: want 
scrotum: scrotum 
token: token 
loved: loved 
go: go goes 
care: cares 
another: another 
ca: ca 
splinter: splinter 
dick: dick 
run: run 
eviri: eviri 
answer: answer 
soundcloud: soundcloud 
share: share 
roll: roll 
tree: trees 
deez: deez 
never: never 
k: k 
voice: voice 
guideline: guidelines 
check: check 
song: song songs 
credit: credits 
horn: horn 
cum: cum 
nando: nando 
ruler: ruler 
going: going 
even: even 
engineer: engineer 
grind: grind 
pool: pools 
post: post 
versus: versus 
fat: fat 
battle: battle 
money: money 
everything: everything 
real: real 
relay: relay 
comment: comment comments 
hardcore: hardcore 
knee: knees 
contributor: contributor contributors 
hi: hi 
read: read 
lil: lil 
english: english 
call: calls 
part: parts part 
background: background 
next: next 
right: right 
street: street 
header: headers 
jack: jack 
cast: cast 
ask: ask 
written: written 
circle: circle 
format: format 
failure: failure 
vocalist: vocalists 
ball: ball 
south: south 
developer: developers 
compton: compton 
road: road 
fly: fly 
lobby: lobby 
changed: changed 
wifey: wifey 
mine: mines 
phonographic: phonographic 
remix: remix 
die: die 
opening: opening 
rk: rk 
mixing: mixing 
tower: tower 
view: view 
lenbo: lenbo 
