double: double 
italic: italics 
bitch: bitch 
chorus: chorus 
thought: thoughts 
still: still 
section: section 
typically: typically 
mo: mo 
girl: girl girls 
forbidden: forbidden 
found: found 
dreamvillain: dreamvillain 
let: let 
visuals: visuals 
february: february 
nigga: nigga 
siriusxm: siriusxm 
constant: constant 
niggaz: niggaz 
roc: roc 
carti: carti 
okay: okay 
remixes: remixes 
collection: collection 
eastbay: eastbay 
fern: fern 
use: use 
lyric: lyrics lyric 
give: give 
outro: outro 
displayed: displayed 
information: information 
boy: boy 
browz: browz 
w: w 
college: college 
world: world 
holding: holdings 
rick: rick 
fruit: fruit 
v: v vs 
baby: baby 
page: page 
relate: relate 
back: back 
halsey: halsey 
york: york 
spill: spill 
privacy: privacy 
artist: artists 
want: want wants 
chick: chicks 
rap: raps rap 
care: care 
dermot: dermot 
loved: loved 
hov: hov 
ca: ca 
definition: definition 
answer: answer 
share: share 
dropped: dropped 
second: second 
k: k 
guideline: guidelines 
check: check 
song: song songs 
yomommigotbarss: yomommigotbarss 
credit: credits 
arin: arin 
cole: cole 
wayne: wayne 
man: man 
villuminati: villuminati 
even: even 
engineer: engineer 
thing: thing 
rich: rich 
willing: willing 
liar: liar 
money: money 
songview: songview 
totally: totally 
comment: comment comments 
wrote: wrote 
contributor: contributor contributors 
actually: actually 
bossed: bossed 
read: read 
childish: childish 
lil: lil 
priska: priska 
part: parts part 
header: headers 
killing: killing 
ask: ask 
performance: performance 
stuff: stuff 
longest: longest 
written: written 
format: format 
valentine: valentine 
vocalist: vocalists 
miguel: miguel 
ball: ball 
developer: developers 
heat: heat 
hubert: hubert 
spent: spent 
lou: lou 
phonographic: phonographic 
side: side 
remix: remix 
grown: grown 
pull: pull 
mixing: mixing 
view: view 
musical: musical 
visit: visit 
fonsi: fonsi 
created: created 
shit: shit 
game: game 
crooked: crooked 
power: power 
freeze: freeze 
runaway: runaway 
p: p 
play: play 
serf: serves 
uh: uh 
kris: kriss 
meaning: meaning 
ron: ron 
broken: broken 
different: different 
paying: paying 
vida: vida 
mohammed: mohammed 
law: laws 
video: videos video 
featured: featured 
tag: tags 
home: home 
label: label 
married: married 
sake: sake 
got: got 
bigger: bigger 
mez: mez 
drinkin: drinkin 
type: type 
seventeen: seventeen 
release: release 
b: b 
premier: premier 
right: rights 
group: group 
getting: getting 
would: would 
bmi: bmi 
together: together 
x: x 
one: one 
transcriber: transcribers 
night: night 
following: following 
according: according 
luis: luis 
trippy: trippy 
policy: policy 
dd: dd 
publisher: publisher 
dream: dreams 
etc: etc 
sell: sell 
could: could 
took: took 
used: used 
annotation: annotation 
hulaws: hulaws 
dram: dram 
heater: heater 
warm: warm 
jazz: jazz 
trouble: trouble 
facebook: facebook 
mall: mall 
issa: issa 
genius: genius 
lost: lost 
sample: samples sample 
featuring: featuring 
day: days day 
chaining: chaining 
press: press 
club: club clubs 
born: born 
pt: pt 
tossed: tossed 
rendition: rendition 
columbia: columbia 
booklet: booklet 
homie: homie 
disown: disown 
gon: gon 
forever: forever 
lead: lead 
u: u us 
believe: believe 
singin: singin 
mama: mama 
verified: verified 
n: n 
wife: wife 
rise: rise 
g: g 
topping: topping 
help: help 
twenty: twenty 
mixed: mixed 
obsessed: obsessed 
knowledge: knowledge 
space: space 
city: city 
tap: tap 
make: make 
death: death 
line: lines 
licensing: licensing 
j: j 
life: life 
others: others 
chart: chart charts 
sent: sent 
forum: forum 
pixie: pixie 
clich: clich 
coward: coward 
powerdripp: powerdripp 
said: said 
soundonsound: soundonsound 
dreamville: dreamville 
advertise: advertise 
fit: fits 
add: add 
hey: hey 
understand: understand 
guide: guide 
create: create 
