octavian: octavian 
talk: talk 
italic: italics 
chorus: chorus 
note: note 
section: section 
incredible: incredible 
success: success 
ant: ant 
somethings: somethings 
flay: flay 
vinylz: vinylz 
good: good 
remixes: remixes 
mcpherson: mcpherson 
mi: mi 
released: released 
carstens: carstens 
collection: collection 
disturb: disturb 
slumberjack: slumberjack 
tell: tell 
use: use 
latinautorperf: latinautorperf 
heard: heard 
corp: corp 
lyric: lyrics lyric 
riddim: riddim 
outro: outro 
madiba: madiba 
information: information 
alv: alv 
boy: boy 
position: positions 
portland: portland 
kid: kids 
w: w 
world: world 
holding: holdings 
gale: gale 
v: v 
jorja: jorja 
reach: reach 
back: back 
wanna: wanna 
alex: alex 
dance: dance 
concord: concord 
privacy: privacy 
artist: artists 
associate: associates 
loved: loved 
beat: beats 
ginuwine: ginuwine 
dan: dan 
ubem: ubem 
run: run 
ice: ice 
kidz: kidz 
answer: answer 
share: share 
sonyatv: sonyatv 
never: never 
itunes: itunes 
kmt: kmt 
k: k 
malik: malik 
dancehall: dancehall 
name: name 
guideline: guidelines 
check: check 
song: song songs 
credit: credits 
plane: planes 
republic: republic 
broccoli: broccoli 
even: even 
rich: rich 
liar: liar 
everything: everything 
money: money 
shawn: shawn 
comment: comment comments 
payroll: payroll 
contributor: contributor contributors 
read: read 
word: word 
part: parts part 
free: free 
blk: blk 
header: headers 
right: right rights 
ask: ask 
written: written 
performance: performance 
format: format 
tidal: tidal 
triple: triple 
vocalist: vocalists 
whitehead: whitehead 
developer: developers 
changed: changed 
problem: problems 
avery: avery 
bmg: bmg 
phonographic: phonographic 
john: john 
remix: remix 
false: false 
showin: showin 
view: view views 
musical: musical 
visit: visit 
created: created 
shit: shit 
p: p 
play: play 
see: see 
medium: media 
broken: broken 
different: different 
clique: clique 
vida: vida 
mendes: mendes 
video: videos 
renzilla: renzilla 
casablanca: casablanca 
featured: featured 
album: album 
tag: tags 
label: label 
island: island 
ascap: ascap 
emotion: emotions 
al: al 
got: got 
dre: dre 
tryna: tryna 
publish: publish 
type: type 
release: release 
b: b 
dennis: dennis 
skeme: skeme 
group: group 
bmi: bmi 
together: together 
noelle: noelle 
wilson: wilson 
x: x 
one: one 
transcriber: transcribers 
night: night 
away: away 
fak: fak 
streamed: streamed 
policy: policy 
blem: blem 
publisher: publisher 
som: som 
tamerlane: tamerlane 
alternative: alternative 
etc: etc 
achille: achille 
friend: friends 
sell: sell 
lose: lose 
caroline: caroline 
luv: luv 
annotation: annotation 
pictured: pictured 
employ: employ 
listen: listen 
wonder: wonder 
october: october 
canada: canada 
graham: graham 
father: father 
hafto: hafto 
genius: genius 
yahmir: yahmir 
somethin: somethin 
people: people 
nyan: nyan 
sample: samples sample 
press: press 
freestyle: freestyle 
salute: salute 
rap: rap 
sound: sound 
themed: themed 
pt: pt 
ging: ging 
long: long 
sacrifice: sacrifices 
drew: drew 
u: u us 
verified: verified 
n: n 
safe: safe 
g: g 
face: face 
criticizing: criticizing 
skepta: skepta 
show: show 
paper: paper 
knowledge: knowledge 
available: available 
bop: bop 
find: finds 
death: death 
line: lines 
licensing: licensing 
j: j 
sony: sony 
life: life 
say: say 
ol: ol 
birthday: birthday 
aw: aw 
forum: forum 
traducciones: traducciones 
passionfruit: passionfruit 
advertise: advertise 
starrah: starrah 
jay: jays 
editor: editor 
watch: watch 
add: add 
gyalchester: gyalchester 
purchase: purchase 
understand: understand 
guide: guide 
son: son 
mila: mila 
teenage: teenage 
explains: explains 
chune: chune 
forward: forward 
headtop: headtop 
promote: promote 
copyright: copyright 
shay: shay 
biggest: biggest 
job: jobs 
bold: bold 
spotify: spotify 
f: f 
acoustic: acoustic 
cover: cover covers 
chappell: chappell 
proved: proved 
contact: contact 
ml: ml 
art: art 
recording: recordings 
also: also 
distributor: distributor 
get: get 
came: came 
stabber: stabbers 
management: management 
translation: translations 
pony: pony 
traducci: traducci 
fact: facts 
fake: fake 
interlude: interlude 
normani: normani 
thing: things 
cancel: cancel 
trap: trap 
nothing: nothings 
patience: patience 
z: z 
singe: singe 
solar: solar 
hidin: hidin 
way: way 
emi: emi 
new: new 
look: look 
pulse: pulse 
ovo: ovo 
mix: mix 
term: terms 
take: take 
tune: tunes 
interpolate: interpolate 
whopper: whopper 
latinautor: latinautor 
fever: fever 
la: la 
embed: embed 
whole: whole 
lov: lov 
jlatrel: jlatrel 
universal: universal 
ft: ft 
time: time 
hot: hot 
radio: radio 
three: three 
kidd: kidd 
since: since 
ultimate: ultimate 
william: william 
like: like 
distinguish: distinguish 
bellinger: bellinger 
trust: trust 
better: better 
cmrra: cmrra 
capsize: capsize 
mijac: mijac 
apple: apple 
dababy: dababy 
source: source 
sign: sign 
q: q 
day: day 
r: r 
place: place 
melt: melts 
vibe: vibe 
sandra: sandra 
llc: llc 
gemitaiz: gemitaiz 
insight: insight 
e: e 
ray: ray 
expand: expand 
big: big 
april: april 
talkin: talkin 
caught: caught 
episode: episode 
gene: gene 
repeating: repeating 
premiere: premiere 
track: track 
love: love 
smile: smile 
peermusic: peermusic 
publishing: publishing 
sneakin: sneakin 
date: date 
skrrt: skrrt 
girl: girls 
mcfadden: mcfadden 
c: c 
glow: glow 
cash: cash 
identifies: identifies 
inspired: inspired 
straight: straight 
dog: dog 
mashup: mashup 
controlla: controlla 
h: h 
individual: individual 
mistake: mistakes 
smoke: smoke 
eric: eric 
know: know 
personal: personal 
transcription: transcription 
chart: charts 
might: might 
pedl: pedl 
deal: deals 
pre: pre 
huff: huff 
yeah: yeah 
aiono: aiono 
inspiration: inspiration 
mint: mint 
socan: socan 
warner: warner 
record: records 
switch: switch 
music: music 
l: l 
leon: leon 
really: really 
global: global 
lee: lee 
question: question 
solid: solid 
speak: speak 
drop: drop 
shop: shop 
espa: espa 
produced: produced 
learn: learn 
king: king 
often: often 
verse: verse 
young: young 
lauro: lauro 
scholar: scholars 
drake: drake 
viva: viva 
interpolation: interpolations 
aresa: aresa 
version: version 
entertainment: entertainment 
umpg: umpg 
atv: atv 
