focused: focused 
jes: jes 
makalister: makalister 
carta: carta 
talk: talk 
foreign: foreign 
hallway: hallway 
study: study 
italic: italics 
bitch: bitch 
woo: woo 
around: around 
chorus: chorus 
thought: thoughts thought 
peaked: peaked 
still: still 
burn: burn 
section: section 
whiter: whiter 
nle: nle 
album: albums album 
pessimistic: pessimistic 
handle: handle 
found: found 
ye: ye 
let: let 
jas: jas 
international: international 
laid: laid 
plenty: plenty 
godson: godson 
poundcake: poundcake 
nigga: nigga niggas 
canto: canto 
almost: almost 
good: good 
roc: roc 
clown: clown 
remixes: remixes 
mark: marks 
berner: berner 
collection: collection 
perry: perry 
neck: neck 
stick: stick 
nba: nba 
tell: tell 
dame: dame 
use: use 
latinautorperf: latinautorperf 
randomlines: randomlines 
heard: heard 
exchange: exchange 
clickin: clickin 
flipped: flipped 
lyric: lyrics lyric 
mistah: mistah 
tint: tint 
outro: outro 
put: put 
japanese: japanese 
doin: doin 
drill: drill 
rapper: rapper 
information: information 
yousef: yousef 
boy: boy 
explicit: explicit 
reborn: reborn 
jordan: jordan 
godbey: godbey 
crazy: crazy 
w: w 
lyor: lyor 
world: world 
holding: holdings 
otw: otw 
clearance: clearance 
mandarin: mandarin 
line: line lines 
oh: oh 
v: v 
originally: originally 
enjoyed: enjoyed 
twice: twice 
acappella: acappella 
baby: baby 
third: third 
selah: selah 
order: order 
back: back 
wanna: wanna 
handlin: handlin 
much: much 
york: york 
beyonc: beyonc 
asking: asking 
frontin: frontin 
tin: tin 
mulino: mulino 
privacy: privacy 
hope: hope hopes 
want: want 
yes: yes 
parent: parents 
text: text 
artist: artists artist 
manage: manage 
herbie: herbie 
kelly: kelly 
russell: russell 
bout: bout 
loved: loved 
go: go 
beat: beats beat 
dan: dan 
bizzle: bizzle 
hinton: hinton 
fall: fall 
hov: hov 
bro: bro 
foxy: foxy 
another: another 
shout: shout 
juice: juice 
fashawn: fashawn 
corey: corey 
ubem: ubem 
overly: overly 
chip: chip 
answer: answer 
upside: upside 
eliot: eliot 
thinkin: thinkin 
share: share 
westbrook: westbrook 
dropped: dropped 
message: message 
second: second 
far: far 
never: never 
bloodshot: bloodshot 
k: k 
soko: soko 
think: think 
co: co 
guideline: guidelines 
name: name 
check: check 
song: song songs 
credit: credits 
thru: thru 
nesher: nesher 
bakkari: bakkari 
wayne: wayne 
republic: republic 
man: man 
gonna: gonna 
called: called 
going: going 
feature: features feature 
appearance: appearance 
lazza: lazza 
even: even 
lap: lap 
engineer: engineer 
described: described 
happy: happy 
mill: mill 
shoulda: shoulda 
thing: thing 
anticipated: anticipated 
liar: liar 
vantes: vantes 
watermelon: watermelon 
kur: kur 
tuscan: tuscan 
lox: lox 
rendom: rendom 
el: el 
everything: everything 
money: money 
bryant: bryant 
real: real 
ii: ii 
le: less les 
songview: songview 
thep: thep 
clan: clan 
legitimate: legitimate 
comment: comment comments 
amped: amped 
commentary: commentary 
tomorrow: tomorrow 
advil: advil 
ocean: ocean 
verse: verses verse 
contributor: contributor contributors 
mom: mom 
greatest: greatest 
read: read 
word: word 
mess: mess 
lil: lil 
update: updates 
treated: treated 
childish: childish 
part: parts part 
free: free 
past: past 
header: headers 
right: right rights 
ask: ask 
tough: tough 
timbaland: timbaland 
written: written 
performance: performance 
format: format 
frantik: frantik 
vocalist: vocalists 
dyemond: dyemond 
ball: ball 
trill: trill 
developer: developers 
probably: probably 
sa: sas sa 
wes: wes 
spent: spent 
furthest: furthest 
stefflon: stefflon 
ljit: ljit 
songfacts: songfacts 
phonographic: phonographic 
september: september 
isaiah: isaiah 
fore: fore 
remix: remix 
brace: braces 
il: il 
sool: sool 
wrld: wrld 
chino: chino 
view: view 
musical: musical 
visit: visit 
created: created 
billboard: billboard 
game: game 
shit: shit 
studio: studio studios 
p: p 
play: play 
serf: serves 
uh: uh 
month: months 
chase: chase 
meant: meant 
whether: whether 
camp: camp 
ron: ron 
cam: cam 
different: different 
broken: broken 
pro: pro 
bill: bill 
remember: remember 
bitten: bitten 
wu: wu 
fiend: fiend 
hour: hours hour 
rock: rock 
red: red 
loav: loav 
brady: brady 
video: videos 
brand: brand 
featured: featured 
light: light 
tag: tags 
direction: direction 
grant: grants 
home: home 
label: label 
burnett: burnett 
started: started 
today: today 
santo: santo 
michael: michael 
island: island 
xano: xano 
debate: debates 
holdin: holdin 
ascap: ascap 
jfreakthesizzlegod: jfreakthesizzlegod 
jaw: jaw 
got: got 
dre: dre 
coast: coast 
tryna: tryna 
cromwell: cromwell 
avion: avion 
publish: publish 
type: type 
bullshit: bullshit 
release: release 
supported: supported 
b: b 
sanchez: sanchez 
rule: rules 
chess: chess 
schaeffer: schaeffer 
scrimmage: scrimmage 
evans: evans 
sotto: sotto 
group: group 
playing: playing 
ricch: ricch 
tinvain: tinvain 
would: would 
hear: hear 
bmi: bmi 
intro: intro 
irv: irv 
rheon: rheon 
x: x 
one: one 
brown: brown 
pair: pair 
transcriber: transcribers 
umpg: umpg 
night: night 
wild: wild 
following: following 
away: away 
course: course 
candle: candle 
lot: lot 
round: round 
according: according 
language: language 
peggio: peggio 
via: via 
policy: policy 
publisher: publisher 
fresh: fresh 
corner: corner 
etc: etc 
sell: sell 
could: could 
took: took 
hayes: hayes 
connect: connect 
paris: paris 
loose: loose 
glocca: glocca 
elbourne: elbourne 
illist: illist 
agapi: agapi 
luv: luv 
annotation: annotation 
porter: porter 
classmate: classmates 
grab: grab 
lingo: lingo 
canada: canada 
company: company 
case: case 
listening: listening 
warm: warm 
hafto: hafto 
best: best 
sat: sat 
worst: worst 
david: david 
metalwork: metalworks 
diamond: diamonds 
later: later 
told: told 
mchg: mchg 
oumuamua: oumuamua 
kz: kz 
genius: genius 
iv: iv 
leather: leather 
somethin: somethin 
benzo: benzo 
amra: amra 
sample: samples sample 
featuring: featuring 
year: year years 
contract: contract 
day: days 
nyck: nyck 
press: press 
five: five 
club: club 
freestyle: freestyle 
mind: mind 
aggressive: aggressive 
rap: rap 
katy: katy 
xydistic: xydistic 
sound: sound 
pt: pt 
wide: wide 
murdered: murdered 
elhae: elhae 
boosting: boosting 
long: long 
accountant: accountants 
major: major 
showoff: showoff 
homie: homie 
masterpiece: masterpiece 
else: else 
forever: forever 
farm: farm 
u: u us 
criss: criss 
sometimes: sometimes 
believe: believe 
airbag: airbag 
verified: verified 
hit: hits 
n: n 
g: g 
face: face 
cake: cakes cake 
chang: chang 
letter: letter 
mural: murals 
icin: icin 
room: room 
hottest: hottest 
knowledge: knowledge 
absolute: absolute 
space: space 
choppa: choppa 
poteva: poteva 
jr: jr 
stacy: stacy 
city: city 
barthe: barthe 
talking: talking 
make: make 
west: west 
dream: dream 
death: death 
licensing: licensing 
j: j 
karat: karat 
assistant: assistant 
sony: sony 
stance: stance 
life: life 
na: na 
someone: someone 
chart: chart charts 
bridge: bridges 
jim: jim 
sent: sent 
fred: fred 
say: say says 
oliver: oliver 
clearer: clearer 
forum: forum 
crash: crash 
dima: dima 
woman: women 
joker: jokers 
nwts: nwts 
bamberg: bamberg 
