du: du 
italic: italics 
bitch: bitch 
freak: freak 
chorus: chorus 
section: section 
time: times time 
girl: girl girls 
nobody: nobody 
syllable: syllables 
kiss: kiss 
let: let 
cocked: cocked 
throughout: throughout 
dip: dip 
nigga: nigga niggas 
season: season 
showed: showed 
buck: bucks 
debut: debut 
ready: ready 
collection: collection 
tell: tell 
use: use 
woman: woman 
heard: heard 
lyric: lyrics lyric 
touch: touch 
give: give 
pleasure: pleasure 
forget: forget 
deep: deep 
heavy: heavy 
sprayed: sprayed 
lazy: lazy 
doo: doo 
put: put 
information: information 
rapper: rapper rappers 
boy: boy 
particularly: particularly 
w: w 
world: world 
scream: scream 
holding: holdings 
making: making 
frame: frames 
goin: goin 
oh: oh 
v: v 
cunt: cunt 
wanna: wanna 
much: much 
york: york 
wake: wake 
goon: goon 
dance: dance 
privacy: privacy 
artist: artists artist 
want: want wants 
azealia: azealia 
care: care cares 
bout: bout 
loved: loved 
go: go 
poom: poom 
npr: npr 
jeff: jeff 
dick: dick 
run: run 
ice: ice 
answer: answer 
share: share 
k: k 
quinn: quinn 
think: think 
lunch: lunch 
guideline: guidelines 
name: name 
gay: gay 
check: check 
song: song songs 
credit: credits 
cum: cum 
rag: rag 
ruin: ruin 
even: even 
uptown: uptown 
engineer: engineer 
tellin: tellin 
camera: camera 
reflective: reflective 
liar: liar 
eat: eat 
comment: comment comments 
hardcore: hardcore 
dominance: dominance 
contributor: contributor contributors 
yung: yung 
greatest: greatest 
read: read 
word: word 
english: english 
ranked: ranked 
part: parts part 
jfk: jfk 
header: headers 
right: right 
free: free 
command: commands 
ask: ask 
written: written 
format: format 
vocalist: vocalists 
american: american 
developer: developers 
deuce: deuce 
expensive: expensive 
bridge: bridge 
oooh: oooh 
mixing: mixing 
pronounced: pronounced 
view: view 
become: become 
musical: musical 
visit: visit 
created: created 
shit: shit 
lickin: lickin 
studio: studio 
responded: responded 
p: p 
see: see 
kool: kool 
medium: media 
hook: hook 
eaten: eaten 
broken: broken 
different: different 
remember: remember 
shot: shot 
desperado: desperado 
video: videos 
featured: featured 
tag: tags 
grant: grants 
today: today 
water: water 
got: got 
type: type 
bullshit: bullshit 
release: release 
b: b 
nonbinary: nonbinary 
expect: expect 
fit: fit 
nowhere: nowhere 
getting: getting 
playing: playing 
greene: greene 
zoo: zoo 
mindbreak: mindbreak 
milk: milk 
x: x 
one: one 
transcriber: transcribers 
princess: princess 
sip: sip 
lot: lot 
taxxon: taxxon 
received: received 
derogatory: derogatory 
imma: imma 
language: language 
policy: policy 
camaraderie: camaraderie 
especially: especially 
future: future 
inimitable: inimitable 
etc: etc 
sell: sell 
could: could 
tongue: tongue 
soon: soon 
cock: cock 
annotation: annotation 
listen: listen 
wonder: wonder 
broke: broke 
experimental: experimental 
bet: bet 
life: lives 
warm: warm 
best: best 
grindin: grindin 
genius: genius 
nick: nick 
metal: metal 
whirlwind: whirlwind 
people: people 
featuring: featuring 
sample: samples sample 
blue: blue 
press: press 
cut: cut 
slumber: slumber 
rap: rap 
sound: sound sounds 
hoodlum: hoodlum 
pt: pt 
near: near 
vamp: vamp 
homie: homie 
gon: gon 
u: u us 
peep: peeps peep 
bayou: bayou 
verified: verified 
n: n 
female: female 
boat: boat 
singer: singer 
g: g 
face: face 
blame: blame 
float: float 
knowledge: knowledge 
nude: nude 
thundered: thundered 
talking: talking 
make: make 
death: death 
line: lines 
weird: weird 
licensing: licensing 
j: j 
yo: yo 
gimme: gimme 
boo: boo 
pump: pump 
true: true 
sure: sure 
discovered: discovered 
forum: forum 
parisian: parisian 
said: said 
delilah: delilah 
advertise: advertise 
bank: banks 
