twix: twix 
larray: larray 
du: du 
jacket: jacket 
degree: degrees 
italic: italics 
bm: bm 
bitch: bitch 
bread: bread 
around: around 
chorus: chorus 
still: still 
section: section 
pumpy: pumpy 
girl: girl girls 
nle: nle 
success: success 
let: let 
ant: ant 
bon: bon 
team: team 
pr: prs 
jumpin: jumpin 
good: good 
koi: koi 
remixes: remixes 
released: released 
none: none 
collection: collection 
tell: tell 
babe: babes 
use: use 
hybrid: hybrid 
lyric: lyrics lyric 
outro: outro 
cornflakes: cornflakes 
doo: doo 
doin: doin 
loyalty: loyalty 
rapper: rapper rappers 
drill: drill 
spice: spice 
cypher: cypher 
grunt: grunt 
information: information 
boy: boy 
w: w 
flocka: flocka 
world: world 
holding: holdings 
brudda: brudda 
scar: scars 
reaper: reaper 
v: v vs 
daily: daily 
tny: tny 
cold: cold 
back: back 
wanna: wanna 
dance: dance 
saymyname: saymyname 
privacy: privacy 
artist: artists 
yes: yes 
loved: loved 
california: california 
either: either 
bizzle: bizzle 
waka: waka 
poom: poom 
another: another 
movin: movin 
sauna: sauna 
spar: spar 
paint: paint 
ubem: ubem 
monroe: monroe 
chip: chip 
frisk: frisk 
answer: answer 
literature: literature 
tree: trees 
roll: roll 
share: share 
feat: feat 
spin: spin 
gang: gang 
never: never 
far: far 
playboy: playboy 
mathematics: mathematics 
k: k 
co: co 
guideline: guidelines 
hurtin: hurtin 
minus: minus 
toe: toes 
check: check 
name: name 
song: song songs 
kleine: kleine 
credit: credits 
krept: krept 
megamashup: megamashup 
ting: ting 
dun: dun 
hhqr: hhqr 
man: man mans 
gonna: gonna 
block: block 
even: even 
engineer: engineer 
thing: thing things 
dad: dad 
liar: liar 
llama: llama 
titled: titled 
yachty: yachty 
comedian: comedian 
globe: globe 
real: real 
asznee: asznee 
comment: comment comments 
otp: otp 
commentary: commentary 
speech: speech 
bbc: bbc 
contributor: contributor contributors 
read: read 
meme: memes meme 
lil: lil 
part: parts part 
header: headers 
right: right rights 
ask: ask 
written: written 
performance: performance 
mini: mini 
format: format 
vocalist: vocalists 
ph: ph 
ah: ah 
developer: developers 
road: road 
outside: outside 
perplexing: perplexing 
christmas: christmas 
bridge: bridge 
ist: ist 
heat: heat 
lynx: lynx 
joel: joel 
perhaps: perhaps 
li: li 
skidi: skidi 
bmg: bmg 
phonographic: phonographic 
september: september 
director: director 
remix: remix 
roadman: roadmen 
hose: hose 
burnt: burnt 
rice: rice 
view: view 
style: style 
mae: mae 
tpl: tpl 
dead: dead 
visit: visit 
musical: musical 
created: created 
peng: peng 
shit: shit 
power: power 
shaq: shaq 
p: p 
see: see 
uh: uh 
gottionem: gottionem 
duppy: duppy 
fun: fun 
pa: pa pas 
charles: charles 
broken: broken 
different: different 
chadwithaj: chadwithaj 
lo: lo 
ahora: ahora 
ducked: ducked 
park: park 
charlie: charlie 
video: videos video 
est: est 
ooohhh: ooohhh 
featured: featured 
tag: tags 
vibe: vibes vibe 
grant: grants 
label: label 
mc: mc 
parody: parody 
character: character 
femdot: femdot 
michael: michael 
island: island 
ascap: ascap 
emotion: emotions 
guib: guib 
jaw: jaw 
rockstar: rockstar 
got: got 
force: force 
alphabet: alphabet 
pegasus: pegasus 
culture: culture 
type: type 
release: release 
b: b 
liife: liife 
misali: misali 
konan: konan 
tabasco: tabasco 
jaz: jaz 
hitler: hitler 
sava: sava 
sloth: sloth 
group: group 
jump: jump 
leshurr: leshurr 
hear: hear 
intro: intro 
notable: notable 
brr: brr 
miraie: miraie 
x: x 
one: one 
brown: brown 
transcriber: transcribers 
lot: lot 
cmh: cmh 
ryuuseigun: ryuuseigun 
policy: policy 
jme: jme 
publisher: publisher 
trint: trint 
kuso: kuso 
dk: dk 
etc: etc 
sell: sell 
friend: friends 
blackman: blackman 
neal: neal 
british: british 
foot: feet 
roba: roba 
sandman: sandman 
annotation: annotation 
october: october 
daymanoursavior: daymanoursavior 
spawned: spawned 
finished: finished 
told: told 
take: takes take 
countdown: countdown 
genius: genius 
warab: warab 
satire: satire 
sample: samples sample 
featuring: featuring 
grm: grm 
blue: blue 
press: press 
club: club 
afrojack: afrojack 
freestyle: freestyle 
rap: rap 
saucy: saucy 
spray: spray 
krispies: krispies 
wolfieraps: wolfieraps 
pt: pt 
gianni: gianni 
long: long 
homie: homie 
drew: drew 
u: u us 
believe: believe 
edition: edition 
fam: fam 
verified: verified 
n: n 
g: g 
phone: phone 
futuristic: futuristic 
candy: candy 
vol: vol 
show: show 
knowledge: knowledge 
every: every 
uckers: uckers 
ultra: ultra 
choppa: choppa 
jr: jr 
frisbee: frisbee 
dtg: dtg 
go: goes 
death: death 
donut: donut 
line: lines 
licensing: licensing 
glish: glish 
j: j 
sony: sony 
yo: yo 
th: th 
submarine: submarine 
pedo: pedo 
busta: busta 
quick: quick 
forum: forum 
pose: pose 
sauce: sauce 
said: said 
cry: cry 
joking: joking 
advertise: advertise 
mlechniy: mlechniy 
marvel: marvel 
editor: editor 
appearance: appearances 
ku: ku 
forty: forty 
add: add 
ehpat: ehpat 
understand: understand 
ki: ki 
hah: hah 
guide: guide 
math: maths 
extreme: extreme 
richchoi: richchoi 
tight: tight 
nose: nose 
pill: pill 
boom: boom 
london: london 
shun: shun 
promote: promote 
hip: hip 
alboe: alboe 
copyright: copyright 
job: jobs 
biggest: biggest 
bold: bold 
trip: trip 
f: f 
squeaky: squeaky 
series: series 
adoboys: adoboys 
cover: cover covers 
contact: contact 
colgems: colgems 
monika: monika 
perspiration: perspiration 
shh: shh 
kanak: kanak 
ml: ml 
hotty: hotty 
jan: jan 
also: also 
distributor: distributor 
management: management 
vafro: vafro 
effect: effect 
translation: translations 
khaled: khaled 
butter: butter 
know: knows know 
shaqisdope: shaqisdope 
flexin: flexin 
converted: converted 
disturbing: disturbing 
fact: facts 
lethal: lethal 
oof: oof 
domashniy: domashniy 
pah: pah 
gucci: gucci 
cancel: cancel 
trap: trap 
bongizzlez: bongizzlez 
z: z 
skrrat: skrrat 
come: come 
solar: solar 
froze: froze 
whitney: whitney 
way: way 
emi: emi 
look: look 
fdt: fdt 
nah: nah 
gedrag: gedrag 
dapaah: dapaah 
callin: callin 
booth: booth 
mix: mix 
term: terms 
thought: thought 
heiss: heiss 
black: black 
original: original 
interpolate: interpolate 
latinautor: latinautor 
gvki: gvki 
ketchup: ketchup 
pitch: pitch 
sbmg: sbmg 
hop: hop 
james: james 
seriously: seriously 
embed: embed 
first: first 
glizzy: glizzy 
nyans: nyans 
universal: universal 
ft: ft 
porchy: porchy 
grandayy: grandayy 
hot: hot 
radio: radio 
three: three 
rhyme: rhymes 
farsi: farsi 
since: since 
ultimate: ultimate 
refrain: refrain 
chilin: chilin 
like: like 
guy: guy 
distinguish: distinguish 
collective: collective 
window: window 
two: two 
cmrra: cmrra 
sans: sans 
itsyeboi: itsyeboi 
went: went 
slide: slide 
uk: uk 
source: source 
undertail: undertail 
sign: sign 
rawinthevoid: rawinthevoid 
flyingkitty: flyingkitty 
yangstarr: yangstarr 
q: q 
dat: dat 
d: ds 
day: day 
pop: pop 
r: r 
place: place 
marv: marv 
der: der 
smith: smith 
deck: deck 
llc: llc 
official: official 
ducking: ducking 
booker: booker 
emelevskaya: emelevskaya 
insight: insight 
viral: viral 
ya: ya 
e: e 
emotional: emotional 
expand: expand 
shaquille: shaquille 
skrrah: skrrah 
big: big 
april: april 
scooby: scooby 
plus: plus 
repeating: repeating 
raw: raw 
track: track 
spaghett: spaghett 
love: love 
hit: hit 
peermusic: peermusic 
lurk: lurk 
hold: hold 
dadju: dadju 
behind: behind 
publishing: publishing 
abou: abou 
sam: sam 
quack: quack 
date: date 
phucyoou: phucyoou 
send: send 
c: c 
table: tables 
artem: artem 
draw: draw 
daniel: daniel 
ski: ski 
dog: dog 
mashup: mashup 
sock: socks 
h: h 
individual: individual 
oxxxymiron: oxxxymiron 
corridor: corridor 
smoke: smoke 
wak: wak 
pivot: pivot 
four: four 
pu: pu 
personal: personal 
nyanners: nyanners 
gamble: gamble 
transcription: transcription 
chart: charts 
might: might 
pedl: pedl 
yeah: yeah 
inspiration: inspiration 
dis: diss 
list: list 
catch: catch 
vocal: vocals 
record: records 
music: music 
l: l 
shuffle: shuffle 
door: door 
flop: flop 
ka: kass ka 
comedy: comedy 
mazza: mazza 
queen: queen 
chillin: chillin 
ghost: ghost 
question: question 
producer: producer 
giggs: giggs 
drop: drop 
debeing: debeing 
shop: shop 
lady: lady 
produced: produced 
learn: learn 
flame: flame 
verse: verse 
obacha: obacha 
maniac: maniac 
dj: dj 
garden: garden 
prince: prince 
scholar: scholars 
fire: fire 
chunkz: chunkz 
een: een 
aresa: aresa 
entertainment: entertainment 
beat: beat 
kat: kat 
abramus: abramus 
special: special 
