sia: sia 
talk: talk 
tradu: tradu 
slovospb: slovospb 
italic: italics 
bitch: bitch bitches 
itani: itani 
naira: naira 
model: model 
around: around 
chorus: chorus 
fulfills: fulfills 
note: note notes 
nfkrz: nfkrz 
section: section 
virgodo: virgodo 
nle: nle 
skrapy: skrapy 
madison: madison 
matano: matano 
success: success 
ye: ye 
plenty: plenty 
february: february 
nigga: nigga niggas 
sfazw: sfazw 
pandie: pandie 
terrell: terrell 
season: season 
brenno: brenno 
anything: anything 
kevin: kevin 
ted: ted 
remixes: remixes 
mash: mash 
siroka: siroka 
say: says say 
merkules: merkules 
released: released 
collection: collection 
alexis: alexis 
sellin: sellin 
use: use 
panda: panda 
bape: bape 
kathleen: kathleen 
romping: romping 
ladna: ladna 
swole: swole 
corp: corp 
lyric: lyrics lyric 
fadeaway: fadeaway 
outro: outro 
heavy: heavy 
stop: stop 
grammy: grammy 
chief: chief 
panty: panty 
drill: drill 
doin: doin 
rapper: rapper rappers 
information: information 
arangio: arangio 
demo: demo 
cypher: cypher 
spice: spice 
geusebroek: geusebroek 
boy: boy 
beez: beez 
po: po 
hype: hype 
ctc: ctc 
jordan: jordan 
previously: previously 
killer: killers 
w: w 
robux: robux 
world: world 
walk: walk 
holding: holdings holding 
summermash: summermash 
scoota: scoota 
rick: rick 
goin: goin 
thug: thug 
addys: addys 
v: v vs 
baby: baby 
daily: daily 
becoming: becoming 
cinematography: cinematography 
back: back 
tomi: tomi 
versace: versace 
hand: hands 
york: york 
wake: wake 
stuart: stuart 
pondo: pondo 
privacy: privacy 
hope: hope 
artist: artists 
ayy: ayy 
directed: directed 
fu: fu 
ticket: ticket 
kraftykelvin: kraftykelvin 
karmin: karmin 
loved: loved 
go: go goes 
beat: beats beat 
redaction: redaction 
pokemon: pokemon 
square: square 
joyner: joyner 
dimitri: dimitri 
cal: cal 
pusha: pusha 
jeff: jeff 
ubem: ubem 
earworm: earworm 
answer: answer 
soundcloud: soundcloud 
share: share 
roll: roll 
animal: animal 
spin: spin 
fanta: fanta 
hittin: hittin 
week: week 
never: never 
anyone: anyone 
k: k 
winecoff: winecoff 
