scar: scar 
fear: fear 
talk: talk 
tradu: tradu 
foreign: foreign 
famous: famous 
italic: italics 
bitch: bitch 
tutti: tutti 
freak: freak 
chorus: chorus 
thought: thoughts 
burn: burn 
section: section 
mo: mo 
vivo: vivo 
mary: mary 
found: found 
album: albums album 
let: let 
international: international 
drank: drank 
nigga: nigga 
vers: vers 
vital: vital 
good: good 
hate: hate 
remixes: remixes 
smoker: smoker 
ehrlich: ehrlich 
released: released 
traductions: traductions 
ready: ready 
collection: collection 
tell: tell 
mirror: mirror 
use: use 
nitin: nitin 
fallon: fallon 
svenska: svenska 
heard: heard 
lyric: lyrics lyric 
schmidt: schmidt 
bad: bad 
ttning: ttning 
give: give 
wise: wise 
deep: deep 
stop: stop 
papeles: papeles 
lykke: lykke 
put: put 
guitar: guitar guitars 
seu: seu 
information: information 
rapper: rapper 
boy: boy 
hype: hype 
courier: courier 
killer: killers 
crazy: crazy 
w: w 
bachelor: bachelors 
world: world 
vain: vain 
walk: walk 
scream: scream 
holding: holdings 
rick: rick 
line: line lines 
traduction: traduction 
v: v 
goosebump: goosebumps 
originally: originally 
baby: baby 
perspective: perspective 
order: order 
sky: sky 
wanna: wanna 
clara: clara 
much: much 
pressure: pressure 
messing: messing 
privacy: privacy 
artist: artists 
kelly: kelly 
discus: discusses 
go: go 
either: either 
majan: majan 
luvkaio: luvkaio 
knew: knew 
another: another 
looped: looped 
ca: ca 
splinter: splinter 
color: color 
paint: paint 
eviri: eviri 
answer: answer 
share: share 
roll: roll 
tree: trees 
animal: animal 
never: never 
far: far 
rickey: rickey 
k: k 
stormzy: stormzy 
gil: gil 
co: co 
sin: sin sins 
guideline: guidelines 
name: name 
finna: finna 
check: check 
song: song songs 
credit: credits 
pedestal: pedestal 
clap: clap 
wayne: wayne 
gonna: gonna 
going: going 
even: even 
deprived: deprived 
engineer: engineer 
happy: happy 
pool: pools 
yolk: yolks 
rich: rich 
everything: everything 
money: money 
hole: hole 
real: real 
comment: comment comments 
contributor: contributor contributors 
read: read 
lil: lil 
english: english 
petty: petty 
part: parts part 
call: calls 
past: past 
header: headers 
right: right 
background: background 
txky: txky 
free: free 
jack: jack 
ask: ask 
written: written 
format: format 
vocalist: vocalists 
cupid: cupid 
developer: developers 
compton: compton 
fly: fly 
changed: changed 
bridge: bridge 
stuck: stuck 
admit: admit 
phonographic: phonographic 
alive: alive 
side: side 
remix: remix 
die: die 
rk: rk 
mixing: mixing 
view: view 
musical: musical 
visit: visit 
justice: justice 
created: created 
shit: shit 
uno: uno 
game: game 
added: added 
pollution: pollution 
khalifa: khalifa 
p: p 
see: see 
forgive: forgive 
broken: broken 
different: different 
bill: bill 
feature: feature 
feelin: feelin 
vida: vida 
maybe: maybe 
mechero: mechero 
stoner: stoner 
keating: keating 
red: red 
e: es e 
video: videos 
pussy: pussy 
featured: featured 
technique: technique 
shorty: shorty 
tag: tags 
word: words 
label: label 
mc: mc 
vaiyeh: vaiyeh 
today: today 
scuare: scuare 
clip: clip 
emotion: emotions 
al: al 
jefry: jefry 
got: got 
dre: dre 
coast: coast 
tryna: tryna 
wiz: wiz 
lock: lock 
type: type 
heron: heron 
release: release 
b: b 
axe: axe 
di: di 
sync: sync 
resolution: resolution 
seasonal: seasonal 
vision: vision 
group: group 
getting: getting 
would: would 
pack: pack 
french: french 
svensk: svensk 
randhawa: randhawa 
subliminal: subliminal 
scared: scared 
x: x 
one: one 
transcriber: transcribers 
mexico: mexico 
elevate: elevate 
swimming: swimming 
away: away 
disrespect: disrespect 
round: round 
challenge: challenge 
box: box 
policy: policy 
sme: sme 
kendrick: kendrick 
etc: etc 
deadline: deadline 
creative: creative 
sell: sell 
fran: fran 
took: took 
portugu: portugu 
dr: dr 
delanoxe: delanoxe 
strives: strives 
friis: friis 
luv: luv 
annotation: annotation 
listen: listen 
air: air 
threw: threw 
present: present 
october: october 
fdp: fdp 
vindahl: vindahl 
yn: yn 
hide: hide 
polish: polish 
posted: posted 
tune: tune 
favourite: favourite 
told: told 
coming: coming 
genius: genius 
remain: remain 
genuinos: genuinos 
somethin: somethin 
igu: igu 
scott: scott 
people: people 
year: year 
purpose: purpose 
sample: samples sample 
carson: carson 
jerry: jerry 
press: press 
bliss: bliss 
performed: performed 
freestyle: freestyle freestyles 
mind: mind 
rap: rap 
thess: thess 
peer: peer 
hesitation: hesitation 
hannibal: hannibal 
long: long 
sei: sei 
three: threes 
u: u us 
sometimes: sometimes 
ruslan: ruslan 
verified: verified 
n: n 
female: female 
g: g 
small: small 
face: face 
cantin: cantin 
blame: blame 
mixed: mixed 
sounwave: sounwave 
room: room 
knowledge: knowledge 
every: every 
trend: trend 
liquide: liquide 
electronic: electronic 
blind: blind 
milano: milano 
city: city 
make: make makes 
backseat: backseat 
west: west 
death: death 
partynauseous: partynauseous 
online: online 
brasil: brasil 
gold: gold 
licensing: licensing 
j: j 
life: life 
yo: yo 
th: th 
believable: believable 
tde: tde 
say: say 
poetic: poetic 
ol: ol 
quick: quick 
prob: prob 
forum: forum 
lookin: lookin 
traducciones: traducciones 
content: content 
guitarist: guitarist 
said: said 
inside: inside 
advertise: advertise 
ai: aises ais 
amazin: amazin 
meet: meet 
twin: twin 
dawg: dawg 
additional: additional 
watch: watch 
add: add 
saying: saying 
swedish: swedish 
dmc: dmc 
krestall: krestall 
understand: understand 
robin: robin 
rather: rather 
guide: guide 
history: history 
brief: brief 
please: please 
twitter: twitter 
tight: tight 
timberlake: timberlake 
boom: boom 
promote: promote 
sarmento: sarmento 
hip: hip 
planet: planets 
resent: resent 
inferior: inferior 
copyright: copyright 
job: jobs 
biggest: biggest 
madman: madman 
bold: bold 
plan: plan 
everyone: everyone 
f: f 
pashanim: pashanim 
umaczenie: umaczenie 
contact: contact 
energy: energy 
girlfriend: girlfriend 
black: blacks black 
situation: situation 
em: em 
extra: extra 
state: state 
pitiful: pitiful 
williams: williams 
clear: clear 
instead: instead 
ml: ml 
officially: officially 
art: art 
stage: stages 
alone: alone 
also: also 
galactic: galactic 
