important: important 
bitch: bitch 
woo: woo 
italic: italics 
superorganism: superorganism 
chorus: chorus 
rosen: rosen 
section: section 
act: act 
nederlandse: nederlandse 
success: success 
ant: ant 
ru: rus 
nigga: nigga 
patient: patient 
remixes: remixes 
naija: naija 
collection: collection 
use: use 
congratulation: congratulations 
lyric: lyrics lyric 
arcos: arcos 
bad: bad 
friendly: friendly 
suicide: suicide 
outro: outro 
heavy: heavy 
grammy: grammy 
put: put 
information: information 
boy: boy 
certified: certified 
kid: kids 
w: w 
world: world 
scream: scream 
holding: holdings 
summermash: summermash 
bubble: bubble 
duwap: duwap 
diamond: diamond 
oh: oh 
v: v 
baby: baby 
cold: cold 
option: option 
performing: performing 
vertaling: vertaling 
sky: sky 
wanna: wanna 
jackson: jackson 
killer: killer 
ty: ty 
alex: alex 
grundman: grundman 
privacy: privacy 
artist: artists 
geekheavy: geekheavy 
ayy: ayy 
bout: bout 
go: go 
zuniga: zuniga 
fall: fall 
jeff: jeff 
humble: humble 
loyaldi: loyaldi 
kidz: kidz 
earworm: earworm 
answer: answer 
multi: multi 
share: share 
thinkin: thinkin 
lurks: lurks 
feat: feat 
never: never 
highest: highest 
k: k 
guideline: guidelines 
name: name 
check: check 
song: song songs 
credit: credits 
countin: countin 
november: november 
republic: republic 
begotten: begotten 
called: called 
even: even 
cramer: cramer 
engineer: engineer 
instrumental: instrumental 
post: post 
crediting: crediting 
liar: liar 
instrumentation: instrumentation 
money: money 
everything: everything 
songview: songview 
comment: comment comments 
wrote: wrote 
looking: looking 
deja: deja 
contributor: contributor contributors 
read: read 
surround: surround 
lil: lil 
savage: savage 
riaa: riaa 
part: parts part 
header: headers 
right: right rights 
itching: itching 
ask: ask 
written: written 
performance: performance 
format: format 
triple: triple 
vocalist: vocalists 
ball: ball 
developer: developers 
changed: changed 
carl: carl 
phonographic: phonographic 
dedication: dedication 
director: director 
september: september 
side: side 
remix: remix 
marty: marty 
mixing: mixing 
electric: electric 
view: view 
musical: musical 
visit: visit 
digit: digits 
though: though 
awake: awake 
trademark: trademark 
boomin: boomin 
shit: shit 
game: game 
rondor: rondor 
studio: studio studios 
created: created 
p: p 
ooh: ooh 
play: play 
marroquin: marroquin 
see: see 
houdini: houdini 
uh: uh 
month: months 
fun: fun 
call: call 
broken: broken 
different: different 
united: united 
playlist: playlist 
rock: rock 
ring: rings 
video: videos video 
featured: featured 
tag: tags 
nothin: nothin 
nne: nne 
ebon: ebon 
label: label 
parody: parody 
galland: galland 
ascap: ascap 
got: got 
congradulations: congradulations 
metro: metro 
type: type 
bullshit: bullshit 
release: release 
b: b 
jlo: jlo 
minecraft: minecraft 
vacation: vacation 
pot: pot 
custom: custom 
group: group 
grant: grant 
tecca: tecca 
quavo: quavo 
bmi: bmi 
together: together 
intro: intro 
brr: brr 
x: x 
brown: brown 
transcriber: transcribers 
elevate: elevate 
bernie: bernie 
mcpeenis: mcpeenis 
received: received 
funniest: funniest 
via: via 
policy: policy 
constantin: constantin 
publisher: publisher 
future: future 
kendrick: kendrick 
ten: ten 
etc: etc 
sell: sell 
could: could 
austin: austin 
texas: texas 
celebrate: celebrate 
atlanta: atlanta 
edit: edit 
annotation: annotation 
daymanoursavior: daymanoursavior 
debuted: debuted 
ben: ben 
trey: trey 
coming: coming 
genius: genius 
yahmir: yahmir 
scott: scott 
people: people 
featuring: featuring 
year: year 
sample: samples sample 
press: press 
mind: mind 
rap: rap 
sound: sound 
worked: worked 
pt: pt 
mike: mike 
ging: ging 
programmer: programmer 
rated: rated 
franklin: franklins 
u: u us 
eligible: eligible 
edition: edition 
fam: fam 
mama: mama 
verified: verified 
n: n 
g: g 
hannah: hannah 
phone: phone 
twenty: twenty 
mar: mars 
knowledge: knowledge 
bop: bop 
make: make 
laugh: laugh laughs 
ar: ar 
death: death 
line: lines 
licensing: licensing 
j: j 
assistant: assistant 
sony: sony 
dreamed: dreamed 
life: life 
someone: someone 
iverson: iverson 
nederland: nederlands 
sittin: sittin 
vertalingen: vertalingen 
cent: cents 
say: say 
ispy: ispy 
forum: forum 
manny: manny 
bowl: bowl 
bentley: bentley 
said: said 
advertise: advertise 
kaine: kaine 
jumping: jumping 
malone: malone 
nothing: nothing 
add: add 
hey: hey 
understand: understand 
guide: guide 
son: son 
certification: certification 
medley: medley 
slowkiing: slowkiing 
almonte: almonte 
rose: rose 
promote: promote 
roll: rolls 
copyright: copyright 
job: jobs 
biggest: biggest 
bold: bold 
f: f 
everyone: everyone 
old: old 
cover: cover covers 
everywhere: everywhere 
contact: contact 
pi: pi 
situation: situation 
mon: mon 
state: state 
session: session 
instead: instead 
ml: ml 
stoney: stoney 
butterfly: butterflies 
pluto: pluto 
also: also 
eye: eyes 
get: get 
became: became 
mean: mean 
tit: tits 
cavetown: cavetown 
translation: translations translation 
sex: sex 
irving: irving 
goat: goats 
lighter: lighters 
white: white 
hopped: hopped 
nation: nation 
asap: asap 
fact: facts 
dutch: dutch 
control: control 
thing: things 
chris: chris 
cancel: cancel 
trap: trap 
patience: patience 
duke: dukes 
z: z 
singe: singe 
whiskey: whiskey 
whitney: whitney 
mastering: mastering 
emi: emi 
new: new 
depression: depression 
look: look 
posty: posty 
project: project 
made: made 
top: top 
level: level 
term: terms 
hoe: hoes 
lamar: lamar 
defina: defina 
interpolate: interpolate 
whopper: whopper 
james: james 
la: la 
embed: embed 
winning: winning 
first: first 
jlatrel: jlatrel 
universal: universal 
ft: ft 
border: border 
time: time 
last: last 
ever: ever 
galaxy: galaxy 
fame: fame 
hot: hot 
lie: lie 
dramatic: dramatic 
wow: wow 
violet: violet 
since: since 
ultimate: ultimate 
william: william 
cloud: cloud 
science: science 
like: like 
super: super 
huncho: huncho 
distinguish: distinguish 
two: two 
diego: diego 
fuck: fuck 
huh: huh 
dough: dough 
frank: frank 
forgot: forgot 
slide: slide 
source: source 
leave: leave 
sign: sign 
q: q 
champagne: champagne 
pop: pop 
r: r 
done: done 
vocal: vocal vocals 
spanish: spanish 
louis: louis 
llc: llc 
truly: truly 
official: official 
quality: quality 
award: awards 
insight: insight 
million: millions 
e: e 
ray: ray 
always: always 
expand: expand 
big: big 
gratulation: gratulation 
recording: recording 
feel: feel 
great: great 
may: may 
repeating: repeating 
track: track 
glass: glass 
