talley: talley 
tradu: tradu 
famous: famous 
italic: italics 
bitch: bitch 
confession: confessions 
chorus: chorus 
still: still 
section: section 
girl: girl girls 
success: success 
let: let 
laid: laid 
nigga: nigga 
team: team teams 
teaser: teaser 
terrell: terrell 
jacket: jackets 
good: good 
related: related 
remixes: remixes 
collection: collection 
tell: tell 
babe: babes 
use: use 
rush: rush 
ended: ended 
month: month 
corp: corp 
lyric: lyrics lyric 
foe: foe 
laptop: laptop 
chill: chill 
information: information 
rapper: rapper rappers 
regal: regal 
boy: boy 
immediately: immediately 
italia: italia 
pint: pint 
w: w 
explain: explain 
world: world 
holding: holdings 
shut: shut 
buyin: buyin 
diamond: diamond 
oh: oh 
thug: thug 
v: v 
baby: baby 
lennon: lennon 
performing: performing 
back: back 
wanna: wanna 
much: much 
needle: needle 
alex: alex 
hater: haters hater 
privacy: privacy 
artist: artists 
eagle: eagle 
loved: loved 
go: go 
beat: beats beat 
dan: dan 
fall: fall 
another: another 
juice: juice 
importantly: importantly 
trevor: trevor 
banger: banger 
earworm: earworm 
answer: answer 
thinkin: thinkin 
share: share 
paine: paine 
k: k 
whatever: whatever 
pole: pole 
think: think 
co: co 
guideline: guidelines 
combining: combining 
check: check 
song: song songs 
credit: credits 
associated: associated 
november: november 
mx: mx 
man: man 
gonna: gonna 
lamb: lamb 
mashups: mashups 
even: even 
engineer: engineer 
happy: happy 
thing: thing 
celebrity: celebrities 
rich: rich 
sensation: sensation 
legendary: legendary 
shake: shake 
money: money moneys 
hole: hole 
real: real 
songview: songview 
comment: comment comments 
pleaser: pleaser 
commentary: commentary 
band: band 
verse: verses verse 
contributor: contributor contributors 
fatigue: fatigue 
read: read 
jxmmi: jxmmi 
lil: lil 
meme: memes meme 
yoga: yoga 
avage: avage 
english: english 
part: parts part 
past: past 
header: headers 
right: right rights 
member: member 
stressed: stressed 
ask: ask 
seat: seats 
written: written 
performance: performance 
format: format 
vocalist: vocalists 
ah: ah 
developer: developers 
knocked: knocked 
collaboration: collaboration 
rondo: rondo 
john: john 
alive: alive 
side: side 
remix: remix 
servin: servin 
wrld: wrld 
mixing: mixing 
view: view 
become: become 
max: max 
musical: musical 
visit: visit 
created: created 
billboard: billboard 
shit: shit 
studio: studio studios 
p: p 
see: see 
mane: mane 
hook: hook 
somebody: somebody 
broken: broken 
different: different 
united: united 
devvon: devvon 
bought: bought 
streetz: streetz 
rock: rock 
red: red 
e: es e 
video: videos video 
win: win 
deconstructed: deconstructed 
featured: featured 
light: light 
tag: tags 
nothin: nothin 
frat: frat 
home: home 
grant: grants 
label: label 
dyad: dyad 
maxwell: maxwell 
parody: parody 
patti: patti 
kilo: kilo 
ascap: ascap 
act: acts 
got: got 
tryna: tryna 
drinkin: drinkin 
type: type 
release: release 
b: b 
lean: lean 
beatle: beatle 
group: group 
getting: getting 
rollin: rollin 
valentin: valentin 
hear: hear 
bmi: bmi 
together: together 
intro: intro 
green: green 
blinkin: blinkin 
capture: captures 
x: x 
transcriber: transcribers 
night: night 
away: away 
lot: lot 
received: received 
dior: dior 
jalyn: jalyn 
roof: roof 
challenge: challenge 
randy: randy 
policy: policy 
sremmlife: sremmlife 
steve: steve 
publisher: publisher 
slim: slim 
reason: reason 
tamerlane: tamerlane 
comparing: comparing 
etc: etc 
friend: friends 
sell: sell 
took: took 
portugu: portugu 
british: british 
lose: lose 
foot: feet 
paul: paul 
atlanta: atlanta 
edit: edit 
annotation: annotation 
air: air 
broke: broke 
jackin: jackin 
school: schools school 
point: point 
outkast: outkast 
reefer: reefer 
genius: genius 
leather: leather 
gringo: gringos 
people: people 
featuring: featuring 
year: year 
carson: carson 
sample: samples sample 
press: press 
russian: russian 
club: club 
freestyle: freestyle 
rap: rap 
blowin: blowin 
mike: mike 
iann: iann 
long: long 
bull: bull 
u: u us 
start: start 
ear: ear 
drinking: drinking 
mama: mama 
verified: verified 
n: n 
g: g 
small: small 
contemporary: contemporary 
clockwork: clockwork 
condo: condo 
knowledge: knowledge 
city: city 
rode: rode 
death: death 
line: lines 
brasil: brasil 
licensing: licensing 
j: j 
belly: belly 
yo: yo 
beatles: beatles 
chart: chart charts 
sean: sean 
sent: sent 
barbies: barbies 
say: say 
quick: quick 
trollin: trollin 
forum: forum 
respond: respond 
woman: women 
sauce: sauce 
said: said 
mad: mad 
cake: cake 
advertise: advertise 
watch: watch 
add: add 
hey: hey 
august: august 
understand: understand 
guide: guide 
violent: violent 
rockin: rockin 
break: break 
weed: weed 
slowkiing: slowkiing 
promote: promote 
kobalt: kobalt 
job: jobs 
hundred: hundred 
biggest: biggest 
copyright: copyright 
bold: bold 
f: f 
old: old 
raaash: raaash 
chappell: chappell 
contact: contact 
em: em 
mannequin: mannequin 
state: state 
morning: morning 
ml: ml 
art: art 
also: also 
galactic: galactic 
get: get 
came: came 
became: became 
played: played 
kill: kill kills 
translation: translations translation 
lueders: lueders 
lotto: lotto 
code: code 
table: table 
eurostep: eurostep 
close: close 
body: body 
hopped: hopped 
nicki: nicki 
fact: facts 
end: end 
gained: gained 
gucci: gucci 
ho: ho 
bring: bring 
cancel: cancel 
trap: trap 
z: z 
tweeted: tweeted 
singe: singe 
wear: wear 
way: way 
cream: cream 
anevo: anevo 
new: new 
look: look 
sedated: sedated 
mam: mam 
vincent: vincent 
party: party 
made: made 
flower: flowers 
guwop: guwop 
montana: montana 
piece: pieces 
mix: mix 
interscope: interscope 
term: terms 
popularity: popularity 
hair: hair 
hoe: hoes 
take: take 
avereaux: avereaux 
black: black 
screamin: screamin 
geezer: geezer 
standing: standing 
chance: chance 
og: og 
interpolate: interpolate 
jubilee: jubilee 
sander: sanders 
whopper: whopper 
drummer: drummers 
lanphear: lanphear 
drop: drops drop 
hop: hop 
kush: kush 
livin: livin 
blow: blow 
embed: embed 
whole: whole 
first: first 
madsonik: madsonik 
ga: ga 
ft: ft 
time: time 
last: last 
heatfox: heatfox 
fame: fame 
main: main 
hot: hot 
rae: rae 
three: three 
upgrade: upgrade 
kiso: kiso 
ultimate: ultimate 
william: william 
cloud: cloud 
receive: receive 
worry: worry 
like: like 
super: super 
distinguish: distinguish 
bellinger: bellinger 
affiliated: affiliated 
cover: covers 
two: two 
omgitsguppey: omgitsguppey 
sremmurd: sremmurd 
various: various 
mccartney: mccartney 
fuck: fuck 
kageyoshi: kageyoshi 
pound: pound 
source: source 
address: address 
need: need 
leave: leave 
sign: sign 
q: q 
hybicki: hybicki 
davis: davis 
day: day 
pop: pop 
r: r 
fge: fge 
swae: swae 
machine: machine 
llc: llc 
tripper: tripper 
award: awards 
llello: llello 
insight: insight 
viral: viral 
ya: ya 
expand: expand 
participated: participated 
recording: recording 
garc: garc 
nxxxxxs: nxxxxxs 
feel: feel 
problem: problem 
portuguese: portuguese 
repeating: repeating 
smokey: smokey 
chapo: chapo 
dark: dark 
track: track 
sport: sports 
revealed: revealed 
love: love 
spread: spread 
publishing: publishing 
work: work 
set: set 
kayla: kayla 
date: date 
floor: floor 
weirdo: weirdo 
c: c 
finny: finny 
house: house 
confiscate: confiscate 
megamix: megamix 
fast: fast 
radric: radric 
cash: cash 
binge: binge 
lens: lenses 
daniel: daniel 
mashup: mashup 
h: h 
professional: professional 
individual: individual 
certification: certifications 
single: single 
smoke: smoke 
everybody: everybody 
eric: eric 
know: know 
stripper: strippers 
wapo: wapo 
mannequinchallenge: mannequinchallenge 
heart: heart 
personal: personal 
makj: makj 
minaj: minaj 
transcription: transcription 
might: might 
hard: hard 
gone: gone 
idea: idea 
yeah: yeah 
aiono: aiono 
inspiration: inspiration 
warner: warner 
soulja: soulja 
record: records 
music: music 
l: l 
door: door 
swang: swang 
lee: lee 
sremm: sremm 
crowd: crowd 
slowly: slowly 
bottom: bottoms 
question: question 
clothes: clothes 
producer: producer 
player: player 
gotta: gotta 
yellow: yellow 
shop: shop 
produced: produced 
learn: learn 
flavor: flavor 
young: young 
recorded: recorded 
participating: participating 
dj: dj 
