nico: nico 
impacted: impacted 
nightmare: nightmare 
bored: bored 
isosine: isosine 
otamatone: otamatone 
italic: italics 
bitch: bitch 
tradu: tradu 
around: around 
chorus: chorus 
grave: grave 
thought: thoughts thought 
peaked: peaked 
still: still 
section: section 
nederlandse: nederlandse 
found: found 
betrayed: betrayed 
nobody: nobody 
let: let 
kiosko: kiosko 
pr: prs 
terrell: terrell 
chicago: chicago 
deutsch: deutsch 
hate: hate 
good: good 
joshy: joshy 
okay: okay 
remixes: remixes 
mash: mash 
andrew: andrew 
koch: koch 
te: te 
weep: weep 
kyle: kyle 
traductions: traductions 
trogan: trogan 
rez: rez 
collection: collection 
notimebeatz: notimebeatz 
use: use 
cutenboi: cutenboi 
lyric: lyrics lyric 
touch: touch 
bad: bad 
matxeus: matxeus 
grandkids: grandkids 
forget: forget 
outro: outro 
yayayi: yayayi 
put: put 
information: information 
demo: demo 
tear: tears 
boy: boy 
certified: certified 
includes: includes 
kid: kids kid 
azerrz: azerrz 
personnel: personnel 
robux: robux 
college: college 
uzi: uzi 
world: world 
holding: holdings 
w: w 
traduction: traduction 
oh: oh 
v: v 
urgent: urgent 
codeine: codeine 
sonna: sonna 
bogus: bogus 
vertaling: vertaling 
back: back 
halsey: halsey 
much: much 
ele: ele 
alex: alex 
fortnite: fortnite 
juandale: juandale 
privacy: privacy 
artist: artists artist 
want: want 
writing: writing 
secretos: secretos 
nonstop: nonstop 
loved: loved 
go: go 
beat: beats 
luvariez: luvariez 
knew: knew 
aware: aware 
fall: fall 
bro: bro 
buy: buy 
another: another 
explores: explores 
juice: juice 
rainbow: rainbow 
dont: dont 
eviri: eviri 
kidz: kidz 
earworm: earworm 
move: move 
bed: bed 
answer: answer 
beautiful: beautiful 
share: share 
jon: jon 
pay: pay 
ache: ache 
rip: rip 
week: week 
mora: mora 
kvneki: kvneki 
k: k 
guideline: guidelines 
check: check 
song: song songs 
credit: credits 
hebrew: hebrew 
foy: foy 
deutsche: deutsche 
cole: cole 
upset: upset 
iclander: iclander 
man: man 
experience: experiences experience 
going: going 
blackwood: blackwood 
mashups: mashups 
even: even 
engineer: engineer 
described: described 
thing: thing 
post: post 
rich: rich 
banana: bananas 
liar: liar 
schwartz: schwartz 
everything: everything 
money: money 
el: el 
bryant: bryant 
