talk: talk 
bored: bored 
italic: italics 
looked: looked 
around: around 
chorus: chorus 
negative: negative 
section: section 
girl: girl girls 
laid: laid 
nigga: nigga niggas 
anything: anything 
hash: hash 
hate: hate 
good: good 
forgiven: forgiven 
formally: formally 
okay: okay 
remixes: remixes 
little: little 
mi: mi 
wasted: wasted 
courtney: courtney 
collection: collection 
tell: tell 
rush: rush 
use: use 
latinautorperf: latinautorperf 
lyric: lyrics lyric 
give: give gives 
settling: settling 
desabafos: desabafos 
forget: forget 
outro: outro 
gym: gym 
put: put 
information: information 
demo: demo 
boy: boy 
tribe: tribe 
w: w 
six: six 
world: world 
holding: holdings 
ed: ed 
line: line lines 
v: v 
instant: instant 
happening: happening 
momma: momma 
back: back 
treasure: treasures 
much: much 
personable: personable 
muse: muse 
macy: macy 
consequence: consequences 
privacy: privacy 
hope: hope 
want: want wants 
artist: artists artist 
write: write 
speaking: speaking 
bout: bout 
loved: loved 
go: go 
darling: darling 
ca: ca 
flower: flower 
deeper: deeper 
ubem: ubem 
eviri: eviri 
answer: answer 
beautiful: beautiful 
share: share 
freestyled: freestyled 
never: never 
k: k 
eh: eh 
beverly: beverly 
think: think 
guideline: guidelines 
name: name 
check: check 
song: song songs 
jhene: jhene 
credit: credits 
ting: ting 
thru: thru 
november: november 
apology: apologies 
republic: republic 
man: man 
debit: debit 
gonna: gonna 
going: going 
feature: features 
even: even 
engineer: engineer 
thing: thing 
dad: dad 
liar: liar 
tuscan: tuscan 
money: money 
comment: comment comments 
truth: truth 
wrote: wrote 
looking: looking 
harmony: harmonies 
contributor: contributor contributors 
hosting: hosting 
read: read 
mother: mother 
surround: surround 
amazing: amazing 
part: parts part 
background: background 
header: headers 
aarow: aarow 
next: next 
ask: ask 
tough: tough 
written: written 
performance: performance 
hidden: hidden 
format: format 
vocalist: vocalists 
lacking: lacking 
developer: developers 
parking: parking 
blowing: blowing 
throwback: throwback 
ignore: ignore 
party: parties 
disagreed: disagreed 
furthest: furthest 
songfacts: songfacts 
phonographic: phonographic 
quality: qualities 
september: september 
side: side 
remix: remix 
magazine: magazine 
grown: grown 
phoenix: phoenix 
rk: rk 
mixing: mixing 
view: view 
campbell: campbell 
fade: fade 
musical: musical 
tripping: tripping 
visit: visit 
therapeutic: therapeutic 
repeatedly: repeatedly 
belong: belong 
shit: shit 
attempt: attempt 
created: created 
studio: studio studios 
p: p 
character: characters character 
yolo: yolo 
uh: uh 
cornerstone: cornerstone 
hook: hook 
call: call 
broken: broken 
different: different 
remember: remember 
wu: wu 
vida: vida 
star: star 
enough: enough 
video: videos 
pussy: pussy 
featured: featured 
album: album 
tag: tags 
home: home 
label: label 
started: started 
married: married 
pepito: pepito 
michael: michael 
ascap: ascap 
got: got 
planned: planned 
tryna: tryna 
publish: publish 
type: type 
release: release 
b: b 
di: di 
rdc: rdc 
vacation: vacation 
vision: vision 
right: rights 
bitch: bitches 
group: group 
getting: getting 
hill: hills 
would: would 
hear: hear 
fucked: fucked 
bmi: bmi 
corona: coronas 
decision: decisions 
x: x 
one: one 
transcriber: transcribers 
night: night 
scarborough: scarborough 
blak: blak 
away: away 
lot: lot 
according: according 
com: com 
language: language 
policy: policy 
apologizing: apologizing 
publisher: publisher 
cochise: cochise 
influence: influence 
future: future 
living: living 
etc: etc 
sell: sell 
could: could 
texas: texas 
minute: minute 
connect: connect 
paris: paris 
summer: summer 
alo: alo 
process: process 
used: used 
annotation: annotation 
plata: plata 
listen: listen 
canada: canada 
mus: muses 
sixty: sixty 
best: best 
worst: worst 
trey: trey 
shiva: shiva 
relationship: relationships 
metalwork: metalworks 
told: told 
person: person 
genius: genius 
leather: leather 
amra: amra 
people: people 
featuring: featuring 
acting: acting 
anymore: anymore 
sample: samples sample 
learning: learning 
press: press 
freestyle: freestyle 
aggressive: aggressive 
rap: rap 
step: steps 
flyer: flyer 
pt: pt 
forever: forever 
u: u us 
start: start 
verified: verified 
n: n 
g: g 
afraid: afraid 
paper: paper 
knowledge: knowledge 
absolute: absolute 
city: city 
make: make makes 
talking: talking 
talked: talked 
peachtree: peachtree 
seem: seem 
west: west 
death: death 
online: online 
proportion: proportion 
licensing: licensing 
j: j 
assistant: assistant 
passive: passive 
sincere: sincere 
sony: sony 
life: life 
felt: felt 
th: th 
ups: ups 
piece: piece 
true: true 
bria: bria 
discovered: discovered 
forum: forum 
wstrn: wstrn 
drizzy: drizzy 
said: said 
cake: cake 
difference: difference 
advertise: advertise 
dealing: dealing 
conversation: conversation 
many: many 
aiko: aiko 
watch: watch 
add: add 
nothing: nothing 
saying: saying 
songwriting: songwriting 
specific: specific 
continue: continue 
understand: understand 
guide: guide 
texting: texting 
seventy: seventies seventy 
basic: basics 
deal: deal 
mississauga: mississauga 
accessible: accessible 
kor: kors 
exploit: exploits 
place: places 
promote: promote 
kobalt: kobalt 
search: search 
copyright: copyright 
job: jobs 
biggest: biggest 
bold: bold 
tang: tang 
f: f 
plan: plan 
bottom: bottom 
old: old 
illkittydog: illkittydog 
hooter: hooters 
contact: contact 
energy: energy 
turkish: turkish 
casa: casa 
ml: ml 
production: production 
recording: recordings recording 
basement: basement 
alone: alone 
wholehearted: wholehearted 
also: also 
distributor: distributor 
get: get 
came: came 
houston: houston 
played: played 
management: management 
translation: translations translation 
white: white 
wasteman: wasteman 
stress: stress 
doc: doc 
fact: facts 
fake: fake 
ritz: ritz 
interlude: interlude 
explained: explained 
sewchan: sewchan 
majik: majik 
blown: blown 
youtube: youtube 
cancel: cancel 
trap: trap 
patience: patience 
bottle: bottle 
na: nas 
z: z 
jhen: jhen 
come: come 
solar: solar 
noel: noel 
nice: nice 
look: look 
made: made 
disappear: disappear 
lack: lack 
term: terms 
without: without 
aka: aka 
east: east 
take: take 
open: open 
jodeci: jodeci 
joey: joey 
interpolate: interpolate 
whopper: whopper 
latinautor: latinautor 
center: center 
god: god 
la: la 
dem: dem 
happen: happen 
embed: embed 
whole: whole 
first: first 
universal: universal 
ft: ft 
time: time 
ever: ever 
telling: telling 
saarangutan: saarangutan 
hot: hot 
radio: radio 
three: three 
kherty: kherty 
since: since 
missing: missing 
well: well 
ultimate: ultimate 
rella: rella 
wrong: wrong 
like: like 
guy: guy 
distinguish: distinguish 
trust: trust 
porscha: porscha 
better: better 
piano: piano 
cmrra: cmrra 
landmark: landmarks 
intrigued: intrigued 
acum: acum 
fuck: fuck 
huh: huh 
commitment: commitment 
pound: pound 
generation: generation 
source: source 
rolled: rolled 
need: need 
sign: sign 
q: q 
gonzales: gonzales 
davis: davis 
favor: favor 
chilly: chilly 
r: r 
favorite: favorite 
thinking: thinking 
behavior: behavior 
vibe: vibe 
llc: llc 
seems: seems 
insight: insight 
e: e 
couple: couple 
baka: baka 
always: always 
expand: expand 
definitely: definitely 
child: child 
big: big 
estate: estate 
feel: feel 
caught: caught 
chemistry: chemistry 
may: may 
repeating: repeating 
christian: christian 
established: established 
expected: expected 
track: track 
love: love 
selfish: selfish 
hit: hit 
warfield: warfield 
find: find 
hold: hold 
galleria: galleria 
culver: culver 
work: work 
soul: soul 
date: date 
sevnth: sevnth 
cadastre: cadastre 
hollywood: hollywood 
c: c 
cash: cash 
kicked: kicked 
inspired: inspired 
mashup: mashup 
weak: weak 
h: h 
zone: zone 
individual: individual 
engaged: engaged 
realizing: realizing 
cause: cause 
prove: prove 
know: know 
moment: moments 
personal: personal 
transcription: transcription 
chart: charts 
might: might 
hard: hard 
leverage: leverage 
gotten: gotten 
yeah: yeah 
fisticuffs: fisticuffs 
songz: songz 
brian: brian 
partynextdoor: partynextdoor 
gangsta: gangsta 
vocal: vocals 
record: records 
peer: peers 
usually: usually 
music: music 
l: l 
needed: needed 
global: global 
infatuation: infatuation 
flexing: flexing 
kid: kid 
kept: kept 
formula: formula 
br: br 
travis: travis 
question: question 
mafia: mafia 
complete: complete 
something: something 
drop: drop 
viscere: viscere 
shop: shop 
feeling: feeling 
produced: produced 
learn: learn 
morton: morton 
prxjek: prxjek 
flame: flame 
penned: penned 
motion: motion 
wanted: wanted 
verse: verse 
young: young 
recorded: recorded 
st: st 
ddg: ddg 
scholar: scholars 
drake: drake 
viva: viva 
story: story 
interpolation: interpolations 
standouts: standouts 
seasoning: seasoning 
cannot: cannot 
guess: guess 
gadget: gadget 
submissive: submissive 
distance: distance 
entertainment: entertainment 
feed: feed 
umpg: umpg 
