talk: talk talks 
italic: italics 
bitch: bitch bitches 
term: term terms 
chorus: chorus 
still: still 
section: section 
mo: mo 
girl: girl girls 
kiss: kiss 
let: let 
gibbo: gibbo 
nigga: nigga niggas 
team: team 
almost: almost 
pas: pass 
drum: drum 
good: good 
hate: hate 
okay: okay 
remixes: remixes 
little: little 
stripe: stripes 
berner: berner 
collection: collection 
tell: tell 
use: use 
dub: dub 
lyric: lyrics lyric 
stop: stop 
grammy: grammy 
chill: chill 
put: put 
information: information 
boy: boy 
factory: factory 
w: w 
world: world 
holding: holdings 
enlists: enlists 
franny: franny 
ed: ed 
rick: rick 
making: making 
line: line lines 
eventuate: eventuate 
oh: oh 
v: v 
twice: twice 
baby: baby 
cold: cold 
bunny: bunny 
back: back 
wanna: wanna 
much: much 
york: york 
buta: buta 
butt: butt 
privacy: privacy 
artist: artists 
want: want wants 
twisted: twisted 
rap: raps rap 
care: care 
bout: bout 
loved: loved 
go: go goes 
miami: miami 
knew: knew 
fall: fall 
funny: funny 
bro: bro 
si: si 
shout: shout 
banger: banger 
ice: ice 
answer: answer 
jon: jon 
share: share 
drowned: drowned 
pay: pay 
uncle: uncle 
second: second 
fl: fl 
umpire: umpire 
skeet: skeet 
k: k 
cappella: cappella 
tim: tim 
think: think 
practice: practice 
guideline: guidelines 
minus: minus 
check: check 
song: song songs 
credit: credits 
redfaze: redfaze 
november: november 
pimpin: pimpin 
wayne: wayne 
republic: republic 
man: man 
even: even 
uptown: uptown 
engineer: engineer 
mill: mill 
un: un 
rich: rich 
freaky: freaky 
liar: liar 
doorknob: doorknob 
money: money 
twist: twist 
real: real 
nv: nv 
relay: relay 
bazoo: bazoo 
abstract: abstract 
comment: comment comments 
ilovechaz: ilovechaz 
clubbin: clubbin 
contributor: contributor contributors 
eazy: eazy 
lil: lil 
part: parts part 
header: headers 
right: right 
street: street 
camera: cameras 
roman: roman 
ask: ask 
performance: performance 
written: written 
format: format 
vocalist: vocalists 
south: south 
developer: developers 
changed: changed 
choilb: choilb 
alive: alive 
remix: remix 
eventually: eventually 
mixing: mixing 
view: view 
hyfr: hyfr 
dead: dead 
campbell: campbell 
musical: musical 
visit: visit 
though: though 
created: created 
billboard: billboard 
shit: shit 
game: game 
khalifa: khalifa 
head: head 
p: p 
play: play 
see: see 
yolo: yolo 
uh: uh 
ymcmb: ymcmb 
mane: mane 
broken: broken 
different: different 
hooker: hookers 
feature: feature 
swam: swam 
feelin: feelin 
shot: shot 
maybe: maybe 
liter: liter 
enough: enough 
video: videos 
pussy: pussy 
win: win 
featured: featured 
light: light 
tag: tags 
grant: grants 
ride: ride 
label: label 
warlick: warlick 
jeezy: jeezy 
water: water 
michael: michael 
island: island 
ode: ode 
got: got 
dre: dre 
wiz: wiz 
type: type 
multiple: multiple 
release: release 
b: b 
kunstner: kunstner 
nelly: nelly 
bay: bay 
would: would 
fucked: fucked 
joint: joint 
tempah: tempah 
x: x 
one: one ones 
endured: endured 
transcriber: transcribers 
tinie: tinie 
freddie: freddie 
bangz: bangz 
lot: lot 
peace: peace 
mario: mario 
gano: gano 
policy: policy 
future: future 
bench: bench 
